0
SIGN:success disable Auto NUMA
SIGN: success disable SWAP
root      2088  0.0  0.0   7592  3468 pts/1    S    12:48   0:00              \_ sudo nohup ./memcachedTestScript.sh
root      2089  0.5  0.0   4972  3000 pts/1    S    12:48   0:00                  \_ /bin/bash ./memcachedTestScript.sh
root      2110  0.0  0.0   4372   668 pts/1    S    12:48   0:00                      \_ grep memcached
root      2107  0.0  0.0  14100  3592 ?        Dsl  12:48   0:00 memcached -d -m 122880 -p 6379 -u root -t 64
SIGN: success start redis
===begin prepare data for test===
Writing results to ./F-2nd/memcached_test_prepare_F_OFF_20230814124814.log...
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 0%,   1 secs] 20 threads:      276819 ops,  276337 (avg:  276337) ops/sec, 280.65MB/sec (avg: 280.65MB/sec), 11.50 (avg: 11.50) msec latency
[RUN #1 1%,   2 secs] 20 threads:      535425 ops,  258548 (avg:  267449) ops/sec, 262.58MB/sec (avg: 271.62MB/sec), 12.37 (avg: 11.92) msec latency
[RUN #1 1%,   3 secs] 20 threads:      794703 ops,  259218 (avg:  264707) ops/sec, 263.26MB/sec (avg: 268.84MB/sec), 12.35 (avg: 12.06) msec latency
[RUN #1 1%,   4 secs] 20 threads:     1054991 ops,  260238 (avg:  263590) ops/sec, 264.30MB/sec (avg: 267.70MB/sec), 12.28 (avg: 12.12) msec latency
[RUN #1 1%,   5 secs] 20 threads:     1314217 ops,  259177 (avg:  262708) ops/sec, 263.22MB/sec (avg: 266.81MB/sec), 12.35 (avg: 12.16) msec latency
[RUN #1 1%,   6 secs] 20 threads:     1571760 ops,  257489 (avg:  261838) ops/sec, 261.51MB/sec (avg: 265.92MB/sec), 12.42 (avg: 12.20) msec latency
[RUN #1 2%,   7 secs] 20 threads:     1829294 ops,  257483 (avg:  261216) ops/sec, 261.50MB/sec (avg: 265.29MB/sec), 12.41 (avg: 12.23) msec latency
[RUN #1 2%,   8 secs] 20 threads:     2085476 ops,  256125 (avg:  260580) ops/sec, 260.12MB/sec (avg: 264.65MB/sec), 12.50 (avg: 12.27) msec latency
[RUN #1 2%,   9 secs] 20 threads:     2341144 ops,  255613 (avg:  260028) ops/sec, 259.60MB/sec (avg: 264.08MB/sec), 12.51 (avg: 12.29) msec latency
[RUN #1 2%,  10 secs] 20 threads:     2599219 ops,  258021 (avg:  259828) ops/sec, 262.05MB/sec (avg: 263.88MB/sec), 12.43 (avg: 12.31) msec latency
[RUN #1 3%,  11 secs] 20 threads:     2853639 ops,  254372 (avg:  259332) ops/sec, 258.34MB/sec (avg: 263.38MB/sec), 12.56 (avg: 12.33) msec latency
[RUN #1 3%,  12 secs] 20 threads:     3110775 ops,  257080 (avg:  259144) ops/sec, 261.09MB/sec (avg: 263.19MB/sec), 12.45 (avg: 12.34) msec latency
[RUN #1 3%,  13 secs] 20 threads:     3365819 ops,  254998 (avg:  258825) ops/sec, 258.98MB/sec (avg: 262.86MB/sec), 12.53 (avg: 12.35) msec latency
[RUN #1 3%,  14 secs] 20 threads:     3619036 ops,  253169 (avg:  258421) ops/sec, 257.12MB/sec (avg: 262.45MB/sec), 12.66 (avg: 12.37) msec latency
[RUN #1 4%,  15 secs] 20 threads:     3874630 ops,  255544 (avg:  258229) ops/sec, 259.53MB/sec (avg: 262.26MB/sec), 12.52 (avg: 12.38) msec latency
[RUN #1 4%,  16 secs] 20 threads:     4130450 ops,  255769 (avg:  258076) ops/sec, 259.76MB/sec (avg: 262.10MB/sec), 12.51 (avg: 12.39) msec latency
[RUN #1 4%,  17 secs] 20 threads:     4384995 ops,  254496 (avg:  257865) ops/sec, 258.47MB/sec (avg: 261.89MB/sec), 12.57 (avg: 12.40) msec latency
[RUN #1 4%,  18 secs] 20 threads:     4639799 ops,  254751 (avg:  257692) ops/sec, 258.73MB/sec (avg: 261.71MB/sec), 12.54 (avg: 12.41) msec latency
[RUN #1 5%,  19 secs] 20 threads:     4893943 ops,  254090 (avg:  257503) ops/sec, 258.05MB/sec (avg: 261.52MB/sec), 12.62 (avg: 12.42) msec latency
[RUN #1 5%,  20 secs] 20 threads:     5146307 ops,  252314 (avg:  257243) ops/sec, 256.25MB/sec (avg: 261.26MB/sec), 12.65 (avg: 12.43) msec latency
[RUN #1 5%,  21 secs] 20 threads:     5401132 ops,  254774 (avg:  257126) ops/sec, 258.75MB/sec (avg: 261.14MB/sec), 12.58 (avg: 12.44) msec latency
[RUN #1 5%,  22 secs] 20 threads:     5656400 ops,  255217 (avg:  257039) ops/sec, 259.20MB/sec (avg: 261.05MB/sec), 12.52 (avg: 12.44) msec latency
[RUN #1 6%,  23 secs] 20 threads:     5914494 ops,  258037 (avg:  257082) ops/sec, 262.06MB/sec (avg: 261.09MB/sec), 12.39 (avg: 12.44) msec latency
[RUN #1 6%,  24 secs] 20 threads:     6175530 ops,  260967 (avg:  257244) ops/sec, 265.04MB/sec (avg: 261.26MB/sec), 12.27 (avg: 12.43) msec latency
[RUN #1 6%,  25 secs] 20 threads:     6436605 ops,  261025 (avg:  257395) ops/sec, 265.10MB/sec (avg: 261.41MB/sec), 12.24 (avg: 12.43) msec latency
[RUN #1 6%,  26 secs] 20 threads:     6695698 ops,  259046 (avg:  257459) ops/sec, 263.09MB/sec (avg: 261.48MB/sec), 12.35 (avg: 12.42) msec latency
[RUN #1 7%,  27 secs] 20 threads:     6953405 ops,  257657 (avg:  257466) ops/sec, 261.68MB/sec (avg: 261.48MB/sec), 12.43 (avg: 12.42) msec latency
[RUN #1 7%,  28 secs] 20 threads:     7206746 ops,  253294 (avg:  257317) ops/sec, 257.25MB/sec (avg: 261.33MB/sec), 12.61 (avg: 12.43) msec latency
[RUN #1 7%,  29 secs] 20 threads:     7464310 ops,  257506 (avg:  257324) ops/sec, 261.52MB/sec (avg: 261.34MB/sec), 12.42 (avg: 12.43) msec latency
