0
SIGN:success disable Auto NUMA
SIGN: success disable SWAP
root      2573  0.5  0.0   7592  3448 pts/1    S    09:58   0:00              \_ sudo nohup ./memcachedTestScript.sh
root      2574  0.5  0.0   4972  2940 pts/1    S    09:58   0:00                  \_ /bin/bash ./memcachedTestScript.sh
root      2595  0.0  0.0   4372   620 pts/1    S    09:58   0:00                      \_ grep memcached
root      2592  0.0  0.0  14100  3492 ?        Dsl  09:58   0:00 memcached -d -m 122880 -p 6379 -u root -t 64
SIGN: success start redis
===begin prepare data for test===
Writing results to ./F-1st/memcached_test_prepare_F_OFF_20230815095833.log...
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 0%,   1 secs] 20 threads:      314486 ops,  313566 (avg:  313566) ops/sec, 318.46MB/sec (avg: 318.46MB/sec), 10.14 (avg: 10.14) msec latency
[RUN #1 1%,   2 secs] 20 threads:      600322 ops,  285777 (avg:  299691) ops/sec, 290.23MB/sec (avg: 304.36MB/sec), 11.19 (avg: 10.64) msec latency
[RUN #1 1%,   3 secs] 20 threads:      885872 ops,  285484 (avg:  294959) ops/sec, 289.94MB/sec (avg: 299.56MB/sec), 11.21 (avg: 10.82) msec latency
[RUN #1 1%,   4 secs] 20 threads:     1170855 ops,  284925 (avg:  292452) ops/sec, 289.37MB/sec (avg: 297.01MB/sec), 11.23 (avg: 10.92) msec latency
[RUN #1 1%,   5 secs] 20 threads:     1455067 ops,  284158 (avg:  290794) ops/sec, 288.59MB/sec (avg: 295.33MB/sec), 11.25 (avg: 10.99) msec latency
[RUN #1 2%,   6 secs] 20 threads:     1737941 ops,  282819 (avg:  289466) ops/sec, 287.23MB/sec (avg: 293.98MB/sec), 11.32 (avg: 11.04) msec latency
[RUN #1 2%,   7 secs] 20 threads:     2021305 ops,  283314 (avg:  288587) ops/sec, 287.73MB/sec (avg: 293.09MB/sec), 11.29 (avg: 11.08) msec latency
[RUN #1 2%,   8 secs] 20 threads:     2305433 ops,  284068 (avg:  288023) ops/sec, 288.50MB/sec (avg: 292.52MB/sec), 11.25 (avg: 11.10) msec latency
[RUN #1 2%,   9 secs] 20 threads:     2592196 ops,  286700 (avg:  287876) ops/sec, 291.17MB/sec (avg: 292.37MB/sec), 11.16 (avg: 11.10) msec latency
[RUN #1 3%,  10 secs] 20 threads:     2877999 ops,  285740 (avg:  287662) ops/sec, 290.20MB/sec (avg: 292.15MB/sec), 11.20 (avg: 11.11) msec latency
[RUN #1 3%,  11 secs] 20 threads:     3164760 ops,  286703 (avg:  287575) ops/sec, 291.18MB/sec (avg: 292.06MB/sec), 11.16 (avg: 11.12) msec latency
[RUN #1 3%,  12 secs] 20 threads:     3451204 ops,  286392 (avg:  287476) ops/sec, 290.86MB/sec (avg: 291.96MB/sec), 11.17 (avg: 11.12) msec latency
[RUN #1 4%,  13 secs] 20 threads:     3739860 ops,  288600 (avg:  287563) ops/sec, 293.10MB/sec (avg: 292.05MB/sec), 11.09 (avg: 11.12) msec latency
[RUN #1 4%,  14 secs] 20 threads:     4026872 ops,  286779 (avg:  287507) ops/sec, 291.25MB/sec (avg: 291.99MB/sec), 11.14 (avg: 11.12) msec latency
[RUN #1 4%,  15 secs] 20 threads:     4314131 ops,  287202 (avg:  287487) ops/sec, 291.68MB/sec (avg: 291.97MB/sec), 11.13 (avg: 11.12) msec latency
[RUN #1 4%,  16 secs] 20 threads:     4598460 ops,  284273 (avg:  287286) ops/sec, 288.71MB/sec (avg: 291.77MB/sec), 11.26 (avg: 11.13) msec latency
[RUN #1 5%,  17 secs] 20 threads:     4883340 ops,  284831 (avg:  287141) ops/sec, 289.28MB/sec (avg: 291.62MB/sec), 11.24 (avg: 11.14) msec latency
[RUN #1 5%,  18 secs] 20 threads:     5169330 ops,  285937 (avg:  287074) ops/sec, 290.40MB/sec (avg: 291.55MB/sec), 11.17 (avg: 11.14) msec latency
[RUN #1 5%,  19 secs] 20 threads:     5454270 ops,  284871 (avg:  286958) ops/sec, 289.32MB/sec (avg: 291.44MB/sec), 11.24 (avg: 11.14) msec latency
[RUN #1 5%,  20 secs] 20 threads:     5740110 ops,  285770 (avg:  286899) ops/sec, 290.23MB/sec (avg: 291.38MB/sec), 11.20 (avg: 11.15) msec latency
[RUN #1 6%,  21 secs] 20 threads:     6024211 ops,  284044 (avg:  286763) ops/sec, 288.48MB/sec (avg: 291.24MB/sec), 11.27 (avg: 11.15) msec latency
[RUN #1 6%,  22 secs] 20 threads:     6309295 ops,  285030 (avg:  286684) ops/sec, 289.48MB/sec (avg: 291.16MB/sec), 11.22 (avg: 11.16) msec latency
[RUN #1 6%,  23 secs] 20 threads:     6593249 ops,  283902 (avg:  286563) ops/sec, 288.33MB/sec (avg: 291.03MB/sec), 11.27 (avg: 11.16) msec latency
[RUN #1 7%,  24 secs] 20 threads:     6878743 ops,  285430 (avg:  286516) ops/sec, 289.88MB/sec (avg: 290.99MB/sec), 11.20 (avg: 11.16) msec latency
[RUN #1 7%,  25 secs] 20 threads:     7164294 ops,  285488 (avg:  286475) ops/sec, 289.94MB/sec (avg: 290.95MB/sec), 11.21 (avg: 11.16) msec latency
[RUN #1 7%,  26 secs] 20 threads:     7450929 ops,  286580 (avg:  286479) ops/sec, 291.05MB/sec (avg: 290.95MB/sec), 11.17 (avg: 11.16) msec latency
[RUN #1 7%,  27 secs] 20 threads:     7738614 ops,  287628 (avg:  286522) ops/sec, 292.12MB/sec (avg: 290.99MB/sec), 11.12 (avg: 11.16) msec latency
[RUN #1 8%,  28 secs] 20 threads:     8025691 ops,  287017 (avg:  286539) ops/sec, 291.50MB/sec (avg: 291.01MB/sec), 11.14 (avg: 11.16) msec latency
[RUN #1 8%,  29 secs] 20 threads:     8310150 ops,  284400 (avg:  286466) ops/sec, 288.84MB/sec (avg: 290.94MB/sec), 11.25 (avg: 11.17) msec latency
[RUN #1 8%,  30 secs] 20 threads:     8596162 ops,  285960 (avg:  286449) ops/sec, 290.42MB/sec (avg: 290.92MB/sec), 11.18 (avg: 11.17) msec latency
[RUN #1 8%,  31 secs] 20 threads:     8883629 ops,  287409 (avg:  286480) ops/sec, 291.89MB/sec (avg: 290.95MB/sec), 11.13 (avg: 11.17) msec latency
[RUN #1 9%,  32 secs] 20 threads:     9168600 ops,  284918 (avg:  286431) ops/sec, 289.36MB/sec (avg: 290.90MB/sec), 11.23 (avg: 11.17) msec latency
[RUN #1 9%,  33 secs] 20 threads:     9454455 ops,  285797 (avg:  286412) ops/sec, 290.26MB/sec (avg: 290.88MB/sec), 11.19 (avg: 11.17) msec latency
[RUN #1 9%,  34 secs] 20 threads:     9743405 ops,  288893 (avg:  286485) ops/sec, 293.40MB/sec (avg: 290.95MB/sec), 11.08 (avg: 11.17) msec latency
[RUN #1 10%,  35 secs] 20 threads:    10027675 ops,  284207 (avg:  286420) ops/sec, 288.64MB/sec (avg: 290.89MB/sec), 11.25 (avg: 11.17) msec latency
[RUN #1 10%,  36 secs] 20 threads:    10315966 ops,  288222 (avg:  286470) ops/sec, 292.72MB/sec (avg: 290.94MB/sec), 11.11 (avg: 11.17) msec latency
[RUN #1 10%,  37 secs] 20 threads:    10604149 ops,  287983 (avg:  286511) ops/sec, 292.48MB/sec (avg: 290.98MB/sec), 11.10 (avg: 11.16) msec latency
[RUN #1 10%,  38 secs] 20 threads:    10891158 ops,  286953 (avg:  286522) ops/sec, 291.43MB/sec (avg: 290.99MB/sec), 11.16 (avg: 11.16) msec latency
[RUN #1 11%,  39 secs] 20 threads:    11181278 ops,  290064 (avg:  286613) ops/sec, 294.59MB/sec (avg: 291.09MB/sec), 11.03 (avg: 11.16) msec latency
[RUN #1 11%,  40 secs] 20 threads:    11469628 ops,  288293 (avg:  286655) ops/sec, 292.79MB/sec (avg: 291.13MB/sec), 11.10 (avg: 11.16) msec latency
[RUN #1 11%,  41 secs] 20 threads:    11756340 ops,  286653 (avg:  286655) ops/sec, 291.13MB/sec (avg: 291.13MB/sec), 11.16 (avg: 11.16) msec latency
[RUN #1 11%,  42 secs] 20 threads:    12039542 ops,  283149 (avg:  286572) ops/sec, 287.57MB/sec (avg: 291.04MB/sec), 11.29 (avg: 11.16) msec latency
[RUN #1 12%,  43 secs] 20 threads:    12322751 ops,  283154 (avg:  286492) ops/sec, 287.57MB/sec (avg: 290.96MB/sec), 11.31 (avg: 11.17) msec latency
[RUN #1 12%,  44 secs] 20 threads:    12607973 ops,  285161 (avg:  286462) ops/sec, 289.61MB/sec (avg: 290.93MB/sec), 11.21 (avg: 11.17) msec latency
[RUN #1 12%,  45 secs] 20 threads:    12894085 ops,  286052 (avg:  286453) ops/sec, 290.52MB/sec (avg: 290.92MB/sec), 11.19 (avg: 11.17) msec latency
[RUN #1 13%,  46 secs] 20 threads:    13178683 ops,  284542 (avg:  286411) ops/sec, 288.98MB/sec (avg: 290.88MB/sec), 11.23 (avg: 11.17) msec latency
[RUN #1 13%,  47 secs] 20 threads:    13464660 ops,  285920 (avg:  286401) ops/sec, 290.38MB/sec (avg: 290.87MB/sec), 11.20 (avg: 11.17) msec latency
[RUN #1 13%,  48 secs] 20 threads:    13751794 ops,  287081 (avg:  286415) ops/sec, 291.56MB/sec (avg: 290.88MB/sec), 11.14 (avg: 11.17) msec latency
[RUN #1 13%,  49 secs] 20 threads:    14037569 ops,  285717 (avg:  286401) ops/sec, 290.18MB/sec (avg: 290.87MB/sec), 11.21 (avg: 11.17) msec latency
[RUN #1 14%,  50 secs] 20 threads:    14323827 ops,  286205 (avg:  286397) ops/sec, 290.67MB/sec (avg: 290.87MB/sec), 11.16 (avg: 11.17) msec latency
[RUN #1 14%,  51 secs] 20 threads:    14608769 ops,  284871 (avg:  286367) ops/sec, 289.32MB/sec (avg: 290.84MB/sec), 11.23 (avg: 11.17) msec latency
[RUN #1 14%,  52 secs] 20 threads:    14894054 ops,  285224 (avg:  286345) ops/sec, 289.68MB/sec (avg: 290.81MB/sec), 11.23 (avg: 11.17) msec latency
[RUN #1 14%,  53 secs] 20 threads:    15179520 ops,  285402 (avg:  286327) ops/sec, 289.86MB/sec (avg: 290.80MB/sec), 11.20 (avg: 11.17) msec latency
[RUN #1 15%,  54 secs] 20 threads:    15465899 ops,  286324 (avg:  286327) ops/sec, 290.79MB/sec (avg: 290.80MB/sec), 11.18 (avg: 11.17) msec latency
[RUN #1 15%,  55 secs] 20 threads:    15751034 ops,  285074 (avg:  286304) ops/sec, 289.52MB/sec (avg: 290.77MB/sec), 11.22 (avg: 11.17) msec latency
[RUN #1 15%,  56 secs] 20 threads:    16038855 ops,  287707 (avg:  286329) ops/sec, 292.20MB/sec (avg: 290.80MB/sec), 11.12 (avg: 11.17) msec latency
[RUN #1 16%,  57 secs] 20 threads:    16323832 ops,  284914 (avg:  286304) ops/sec, 289.36MB/sec (avg: 290.77MB/sec), 11.24 (avg: 11.17) msec latency
[RUN #1 16%,  58 secs] 20 threads:    16608320 ops,  284428 (avg:  286272) ops/sec, 288.87MB/sec (avg: 290.74MB/sec), 11.25 (avg: 11.17) msec latency
[RUN #1 16%,  59 secs] 20 threads:    16894743 ops,  286372 (avg:  286274) ops/sec, 290.84MB/sec (avg: 290.74MB/sec), 11.16 (avg: 11.17) msec latency
[RUN #1 16%,  60 secs] 20 threads:    17179764 ops,  284962 (avg:  286252) ops/sec, 289.41MB/sec (avg: 290.72MB/sec), 11.23 (avg: 11.17) msec latency
[RUN #1 17%,  61 secs] 20 threads:    17465475 ops,  285648 (avg:  286242) ops/sec, 290.11MB/sec (avg: 290.71MB/sec), 11.19 (avg: 11.18) msec latency
[RUN #1 17%,  62 secs] 20 threads:    17752626 ops,  287084 (avg:  286256) ops/sec, 291.57MB/sec (avg: 290.72MB/sec), 11.15 (avg: 11.17) msec latency
[RUN #1 17%,  63 secs] 20 threads:    18037190 ops,  284507 (avg:  286228) ops/sec, 288.95MB/sec (avg: 290.69MB/sec), 11.24 (avg: 11.18) msec latency
[RUN #1 17%,  64 secs] 20 threads:    18323238 ops,  285987 (avg:  286224) ops/sec, 290.45MB/sec (avg: 290.69MB/sec), 11.18 (avg: 11.18) msec latency
[RUN #1 18%,  65 secs] 20 threads:    18609779 ops,  286481 (avg:  286228) ops/sec, 290.95MB/sec (avg: 290.70MB/sec), 11.18 (avg: 11.18) msec latency
[RUN #1 18%,  66 secs] 20 threads:    18896520 ops,  286558 (avg:  286233) ops/sec, 291.03MB/sec (avg: 290.70MB/sec), 11.16 (avg: 11.18) msec latency
[RUN #1 18%,  67 secs] 20 threads:    19184365 ops,  287788 (avg:  286256) ops/sec, 292.28MB/sec (avg: 290.72MB/sec), 11.11 (avg: 11.17) msec latency
[RUN #1 19%,  68 secs] 20 threads:    19471870 ops,  287442 (avg:  286274) ops/sec, 291.93MB/sec (avg: 290.74MB/sec), 11.13 (avg: 11.17) msec latency
[RUN #1 19%,  69 secs] 20 threads:    19758510 ops,  286584 (avg:  286278) ops/sec, 291.06MB/sec (avg: 290.75MB/sec), 11.17 (avg: 11.17) msec latency
[RUN #1 19%,  70 secs] 20 threads:    20043470 ops,  284900 (avg:  286258) ops/sec, 289.35MB/sec (avg: 290.73MB/sec), 11.24 (avg: 11.18) msec latency
[RUN #1 19%,  71 secs] 20 threads:    20330522 ops,  286990 (avg:  286269) ops/sec, 291.47MB/sec (avg: 290.74MB/sec), 11.14 (avg: 11.17) msec latency
[RUN #1 20%,  72 secs] 20 threads:    20617711 ops,  287138 (avg:  286281) ops/sec, 291.62MB/sec (avg: 290.75MB/sec), 11.15 (avg: 11.17) msec latency
[RUN #1 20%,  73 secs] 20 threads:    20906451 ops,  288677 (avg:  286314) ops/sec, 293.18MB/sec (avg: 290.78MB/sec), 11.07 (avg: 11.17) msec latency
[RUN #1 20%,  74 secs] 20 threads:    21197520 ops,  290980 (avg:  286377) ops/sec, 295.52MB/sec (avg: 290.85MB/sec), 10.99 (avg: 11.17) msec latency
[RUN #1 20%,  75 secs] 20 threads:    21481672 ops,  284099 (avg:  286346) ops/sec, 288.53MB/sec (avg: 290.82MB/sec), 11.25 (avg: 11.17) msec latency
[RUN #1 21%,  76 secs] 20 threads:    21764618 ops,  282893 (avg:  286301) ops/sec, 287.31MB/sec (avg: 290.77MB/sec), 11.33 (avg: 11.17) msec latency
[RUN #1 21%,  77 secs] 20 threads:    22051014 ops,  286341 (avg:  286301) ops/sec, 290.81MB/sec (avg: 290.77MB/sec), 11.16 (avg: 11.17) msec latency
[RUN #1 21%,  78 secs] 20 threads:    22334615 ops,  283551 (avg:  286266) ops/sec, 287.98MB/sec (avg: 290.73MB/sec), 11.30 (avg: 11.17) msec latency
[RUN #1 22%,  79 secs] 20 threads:    22621914 ops,  287236 (avg:  286278) ops/sec, 291.72MB/sec (avg: 290.75MB/sec), 11.13 (avg: 11.17) msec latency
[RUN #1 22%,  80 secs] 20 threads:    22908913 ops,  286744 (avg:  286284) ops/sec, 291.22MB/sec (avg: 290.75MB/sec), 11.16 (avg: 11.17) msec latency
[RUN #1 22%,  81 secs] 20 threads:    23197740 ops,  288776 (avg:  286315) ops/sec, 293.28MB/sec (avg: 290.78MB/sec), 11.08 (avg: 11.17) msec latency
[RUN #1 22%,  82 secs] 20 threads:    23486130 ops,  288336 (avg:  286340) ops/sec, 292.84MB/sec (avg: 290.81MB/sec), 11.09 (avg: 11.17) msec latency
[RUN #1 23%,  83 secs] 20 threads:    23768445 ops,  282267 (avg:  286291) ops/sec, 286.67MB/sec (avg: 290.76MB/sec), 11.33 (avg: 11.17) msec latency
[RUN #1 23%,  84 secs] 20 threads:    24055789 ops,  287291 (avg:  286303) ops/sec, 291.78MB/sec (avg: 290.77MB/sec), 11.14 (avg: 11.17) msec latency
[RUN #1 23%,  85 secs] 20 threads:    24341090 ops,  285257 (avg:  286290) ops/sec, 289.71MB/sec (avg: 290.76MB/sec), 11.21 (avg: 11.17) msec latency
[RUN #1 23%,  86 secs] 20 threads:    24628067 ops,  286915 (avg:  286298) ops/sec, 291.39MB/sec (avg: 290.77MB/sec), 11.16 (avg: 11.17) msec latency
[RUN #1 24%,  87 secs] 20 threads:    24913744 ops,  285629 (avg:  286290) ops/sec, 290.09MB/sec (avg: 290.76MB/sec), 11.19 (avg: 11.17) msec latency
[RUN #1 24%,  88 secs] 20 threads:    25203124 ops,  289326 (avg:  286324) ops/sec, 293.84MB/sec (avg: 290.79MB/sec), 11.07 (avg: 11.17) msec latency
[RUN #1 24%,  89 secs] 20 threads:    25490718 ops,  287543 (avg:  286338) ops/sec, 292.03MB/sec (avg: 290.81MB/sec), 11.12 (avg: 11.17) msec latency
[RUN #1 25%,  90 secs] 20 threads:    25775625 ops,  284847 (avg:  286321) ops/sec, 289.29MB/sec (avg: 290.79MB/sec), 11.23 (avg: 11.17) msec latency
[RUN #1 25%,  91 secs] 20 threads:    26063420 ops,  287739 (avg:  286337) ops/sec, 292.23MB/sec (avg: 290.81MB/sec), 11.13 (avg: 11.17) msec latency
[RUN #1 25%,  92 secs] 20 threads:    26347645 ops,  284168 (avg:  286313) ops/sec, 288.60MB/sec (avg: 290.78MB/sec), 11.25 (avg: 11.17) msec latency
[RUN #1 25%,  93 secs] 20 threads:    26634846 ops,  287152 (avg:  286322) ops/sec, 291.64MB/sec (avg: 290.79MB/sec), 11.14 (avg: 11.17) msec latency
