0
SIGN:success disable Auto NUMA
SIGN: success disable SWAP
SIGN: success set pagetable cache 131072
root      2202  0.0  0.0   7592  3588 pts/1    S    00:33   0:00              \_ sudo nohup ./memcachedTestScript.sh
root      2203  0.0  0.0   4972  2948 pts/1    S    00:33   0:00                  \_ /bin/bash ./memcachedTestScript.sh
root      2236  0.0  0.0   4372   604 pts/1    S    00:33   0:00                      \_ grep memcached
root      2233  0.0  0.0  13968  3204 ?        Rsl  00:33   0:00 memcached -d -m 122880 -p 6379 -u root -t 64
SIGN: success start redis server with pgreplication
===begin prepare data for test===
Writing results to ./FM-1st/memcached_test_prepare_FM_OFF_20230815003306.log...
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 0%,   1 secs] 20 threads:      305880 ops,  303576 (avg:  303576) ops/sec, 308.31MB/sec (avg: 308.31MB/sec), 10.47 (avg: 10.47) msec latency
[RUN #1 1%,   2 secs] 20 threads:      593801 ops,  287859 (avg:  295746) ops/sec, 292.35MB/sec (avg: 300.36MB/sec), 11.12 (avg: 10.79) msec latency
[RUN #1 1%,   3 secs] 20 threads:      883109 ops,  289253 (avg:  293587) ops/sec, 293.76MB/sec (avg: 298.17MB/sec), 11.06 (avg: 10.88) msec latency
[RUN #1 1%,   4 secs] 20 threads:     1169972 ops,  286797 (avg:  291893) ops/sec, 291.27MB/sec (avg: 296.45MB/sec), 11.14 (avg: 10.94) msec latency
[RUN #1 1%,   5 secs] 20 threads:     1457008 ops,  286981 (avg:  290912) ops/sec, 291.46MB/sec (avg: 295.45MB/sec), 11.16 (avg: 10.98) msec latency
[RUN #1 2%,   6 secs] 20 threads:     1741245 ops,  284171 (avg:  289790) ops/sec, 288.61MB/sec (avg: 294.31MB/sec), 11.27 (avg: 11.03) msec latency
[RUN #1 2%,   7 secs] 20 threads:     2030544 ops,  289230 (avg:  289710) ops/sec, 293.74MB/sec (avg: 294.23MB/sec), 11.06 (avg: 11.03) msec latency
[RUN #1 2%,   8 secs] 20 threads:     2320855 ops,  290250 (avg:  289777) ops/sec, 294.78MB/sec (avg: 294.30MB/sec), 11.02 (avg: 11.03) msec latency
[RUN #1 2%,   9 secs] 20 threads:     2608976 ops,  288065 (avg:  289587) ops/sec, 292.56MB/sec (avg: 294.11MB/sec), 11.11 (avg: 11.04) msec latency
[RUN #1 3%,  10 secs] 20 threads:     2898917 ops,  289890 (avg:  289618) ops/sec, 294.41MB/sec (avg: 294.14MB/sec), 11.04 (avg: 11.04) msec latency
[RUN #1 3%,  11 secs] 20 threads:     3188675 ops,  289703 (avg:  289625) ops/sec, 294.22MB/sec (avg: 294.14MB/sec), 11.04 (avg: 11.04) msec latency
[RUN #1 3%,  12 secs] 20 threads:     3474510 ops,  285771 (avg:  289304) ops/sec, 290.23MB/sec (avg: 293.82MB/sec), 11.19 (avg: 11.05) msec latency
[RUN #1 4%,  13 secs] 20 threads:     3762786 ops,  288222 (avg:  289221) ops/sec, 292.72MB/sec (avg: 293.73MB/sec), 11.10 (avg: 11.06) msec latency
[RUN #1 4%,  14 secs] 20 threads:     4050781 ops,  287940 (avg:  289130) ops/sec, 292.43MB/sec (avg: 293.64MB/sec), 11.11 (avg: 11.06) msec latency
[RUN #1 4%,  15 secs] 20 threads:     4340040 ops,  289204 (avg:  289135) ops/sec, 293.72MB/sec (avg: 293.65MB/sec), 11.06 (avg: 11.06) msec latency
[RUN #1 4%,  16 secs] 20 threads:     4631406 ops,  291313 (avg:  289271) ops/sec, 295.86MB/sec (avg: 293.78MB/sec), 11.00 (avg: 11.06) msec latency
[RUN #1 5%,  17 secs] 20 threads:     4922370 ops,  290906 (avg:  289367) ops/sec, 295.45MB/sec (avg: 293.88MB/sec), 11.00 (avg: 11.05) msec latency
[RUN #1 5%,  18 secs] 20 threads:     5210876 ops,  288444 (avg:  289316) ops/sec, 292.95MB/sec (avg: 293.83MB/sec), 11.09 (avg: 11.05) msec latency
[RUN #1 5%,  19 secs] 20 threads:     5497612 ops,  286679 (avg:  289177) ops/sec, 291.15MB/sec (avg: 293.69MB/sec), 11.15 (avg: 11.06) msec latency
[RUN #1 6%,  20 secs] 20 threads:     5787024 ops,  289365 (avg:  289186) ops/sec, 293.88MB/sec (avg: 293.70MB/sec), 11.06 (avg: 11.06) msec latency
[RUN #1 6%,  21 secs] 20 threads:     6078304 ops,  291222 (avg:  289283) ops/sec, 295.77MB/sec (avg: 293.80MB/sec), 10.98 (avg: 11.06) msec latency
[RUN #1 6%,  22 secs] 20 threads:     6368452 ops,  290091 (avg:  289320) ops/sec, 294.62MB/sec (avg: 293.83MB/sec), 11.03 (avg: 11.05) msec latency
[RUN #1 6%,  23 secs] 20 threads:     6659872 ops,  291366 (avg:  289409) ops/sec, 295.91MB/sec (avg: 293.92MB/sec), 10.99 (avg: 11.05) msec latency
[RUN #1 7%,  24 secs] 20 threads:     6949800 ops,  289655 (avg:  289419) ops/sec, 294.17MB/sec (avg: 293.93MB/sec), 11.06 (avg: 11.05) msec latency
[RUN #1 7%,  25 secs] 20 threads:     7239998 ops,  290144 (avg:  289448) ops/sec, 294.67MB/sec (avg: 293.96MB/sec), 11.02 (avg: 11.05) msec latency
[RUN #1 7%,  26 secs] 20 threads:     7531350 ops,  291287 (avg:  289519) ops/sec, 295.83MB/sec (avg: 294.04MB/sec), 10.98 (avg: 11.05) msec latency
[RUN #1 7%,  27 secs] 20 threads:     7824285 ops,  292884 (avg:  289643) ops/sec, 297.45MB/sec (avg: 294.16MB/sec), 10.93 (avg: 11.04) msec latency
[RUN #1 8%,  28 secs] 20 threads:     8111911 ops,  287574 (avg:  289569) ops/sec, 292.06MB/sec (avg: 294.09MB/sec), 11.13 (avg: 11.05) msec latency
[RUN #1 8%,  29 secs] 20 threads:     8400500 ops,  288527 (avg:  289534) ops/sec, 293.03MB/sec (avg: 294.05MB/sec), 11.07 (avg: 11.05) msec latency
[RUN #1 8%,  30 secs] 20 threads:     8691737 ops,  291178 (avg:  289588) ops/sec, 295.72MB/sec (avg: 294.11MB/sec), 10.99 (avg: 11.04) msec latency
[RUN #1 9%,  31 secs] 20 threads:     8980095 ops,  288302 (avg:  289547) ops/sec, 292.80MB/sec (avg: 294.06MB/sec), 11.10 (avg: 11.05) msec latency
[RUN #1 9%,  32 secs] 20 threads:     9270708 ops,  290561 (avg:  289579) ops/sec, 295.10MB/sec (avg: 294.10MB/sec), 11.01 (avg: 11.05) msec latency
[RUN #1 9%,  33 secs] 20 threads:     9559760 ops,  288991 (avg:  289561) ops/sec, 293.50MB/sec (avg: 294.08MB/sec), 11.06 (avg: 11.05) msec latency
[RUN #1 9%,  34 secs] 20 threads:     9849447 ops,  289637 (avg:  289563) ops/sec, 294.16MB/sec (avg: 294.08MB/sec), 11.05 (avg: 11.05) msec latency
[RUN #1 10%,  35 secs] 20 threads:    10139445 ops,  289934 (avg:  289574) ops/sec, 294.46MB/sec (avg: 294.09MB/sec), 11.04 (avg: 11.05) msec latency
[RUN #1 10%,  36 secs] 20 threads:    10429166 ops,  289654 (avg:  289576) ops/sec, 294.17MB/sec (avg: 294.09MB/sec), 11.04 (avg: 11.05) msec latency
[RUN #1 10%,  37 secs] 20 threads:    10720028 ops,  290806 (avg:  289609) ops/sec, 295.34MB/sec (avg: 294.13MB/sec), 11.00 (avg: 11.04) msec latency
[RUN #1 11%,  38 secs] 20 threads:    11010395 ops,  290307 (avg:  289627) ops/sec, 294.84MB/sec (avg: 294.15MB/sec), 11.02 (avg: 11.04) msec latency
[RUN #1 11%,  39 secs] 20 threads:    11300565 ops,  290113 (avg:  289640) ops/sec, 294.64MB/sec (avg: 294.16MB/sec), 11.03 (avg: 11.04) msec latency
[RUN #1 11%,  40 secs] 20 threads:    11592494 ops,  291875 (avg:  289696) ops/sec, 296.43MB/sec (avg: 294.22MB/sec), 10.96 (avg: 11.04) msec latency
[RUN #1 11%,  41 secs] 20 threads:    11883780 ops,  291220 (avg:  289733) ops/sec, 295.76MB/sec (avg: 294.25MB/sec), 10.99 (avg: 11.04) msec latency
[RUN #1 12%,  42 secs] 20 threads:    12175578 ops,  291733 (avg:  289781) ops/sec, 296.29MB/sec (avg: 294.30MB/sec), 10.97 (avg: 11.04) msec latency
[RUN #1 12%,  43 secs] 20 threads:    12468106 ops,  292470 (avg:  289843) ops/sec, 297.03MB/sec (avg: 294.37MB/sec), 10.93 (avg: 11.04) msec latency
[RUN #1 12%,  44 secs] 20 threads:    12757274 ops,  289109 (avg:  289826) ops/sec, 293.62MB/sec (avg: 294.35MB/sec), 11.08 (avg: 11.04) msec latency
[RUN #1 12%,  45 secs] 20 threads:    13048225 ops,  290900 (avg:  289850) ops/sec, 295.44MB/sec (avg: 294.37MB/sec), 10.99 (avg: 11.04) msec latency
[RUN #1 13%,  46 secs] 20 threads:    13341375 ops,  293091 (avg:  289921) ops/sec, 297.67MB/sec (avg: 294.44MB/sec), 10.92 (avg: 11.03) msec latency
[RUN #1 13%,  47 secs] 20 threads:    13631664 ops,  290230 (avg:  289927) ops/sec, 294.76MB/sec (avg: 294.45MB/sec), 11.03 (avg: 11.03) msec latency
[RUN #1 13%,  48 secs] 20 threads:    13922819 ops,  291104 (avg:  289952) ops/sec, 295.65MB/sec (avg: 294.48MB/sec), 10.99 (avg: 11.03) msec latency
[RUN #1 14%,  49 secs] 20 threads:    14211494 ops,  288626 (avg:  289925) ops/sec, 293.13MB/sec (avg: 294.45MB/sec), 11.08 (avg: 11.03) msec latency
[RUN #1 14%,  50 secs] 20 threads:    14501600 ops,  290052 (avg:  289927) ops/sec, 294.58MB/sec (avg: 294.45MB/sec), 11.03 (avg: 11.03) msec latency
[RUN #1 14%,  51 secs] 20 threads:    14794240 ops,  292582 (avg:  289979) ops/sec, 297.15MB/sec (avg: 294.50MB/sec), 10.93 (avg: 11.03) msec latency
[RUN #1 14%,  52 secs] 20 threads:    15086512 ops,  292222 (avg:  290022) ops/sec, 296.78MB/sec (avg: 294.55MB/sec), 10.95 (avg: 11.03) msec latency
[RUN #1 15%,  53 secs] 20 threads:    15376875 ops,  290301 (avg:  290028) ops/sec, 294.83MB/sec (avg: 294.55MB/sec), 11.01 (avg: 11.03) msec latency
[RUN #1 15%,  54 secs] 20 threads:    15669331 ops,  292402 (avg:  290072) ops/sec, 296.97MB/sec (avg: 294.60MB/sec), 10.94 (avg: 11.03) msec latency
[RUN #1 15%,  55 secs] 20 threads:    15959205 ops,  289809 (avg:  290067) ops/sec, 294.33MB/sec (avg: 294.59MB/sec), 11.05 (avg: 11.03) msec latency
[RUN #1 15%,  56 secs] 20 threads:    16247084 ops,  287823 (avg:  290027) ops/sec, 292.32MB/sec (avg: 294.55MB/sec), 11.11 (avg: 11.03) msec latency
[RUN #1 16%,  57 secs] 20 threads:    16539765 ops,  292629 (avg:  290072) ops/sec, 297.20MB/sec (avg: 294.60MB/sec), 10.93 (avg: 11.03) msec latency
[RUN #1 16%,  58 secs] 20 threads:    16830991 ops,  291160 (avg:  290091) ops/sec, 295.71MB/sec (avg: 294.62MB/sec), 10.98 (avg: 11.03) msec latency
[RUN #1 16%,  59 secs] 20 threads:    17123744 ops,  292692 (avg:  290135) ops/sec, 297.26MB/sec (avg: 294.66MB/sec), 10.94 (avg: 11.03) msec latency
[RUN #1 17%,  60 secs] 20 threads:    17416323 ops,  292522 (avg:  290175) ops/sec, 297.09MB/sec (avg: 294.70MB/sec), 10.93 (avg: 11.02) msec latency
[RUN #1 17%,  61 secs] 20 threads:    17707525 ops,  291136 (avg:  290191) ops/sec, 295.68MB/sec (avg: 294.72MB/sec), 10.99 (avg: 11.02) msec latency
[RUN #1 17%,  62 secs] 20 threads:    17999193 ops,  291616 (avg:  290214) ops/sec, 296.17MB/sec (avg: 294.74MB/sec), 10.97 (avg: 11.02) msec latency
[RUN #1 17%,  63 secs] 20 threads:    18291423 ops,  292173 (avg:  290245) ops/sec, 296.74MB/sec (avg: 294.77MB/sec), 10.96 (avg: 11.02) msec latency
[RUN #1 18%,  64 secs] 20 threads:    18581598 ops,  290115 (avg:  290243) ops/sec, 294.64MB/sec (avg: 294.77MB/sec), 11.02 (avg: 11.02) msec latency
[RUN #1 18%,  65 secs] 20 threads:    18874393 ops,  292557 (avg:  290278) ops/sec, 297.12MB/sec (avg: 294.81MB/sec), 10.95 (avg: 11.02) msec latency
[RUN #1 18%,  66 secs] 20 threads:    19163498 ops,  289052 (avg:  290260) ops/sec, 293.57MB/sec (avg: 294.79MB/sec), 11.06 (avg: 11.02) msec latency
[RUN #1 19%,  67 secs] 20 threads:    19456725 ops,  293166 (avg:  290303) ops/sec, 297.74MB/sec (avg: 294.83MB/sec), 10.91 (avg: 11.02) msec latency
[RUN #1 19%,  68 secs] 20 threads:    19748365 ops,  291589 (avg:  290322) ops/sec, 296.14MB/sec (avg: 294.85MB/sec), 10.97 (avg: 11.02) msec latency
[RUN #1 19%,  69 secs] 20 threads:    20044363 ops,  295943 (avg:  290404) ops/sec, 300.56MB/sec (avg: 294.94MB/sec), 10.82 (avg: 11.02) msec latency
[RUN #1 19%,  70 secs] 20 threads:    20336996 ops,  292569 (avg:  290435) ops/sec, 297.14MB/sec (avg: 294.97MB/sec), 10.92 (avg: 11.01) msec latency
[RUN #1 20%,  71 secs] 20 threads:    20631120 ops,  294067 (avg:  290486) ops/sec, 298.66MB/sec (avg: 295.02MB/sec), 10.89 (avg: 11.01) msec latency
[RUN #1 20%,  72 secs] 20 threads:    20926890 ops,  295708 (avg:  290558) ops/sec, 300.32MB/sec (avg: 295.09MB/sec), 10.81 (avg: 11.01) msec latency
[RUN #1 20%,  73 secs] 20 threads:    21217888 ops,  290946 (avg:  290564) ops/sec, 295.49MB/sec (avg: 295.10MB/sec), 11.00 (avg: 11.01) msec latency
