Device             tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
vda              33.44       996.24        39.60     677769      26940
vda              33.48       994.02        39.78     679409      27192
vda              33.43       991.22        39.71     680481      27260
vda              33.39       988.67        39.54     681697      27260
vda              33.34       986.01        39.39     682833      27276
vda              33.31       983.55        39.22     684085      27276
vda              33.31       982.38        39.07     686229      27292
vda              33.29       980.51        38.90     687877      27292
vda              33.36       979.45        38.77     690069      27312
vda              33.35       977.19        38.60     691421      27312
vda              33.37       975.34        38.52     693049      27372
vda              33.36       973.19        38.38     694445      27388
vda              33.53       973.84        38.22     697845      27388
vda              33.68       973.93        38.21     700881      27496
vda              33.89       975.55        38.05     704981      27496
vda              34.61       984.65        37.84     716213      27520
vda              35.10       991.00        37.70     723813      27532
vda              35.74      1000.09        37.55     733473      27536
vda              36.29      1007.55        37.39     741973      27536
vda              37.00      1017.55        37.27     752437      27560
vda              37.68      1026.21        37.36     761933      27736
vda              38.20      1033.07        37.21     770129      27740
vda              38.86      1042.55        37.07     780337      27748
vda              39.47      1050.85        36.98     789857      27796
vda              40.09      1059.54        36.84     799585      27804
vda              41.07      1073.84        36.71     815057      27864
vda              41.67      1082.14        36.58     824609      27872
vda              42.26      1090.55        36.50     834305      27924
vda              42.84      1098.74        36.36     843873      27928
vda              43.44      1106.91        36.22     853473      27928
vda              44.19      1117.70        36.07     865997      27944
vda              44.81      1126.50        35.93     876205      27944
vda              46.96      1158.29        35.47     913829      27980
vda              47.58      1167.38        35.35     924609      27996
vda              48.12      1175.25        35.25     934385      28024
vda              48.73      1184.25        35.13     945177      28040
vda              49.34      1193.27        35.01     955961      28048
vda              49.87      1201.30        34.93     966009      28088
vda              50.48      1210.42        34.83     976981      28112
vda              51.08      1219.14        34.78     987685      28180
vda              51.66      1227.75        34.66     998677      28196
vda              52.17      1235.30        34.54    1008533      28196
vda              52.75      1244.25        34.42    1019589      28204
vda              53.28      1251.93        34.33    1029653      28232
vda              53.78      1259.46        34.21    1039637      28240
vda              54.36      1268.29        34.10    1050725      28248
vda              55.47      1286.13        33.88    1073521      28280
vda              55.96      1293.65        33.77    1083693      28288
vda              57.22      1313.41        33.52    1109741      28320
vda              57.72      1321.05        33.41    1120169      28328
vda              58.31      1330.12        33.32    1132505      28368
vda              58.77      1337.72        33.21    1142997      28372
vda              59.24      1345.06        33.11    1153317      28392
vda              59.82      1353.94        33.00    1165589      28412
vda              60.35      1362.59        32.90    1177141      28424
vda              60.80      1369.92        32.80    1187601      28436
vda              61.31      1378.48        32.69    1199169      28440
vda              61.79      1386.39        32.58    1210237      28440
vda              62.62      1400.01        32.41    1229389      28456
vda              63.14      1408.34        32.31    1240941      28472
vda              63.60      1416.21        32.20    1252141      28472
vda              64.08      1424.16        32.11    1263453      28484
vda              76.29      1629.81        29.33    1584545      28512
vda              76.73      1637.54        29.28    1596997      28552
vda              77.08      1643.67        29.19    1607917      28556
vda              77.49      1650.98        29.10    1620037      28556
vda              78.01      1659.80        29.03    1634305      28584
vda              78.41      1667.03        28.97    1646437      28616
vda              78.97      1676.97        28.90    1662145      28648
vda              79.32      1683.14        28.82    1673305      28656
vda              79.92      1693.58        28.71    1691433      28672
vda              80.32      1700.80        28.64    1703757      28692
vda              80.78      1708.74        28.59    1716857      28724
vda              81.07      1713.40        28.51    1726697      28728
vda              81.52      1721.35        28.43    1739893      28736
vda              82.15      1731.65        28.32    1758941      28768
vda              82.60      1739.37        28.26    1772021      28788
vda              83.05      1747.47        28.19    1785529      28804
vda              87.68      1824.92        27.33    1925057      28832
vda              88.12      1832.21        27.29    1938261      28864
vda              88.60      1840.11        27.21    1952157      28868
vda              89.02      1847.18        27.15    1965209      28888
vda              89.54      1855.55        27.08    1979705      28892
vda              89.89      1861.36        27.00    1991505      28892
vda              90.49      1871.29        26.95    2008677      28932
vda              90.95      1878.63        26.88    2022209      28932
vda              91.47      1886.71        26.82    2036777      28948
vda              91.92      1894.35        26.74    2050733      28948
vda              92.44      1903.02        26.68    2066109      28964
