time               total        used        free      shared  buff/cache   available
2023-07-29 18:08:35  Mem:           125G        9.2G        115G        1.1M        734M        115G
2023-07-29 18:08:38  Mem:           125G        9.2G        115G        1.1M        735M        115G
2023-07-29 18:08:41  Mem:           125G        9.2G        115G        1.1M        737M        115G
2023-07-29 18:08:44  Mem:           125G        9.2G        115G        1.1M        738M        115G
2023-07-29 18:08:47  Mem:           125G        9.2G        115G        1.1M        739M        115G
2023-07-29 18:08:50  Mem:           125G        9.2G        115G        1.1M        740M        115G
2023-07-29 18:08:53  Mem:           125G        9.3G        115G        1.1M        743M        114G
2023-07-29 18:08:56  Mem:           125G        9.3G        115G        1.1M        744M        114G
2023-07-29 18:08:59  Mem:           125G        9.4G        115G        1.1M        748M        114G
2023-07-29 18:09:02  Mem:           125G        9.4G        115G        1.1M        752M        114G
2023-07-29 18:09:05  Mem:           125G        9.4G        115G        1.1M        754M        114G
2023-07-29 18:09:08  Mem:           125G        9.4G        115G        1.1M        757M        114G
2023-07-29 18:09:11  Mem:           125G        9.4G        115G        1.1M        759M        114G
2023-07-29 18:09:14  Mem:           125G        9.4G        115G        1.1M        763M        114G
2023-07-29 18:09:17  Mem:           125G        9.4G        115G        1.1M        771M        114G
2023-07-29 18:09:22  Mem:           125G        9.4G        114G        1.1M        783M        114G
2023-07-29 18:09:25  Mem:           125G        9.4G        114G        1.1M        791M        114G
2023-07-29 18:09:28  Mem:           125G        9.4G        114G        1.1M        799M        114G
2023-07-29 18:09:31  Mem:           125G        9.4G        114G        1.1M        810M        114G
2023-07-29 18:09:34  Mem:           125G        9.4G        114G        1.1M        819M        114G
2023-07-29 18:09:37  Mem:           125G        9.4G        114G        1.1M        826M        114G
2023-07-29 18:09:40  Mem:           125G        9.4G        114G        1.1M        835M        114G
2023-07-29 18:09:43  Mem:           125G        9.4G        114G        1.1M        846M        114G
2023-07-29 18:09:46  Mem:           125G        9.5G        114G        1.1M        858M        114G
2023-07-29 18:09:49  Mem:           125G        9.5G        114G        1.1M        865M        114G
2023-07-29 18:09:53  Mem:           125G        9.5G        114G        1.1M        881M        114G
2023-07-29 18:09:56  Mem:           125G        9.5G        114G        1.1M        893M        114G
2023-07-29 18:09:59  Mem:           125G        9.5G        114G        1.1M        901M        114G
2023-07-29 18:10:02  Mem:           125G        9.5G        114G        1.1M        907M        114G
2023-07-29 18:10:05  Mem:           125G        9.5G        114G        1.1M        922M        114G
2023-07-29 18:10:09  Mem:           125G        9.5G        114G        1.1M        934M        114G
2023-07-29 18:10:12  Mem:           125G        9.5G        114G        1.1M        944M        114G
2023-07-29 18:10:23  Mem:           125G        9.6G        114G        1.1M        982M        114G
2023-07-29 18:10:26  Mem:           125G        9.6G        114G        1.1M        993M        114G
2023-07-29 18:10:29  Mem:           125G        9.6G        114G        1.1M        1.0G        114G
2023-07-29 18:10:32  Mem:           125G        9.6G        114G        1.1M        1.0G        114G
2023-07-29 18:10:35  Mem:           125G        9.6G        114G        1.1M        1.0G        114G
2023-07-29 18:10:38  Mem:           125G        9.6G        114G        1.1M        1.0G        114G
2023-07-29 18:10:41  Mem:           125G        9.6G        114G        1.1M        1.0G        114G
2023-07-29 18:10:44  Mem:           125G        9.7G        114G        1.1M        1.0G        114G
2023-07-29 18:10:48  Mem:           125G        9.7G        114G        1.1M        1.0G        114G
2023-07-29 18:10:51  Mem:           125G        9.7G        114G        1.1M        1.1G        114G
2023-07-29 18:10:54  Mem:           125G        9.7G        114G        1.1M        1.1G        114G
2023-07-29 18:10:57  Mem:           125G        9.7G        114G        1.1M        1.1G        114G
2023-07-29 18:11:00  Mem:           125G        9.7G        114G        1.1M        1.1G        114G
2023-07-29 18:11:03  Mem:           125G        9.7G        114G        1.1M        1.1G        114G
2023-07-29 18:11:09  Mem:           125G        9.7G        114G        1.1M        1.1G        114G
2023-07-29 18:11:12  Mem:           125G        9.7G        114G        1.1M        1.1G        114G
2023-07-29 18:11:19  Mem:           125G        9.8G        114G        1.1M        1.1G        114G
2023-07-29 18:11:22  Mem:           125G        9.8G        114G        1.1M        1.2G        114G
2023-07-29 18:11:26  Mem:           125G        9.8G        114G        1.1M        1.2G        114G
2023-07-29 18:11:29  Mem:           125G        9.8G        114G        1.1M        1.2G        114G
2023-07-29 18:11:32  Mem:           125G        9.8G        114G        1.1M        1.2G        114G
2023-07-29 18:11:35  Mem:           125G        9.8G        114G        1.1M        1.2G        114G
2023-07-29 18:11:38  Mem:           125G        9.8G        114G        1.1M        1.2G        114G
2023-07-29 18:11:41  Mem:           125G        9.8G        114G        1.1M        1.2G        114G
2023-07-29 18:11:44  Mem:           125G        9.8G        114G        1.1M        1.2G        114G
2023-07-29 18:11:47  Mem:           125G        9.9G        114G        1.1M        1.2G        114G
2023-07-29 18:11:52  Mem:           125G        9.9G        114G        1.1M        1.3G        114G
2023-07-29 18:11:55  Mem:           125G        9.9G        113G        1.1M        1.3G        114G
2023-07-29 18:11:58  Mem:           125G        9.9G        113G        1.1M        1.3G        114G
2023-07-29 18:12:01  Mem:           125G        9.9G        113G        1.1M        1.3G        114G
2023-07-29 18:13:27  Mem:           125G         10G        113G        1.1M        1.6G        114G
2023-07-29 18:13:30  Mem:           125G         10G        113G        1.1M        1.6G        114G
2023-07-29 18:13:33  Mem:           125G         10G        113G        1.1M        1.6G        114G
2023-07-29 18:13:36  Mem:           125G         10G        113G        1.1M        1.6G        114G
2023-07-29 18:13:39  Mem:           125G         10G        113G        1.1M        1.7G        114G
2023-07-29 18:13:42  Mem:           125G         10G        113G        1.1M        1.7G        114G
2023-07-29 18:13:45  Mem:           125G         10G        113G        1.1M        1.7G        114G
2023-07-29 18:13:48  Mem:           125G         10G        113G        1.1M        1.7G        113G
2023-07-29 18:13:53  Mem:           125G         10G        113G        1.1M        1.7G        113G
2023-07-29 18:13:56  Mem:           125G         10G        113G        1.1M        1.7G        113G
2023-07-29 18:13:59  Mem:           125G         10G        113G        1.1M        1.7G        113G
2023-07-29 18:14:02  Mem:           125G         10G        113G        1.1M        1.7G        113G
2023-07-29 18:14:05  Mem:           125G         10G        113G        1.1M        1.8G        113G
2023-07-29 18:14:10  Mem:           125G         10G        113G        1.1M        1.8G        113G
2023-07-29 18:14:13  Mem:           125G         10G        113G        1.1M        1.8G        113G
2023-07-29 18:14:16  Mem:           125G         10G        113G        1.1M        1.8G        113G
2023-07-29 18:14:49  Mem:           125G         10G        112G        1.1M        1.9G        113G
2023-07-29 18:14:52  Mem:           125G         10G        112G        1.1M        1.9G        113G
2023-07-29 18:14:55  Mem:           125G         10G        112G        1.1M        2.0G        113G
2023-07-29 18:14:58  Mem:           125G         10G        112G        1.1M        2.0G        113G
2023-07-29 18:15:01  Mem:           125G         10G        112G        1.1M        2.0G        113G
2023-07-29 18:15:04  Mem:           125G         10G        112G        1.1M        2.0G        113G
2023-07-29 18:15:08  Mem:           125G         10G        112G        1.1M        2.0G        113G
2023-07-29 18:15:11  Mem:           125G         10G        112G        1.1M        2.0G        113G
2023-07-29 18:15:14  Mem:           125G         10G        112G        1.1M        2.0G        113G
2023-07-29 18:15:17  Mem:           125G         10G        112G        1.1M        2.1G        113G
2023-07-29 18:15:20  Mem:           125G         10G        112G        1.1M        2.1G        113G
2023-07-29 18:15:23  Mem:           125G         10G        112G        1.1M        2.1G        113G
2023-07-29 18:15:27  Mem:           125G         10G        112G        1.1M        2.1G        113G
2023-07-29 18:15:30  Mem:           125G         10G        112G        1.1M        2.1G        113G
2023-07-29 18:15:33  Mem:           125G         10G        112G        1.1M        2.1G        113G
2023-07-29 18:15:36  Mem:           125G         10G        112G        1.1M        2.1G        113G
2023-07-29 18:15:39  Mem:           125G         10G        112G        1.1M        2.2G        113G
2023-07-29 18:15:44  Mem:           125G         10G        112G        1.1M        2.2G        113G
2023-07-29 18:15:47  Mem:           125G         10G        112G        1.1M        2.2G        113G
2023-07-29 18:15:50  Mem:           125G         10G        112G        1.1M        2.2G        113G
2023-07-29 18:15:53  Mem:           125G         10G        112G        1.1M        2.2G        113G
2023-07-29 18:15:56  Mem:           125G         10G        112G        1.1M        2.2G        113G
2023-07-29 18:15:59  Mem:           125G         10G        112G        1.1M        2.2G        113G
2023-07-29 18:16:02  Mem:           125G         10G        112G        1.1M        2.3G        113G
2023-07-29 18:16:05  Mem:           125G         10G        112G        1.1M        2.3G        113G
2023-07-29 18:16:08  Mem:           125G         10G        112G        1.1M        2.3G        113G
2023-07-29 18:16:11  Mem:           125G         10G        112G        1.1M        2.3G        113G
2023-07-29 18:16:14  Mem:           125G         10G        112G        1.1M        2.3G        113G
2023-07-29 18:16:19  Mem:           125G         10G        111G        1.1M        2.3G        113G
2023-07-29 18:16:22  Mem:           125G         10G        111G        1.1M        2.3G        113G
2023-07-29 18:16:25  Mem:           125G         10G        111G        1.1M        2.3G        113G
2023-07-29 18:16:28  Mem:           125G         10G        111G        1.1M        2.4G        113G
2023-07-29 18:16:31  Mem:           125G         10G        111G        1.1M        2.4G        113G
2023-07-29 18:16:34  Mem:           125G         10G        111G        1.1M        2.4G        113G
2023-07-29 18:16:37  Mem:           125G         10G        111G        1.1M        2.4G        113G
2023-07-29 18:16:40  Mem:           125G         10G        111G        1.1M        2.4G        113G
2023-07-29 18:16:43  Mem:           125G         10G        111G        1.1M        2.4G        113G
2023-07-29 18:16:48  Mem:           125G         10G        111G        1.1M        2.4G        113G
2023-07-29 18:16:51  Mem:           125G         11G        111G        1.1M        2.5G        113G
2023-07-29 18:16:54  Mem:           125G         11G        111G        1.1M        2.5G        113G
2023-07-29 18:16:57  Mem:           125G         11G        111G        1.1M        2.5G        113G
2023-07-29 18:17:00  Mem:           125G         11G        111G        1.1M        2.5G        113G
2023-07-29 18:17:03  Mem:           125G         11G        111G        1.1M        2.5G        113G
2023-07-29 18:17:06  Mem:           125G         11G        111G        1.1M        2.5G        113G
2023-07-29 18:17:09  Mem:           125G         11G        111G        1.1M        2.5G        113G
2023-07-29 18:17:12  Mem:           125G         11G        111G        1.1M        2.5G        113G
2023-07-29 18:17:15  Mem:           125G         11G        111G        1.1M        2.5G        113G
2023-07-29 18:17:18  Mem:           125G         11G        111G        1.1M        2.6G        113G
2023-07-29 18:17:21  Mem:           125G         11G        111G        1.1M        2.6G        113G
2023-07-29 18:17:24  Mem:           125G         11G        111G        1.1M        2.6G        113G
2023-07-29 18:17:27  Mem:           125G         11G        111G        1.1M        2.6G        113G
2023-07-29 18:17:30  Mem:           125G         11G        111G        1.1M        2.6G        113G
2023-07-29 18:17:33  Mem:           125G         11G        111G        1.1M        2.6G        113G
2023-07-29 18:17:36  Mem:           125G         11G        111G        1.1M        2.6G        113G
2023-07-29 18:17:39  Mem:           125G         11G        111G        1.1M        2.6G        113G
2023-07-29 18:17:42  Mem:           125G         11G        111G        1.1M        2.6G        113G
2023-07-29 18:17:45  Mem:           125G         11G        111G        1.1M        2.6G        112G
2023-07-29 18:17:48  Mem:           125G         11G        111G        1.1M        2.7G        112G
2023-07-29 18:17:51  Mem:           125G         11G        111G        1.1M        2.7G        112G
2023-07-29 18:17:54  Mem:           125G         11G        111G        1.1M        2.7G        112G
2023-07-29 18:17:57  Mem:           125G         11G        111G        1.1M        2.7G        112G
2023-07-29 18:18:00  Mem:           125G         11G        111G        1.1M        2.7G        112G
2023-07-29 18:18:03  Mem:           125G         11G        111G        1.1M        2.7G        112G
2023-07-29 18:18:06  Mem:           125G         11G        111G        1.1M        2.7G        112G
2023-07-29 18:18:09  Mem:           125G         11G        111G        1.1M        2.7G        112G
2023-07-29 18:18:12  Mem:           125G         11G        111G        1.1M        2.7G        112G
2023-07-29 18:18:15  Mem:           125G         11G        111G        1.1M        2.7G        112G
2023-07-29 18:18:18  Mem:           125G         11G        111G        1.1M        2.8G        112G
2023-07-29 18:18:21  Mem:           125G         11G        111G        1.1M        2.8G        112G
2023-07-29 18:18:24  Mem:           125G         11G        110G        1.1M        2.8G        112G
2023-07-29 18:18:27  Mem:           125G         11G        110G        1.1M        2.8G        112G
2023-07-29 18:18:30  Mem:           125G         11G        110G        1.1M        2.8G        112G
2023-07-29 18:18:33  Mem:           125G         11G        110G        1.1M        2.8G        112G
2023-07-29 18:18:36  Mem:           125G         11G        110G        1.1M        2.8G        112G
2023-07-29 18:18:39  Mem:           125G         11G        110G        1.1M        2.8G        112G
2023-07-29 18:18:42  Mem:           125G         11G        110G        1.1M        2.8G        112G
2023-07-29 18:18:45  Mem:           125G         11G        110G        1.1M        2.9G        112G
2023-07-29 18:18:49  Mem:           125G         11G        110G        1.1M        2.9G        112G
2023-07-29 18:18:54  Mem:           125G         11G        110G        1.1M        2.9G        112G
2023-07-29 18:18:57  Mem:           125G         11G        110G        1.1M        2.9G        112G
2023-07-29 18:19:00  Mem:           125G         11G        110G        1.1M        2.9G        112G
2023-07-29 18:19:07  Mem:           125G         11G        110G        1.1M        2.9G        112G
2023-07-29 18:19:10  Mem:           125G         11G        110G        1.1M        2.9G        112G
2023-07-29 18:19:13  Mem:           125G         11G        110G        1.1M        2.9G        112G
2023-07-29 18:19:16  Mem:           125G         11G        110G        1.1M        2.9G        112G
2023-07-29 18:19:19  Mem:           125G         11G        110G        1.1M        3.0G        112G
2023-07-29 18:19:22  Mem:           125G         11G        110G        1.1M        3.0G        112G
2023-07-29 18:19:25  Mem:           125G         11G        110G        1.1M        3.0G        112G
2023-07-29 18:20:13  Mem:           125G         11G        110G        1.1M        3.1G        112G
2023-07-29 18:20:16  Mem:           125G         11G        110G        1.1M        3.1G        112G
2023-07-29 18:20:21  Mem:           125G         11G        110G        1.1M        3.2G        112G
2023-07-29 18:20:24  Mem:           125G         11G        110G        1.1M        3.2G        112G
2023-07-29 18:20:27  Mem:           125G         11G        110G        1.1M        3.2G        112G
2023-07-29 18:20:30  Mem:           125G         11G        110G        1.1M        3.2G        112G
2023-07-29 18:20:33  Mem:           125G         11G        110G        1.1M        3.2G        112G
2023-07-29 18:20:36  Mem:           125G         11G        110G        1.1M        3.2G        112G
2023-07-29 18:20:39  Mem:           125G         11G        110G        1.1M        3.2G        112G
2023-07-29 18:20:42  Mem:           125G         11G        110G        1.1M        3.2G        112G
2023-07-29 18:20:45  Mem:           125G         11G        110G        1.1M        3.2G        112G
2023-07-29 18:20:49  Mem:           125G         11G        109G        1.1M        3.3G        112G
2023-07-29 18:20:52  Mem:           125G         11G        109G        1.1M        3.3G        112G
2023-07-29 18:20:55  Mem:           125G         11G        109G        1.1M        3.3G        112G
2023-07-29 18:20:58  Mem:           125G         11G        109G        1.1M        3.3G        112G
2023-07-29 18:21:01  Mem:           125G         11G        109G        1.1M        3.3G        112G
2023-07-29 18:21:04  Mem:           125G         11G        109G        1.1M        3.3G        112G
