      enp1s0      
 KB/s in  KB/s out
    0.93      0.84
    1.20      0.49
    2.14      0.56
    1.08      0.65
    1.96      0.44
    1.88      0.59
    1.33      0.50
  197.61    427.65
    1.28      2.57
    2.36      5.40
    3.99      8.41
    2.63      4.40
    9.67     18.89
   16.17     34.62
   17.47     38.34
   19.43     44.66
   24.83     59.32
   22.50     52.16
   25.65     61.07
   31.61     73.25
   26.42     60.39
   32.60     73.83
   29.12     66.25
   31.42     72.26
   30.30     71.39
   29.14     67.64
   30.55     72.03
   32.54     76.11
   30.05     70.45
   31.94     75.15
   32.29     76.50
   33.57     77.08
   35.45     82.47
   33.04     76.69
   34.02     81.45
   36.37     86.69
   31.69     74.94
   37.82     88.04
   38.39     87.61
   36.77     83.11
   37.51     86.45
   38.54     90.73
   34.47     81.10
   37.07     87.77
   40.51     96.75
   39.00     91.50
   38.30     87.82
   39.80     92.84
   40.09     93.98
   39.94     93.47
   39.82     93.89
   37.96     89.79
   41.17     97.24
   41.11     95.93
   39.26     91.25
   44.22    101.80
   39.69     92.18
   43.21    100.88
   43.67    102.76
   41.13     97.51
   43.69    103.69
   48.49    113.29
   48.68    113.56
   53.27    125.19
   54.40    127.96
   59.19    138.04
   56.06    129.90
   58.08    134.84
   56.72    133.16
   55.16    129.32
   53.93    126.41
   63.56    149.34
   48.17    112.43
   58.71    134.82
   63.80    147.45
   69.94    163.01
   66.68    154.42
   72.90    169.55
   78.47    182.36
   81.84    190.96
   88.63    206.17
   98.24    227.16
   76.25    177.10
   98.34    229.04
   90.51    208.64
  103.71    243.11
   91.51    215.85
   98.98    234.94
   94.67    223.63
  106.30    251.94
  101.56    239.27
  108.08    254.41
  106.78    248.22
  115.08    267.76
  110.76    259.84
  115.91    268.94
  104.67    246.82
  117.98    272.89
  122.70    285.01
  114.34    263.74
  109.63    254.19
  121.10    277.44
  126.56    294.47
  133.78    312.54
  121.09    279.08
  121.28    278.93
  132.60    304.02
  132.61    303.59
  127.69    293.46
  121.57    279.05
  126.08    288.44
  124.76    283.71
  147.31    335.43
  122.64    282.80
  133.13    307.09
  134.05    310.93
  120.44    277.52
  133.90    306.61
  138.20    313.30
  146.99    337.47
  142.11    325.97
  127.33    287.06
  122.87    280.02
  135.33    307.28
  140.58    323.07
  142.12    326.89
  126.61    291.24
  137.19    314.01
  133.41    304.67
  150.44    339.80
  134.77    304.01
  130.20    298.40
  130.04    296.09
  124.55    287.03
  129.89    299.86
  138.97    321.34
  142.78    323.77
  137.96    314.90
  134.15    303.89
  141.06    321.47
  125.34    285.87
  140.13    314.36
  134.37    305.12
  133.75    306.15
  133.39    304.26
  135.90    306.80
  137.80    312.41
  142.64    323.49
  138.92    315.69
  136.69    312.02
  117.62    268.43
  147.23    333.53
  129.10    294.56
  127.28    292.99
  138.18    319.82
