Device             tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
vda              18.31       516.70        64.17     199269      24748
vda              18.45       516.83        63.91     201001      24856
vda              18.72       519.10        63.42     203445      24856
vda              19.16       524.27        63.00     207049      24880
vda              19.70       531.61        62.53     211549      24884
vda              22.97       580.14        61.34     236093      24964
vda              24.36       601.86        60.92     246745      24976
vda              25.57       620.39        60.59     256209      25020
vda              26.78       638.72        60.19     265693      25036
vda              28.06       658.36        59.88     275845      25088
vda              28.97       669.54        60.26     282545      25428
vda              30.10       687.00        59.92     291981      25464
vda              31.00       700.78        59.49     299949      25464
vda              32.11       718.03        59.08     309485      25464
vda              35.13       766.66        57.99     336785      25476
vda              36.20       783.78        57.60     346657      25476
vda              37.64       806.53        57.12     359937      25492
vda              38.68       822.74        56.78     369649      25508
vda              40.05       844.73        56.36     382653      25528
vda              41.19       863.29        56.00     393649      25536
vda              42.18       878.57        55.64     403265      25540
vda              43.12       893.80        55.32     412945      25556
vda              44.95       922.22        54.71     431089      25576
vda              45.97       938.65        54.38     441597      25584
vda              47.35       961.28        53.94     456397      25608
vda              48.25       975.85        53.61     466253      25616
vda              49.26       992.27        53.29     477085      25620
vda              50.14      1006.43        52.96     486921      25620
vda              51.34      1024.96        52.59     499545      25632
vda              52.33      1040.80        52.27     510397      25632
vda              53.38      1057.27        51.92     522229      25644
vda              54.31      1072.72        51.68     533089      25680
vda              55.14      1086.31        51.37     543109      25684
vda              56.07      1101.33        51.07     553925      25684
vda              57.05      1116.84        50.80     565781      25732
vda              57.85      1130.25        50.50     575973      25732
vda              58.64      1142.87        50.21     585845      25736
vda              59.52      1158.00        49.93     597085      25744
vda              60.28      1170.88        49.65     607241      25748
vda              61.05      1184.64        49.36     617945      25748
vda              62.24      1204.90        48.98     633609      25756
vda              63.09      1219.19        48.73     644793      25772
vda              64.07      1235.18        48.41     658053      25792
vda              64.91      1249.31        48.16     669341      25804
vda              66.50      1275.46        47.66     691593      25844
vda              67.19      1287.25        47.42     701861      25856
vda              68.00      1301.40        47.24     713481      25896
vda              68.69      1314.13        46.98     724413      25896
vda              69.45      1326.91        46.75     735453      25912
vda              70.27      1341.46        46.48     748129      25924
vda              70.94      1352.37        46.24     758289      25928
vda              71.67      1365.25        46.05     769617      25956
vda              72.32      1376.15        45.82     779905      25968
vda              73.06      1389.59        45.61     791705      25984
vda              74.33      1411.91        45.20     812469      26012
vda              74.94      1422.43        44.98     822805      26016
vda              75.65      1435.02        44.76     834405      26024
