time               total        used        free      shared  buff/cache   available
2023-07-29 14:15:12  Mem:           125G         13G        111G        1.1M        267M        111G
2023-07-29 14:15:15  Mem:           125G         13G        111G        1.1M        269M        111G
2023-07-29 14:15:18  Mem:           125G         13G        111G        1.1M        272M        111G
2023-07-29 14:15:21  Mem:           125G         13G        111G        1.1M        276M        111G
2023-07-29 14:15:24  Mem:           125G         13G        111G        1.1M        284M        111G
2023-07-29 14:15:33  Mem:           125G         13G        111G        1.1M        311M        111G
2023-07-29 14:15:36  Mem:           125G         13G        111G        1.1M        319M        111G
2023-07-29 14:15:39  Mem:           125G         13G        111G        1.1M        329M        111G
2023-07-29 14:15:42  Mem:           125G         13G        111G        1.1M        340M        111G
2023-07-29 14:15:45  Mem:           125G         13G        111G        1.1M        346M        111G
2023-07-29 14:15:48  Mem:           125G         13G        111G        1.1M        358M        111G
2023-07-29 14:15:51  Mem:           125G         13G        111G        1.1M        367M        111G
2023-07-29 14:15:54  Mem:           125G         13G        111G        1.1M        375M        111G
2023-07-29 14:15:57  Mem:           125G         13G        111G        1.1M        385M        111G
2023-07-29 14:16:06  Mem:           125G         13G        111G        1.1M        412M        111G
2023-07-29 14:16:09  Mem:           125G         13G        111G        1.1M        422M        111G
2023-07-29 14:16:13  Mem:           125G         13G        111G        1.1M        435M        111G
2023-07-29 14:16:16  Mem:           125G         13G        111G        1.1M        445M        111G
2023-07-29 14:16:19  Mem:           125G         13G        111G        1.1M        454M        111G
2023-07-29 14:16:22  Mem:           125G         13G        111G        1.1M        469M        111G
2023-07-29 14:16:25  Mem:           125G         13G        111G        1.1M        478M        111G
2023-07-29 14:16:28  Mem:           125G         13G        111G        1.1M        485M        111G
2023-07-29 14:16:34  Mem:           125G         13G        111G        1.1M        506M        111G
2023-07-29 14:16:37  Mem:           125G         13G        111G        1.1M        516M        110G
2023-07-29 14:16:41  Mem:           125G         13G        111G        1.1M        530M        110G
2023-07-29 14:16:44  Mem:           125G         13G        111G        1.1M        541M        110G
2023-07-29 14:16:47  Mem:           125G         13G        111G        1.1M        551M        110G
2023-07-29 14:16:50  Mem:           125G         13G        111G        1.1M        555M        110G
2023-07-29 14:16:54  Mem:           125G         13G        111G        1.1M        571M        110G
2023-07-29 14:16:57  Mem:           125G         13G        111G        1.1M        582M        110G
2023-07-29 14:17:00  Mem:           125G         13G        111G        1.1M        597M        110G
2023-07-29 14:17:03  Mem:           125G         13G        111G        1.1M        608M        110G
2023-07-29 14:17:06  Mem:           125G         13G        111G        1.1M        617M        110G
2023-07-29 14:17:09  Mem:           125G         13G        111G        1.1M        628M        110G
2023-07-29 14:17:13  Mem:           125G         13G        111G        1.1M        636M        110G
2023-07-29 14:17:16  Mem:           125G         13G        111G        1.1M        647M        110G
2023-07-29 14:17:19  Mem:           125G         13G        111G        1.1M        657M        110G
2023-07-29 14:17:22  Mem:           125G         13G        111G        1.1M        669M        110G
2023-07-29 14:17:25  Mem:           125G         13G        111G        1.1M        680M        110G
2023-07-29 14:17:28  Mem:           125G         13G        111G        1.1M        691M        110G
2023-07-29 14:17:32  Mem:           125G         13G        110G        1.1M        707M        110G
2023-07-29 14:17:35  Mem:           125G         13G        110G        1.1M        716M        110G
2023-07-29 14:17:39  Mem:           125G         13G        110G        1.1M        730M        110G
2023-07-29 14:17:42  Mem:           125G         13G        110G        1.1M        742M        110G
2023-07-29 14:17:49  Mem:           125G         13G        110G        1.1M        761M        110G
2023-07-29 14:17:52  Mem:           125G         13G        110G        1.1M        775M        110G
2023-07-29 14:17:55  Mem:           125G         13G        110G        1.1M        786M        110G
2023-07-29 14:17:58  Mem:           125G         13G        110G        1.1M        794M        110G
2023-07-29 14:18:01  Mem:           125G         13G        110G        1.1M        808M        110G
2023-07-29 14:18:04  Mem:           125G         13G        110G        1.1M        820M        110G
2023-07-29 14:18:07  Mem:           125G         13G        110G        1.1M        829M        110G
2023-07-29 14:18:10  Mem:           125G         13G        110G        1.1M        840M        110G
2023-07-29 14:18:13  Mem:           125G         13G        110G        1.1M        851M        110G
2023-07-29 14:18:16  Mem:           125G         13G        110G        1.1M        859M        110G
2023-07-29 14:18:22  Mem:           125G         13G        110G        1.1M        883M        110G
2023-07-29 14:18:25  Mem:           125G         13G        110G        1.1M        892M        110G
2023-07-29 14:18:28  Mem:           125G         13G        110G        1.1M        905M        110G
2023-07-29 14:18:31  Mem:           125G         13G        110G        1.1M        915M        110G
2023-07-29 14:18:35  Mem:           125G         13G        110G        1.1M        927M        110G
2023-07-29 14:18:38  Mem:           125G         13G        110G        1.1M        942M        110G
2023-07-29 14:18:42  Mem:           125G         13G        110G        1.1M        958M        110G
2023-07-29 14:18:45  Mem:           125G         13G        110G        1.1M        968M        110G
2023-07-29 14:18:48  Mem:           125G         13G        110G        1.1M        980M        110G
2023-07-29 14:18:51  Mem:           125G         13G        110G        1.1M        992M        110G
2023-07-29 14:18:54  Mem:           125G         13G        110G        1.1M        1.0G        110G
2023-07-29 14:18:57  Mem:           125G         13G        110G        1.1M        1.0G        110G
2023-07-29 14:19:00  Mem:           125G         13G        110G        1.1M        1.0G        110G
2023-07-29 14:19:03  Mem:           125G         13G        110G        1.1M        1.0G        110G
2023-07-29 14:19:09  Mem:           125G         13G        110G        1.1M        1.0G        110G
2023-07-29 14:19:12  Mem:           125G         13G        110G        1.1M        1.0G        110G
2023-07-29 14:19:15  Mem:           125G         13G        110G        1.1M        1.1G        110G
2023-07-29 14:19:18  Mem:           125G         13G        110G        1.1M        1.1G        110G
2023-07-29 14:19:25  Mem:           125G         13G        110G        1.1M        1.1G        110G
2023-07-29 14:19:28  Mem:           125G         13G        110G        1.1M        1.1G        110G
2023-07-29 14:19:31  Mem:           125G         13G        110G        1.1M        1.1G        110G
2023-07-29 14:19:34  Mem:           125G         13G        110G        1.1M        1.1G        110G
2023-07-29 14:19:37  Mem:           125G         13G        110G        1.1M        1.1G        110G
2023-07-29 14:19:40  Mem:           125G         13G        110G        1.1M        1.1G        110G
2023-07-29 14:19:43  Mem:           125G         13G        110G        1.1M        1.2G        110G
2023-07-29 14:19:46  Mem:           125G         13G        110G        1.1M        1.2G        110G
2023-07-29 14:19:49  Mem:           125G         13G        110G        1.1M        1.2G        110G
2023-07-29 14:19:52  Mem:           125G         13G        110G        1.1M        1.2G        110G
2023-07-29 14:19:56  Mem:           125G         13G        110G        1.1M        1.2G        110G
2023-07-29 14:19:59  Mem:           125G         13G        109G        1.1M        1.2G        110G
2023-07-29 14:20:03  Mem:           125G         13G        109G        1.1M        1.2G        110G
2023-07-29 14:20:06  Mem:           125G         13G        109G        1.1M        1.2G        110G
2023-07-29 14:20:09  Mem:           125G         13G        109G        1.1M        1.3G        110G
2023-07-29 14:20:12  Mem:           125G         13G        109G        1.1M        1.3G        110G
2023-07-29 14:20:17  Mem:           125G         14G        109G        1.1M        1.3G        110G
2023-07-29 14:20:21  Mem:           125G         14G        109G        1.1M        1.3G        110G
2023-07-29 14:20:24  Mem:           125G         14G        109G        1.1M        1.3G        110G
2023-07-29 14:20:28  Mem:           125G         14G        109G        1.1M        1.3G        110G
2023-07-29 14:20:31  Mem:           125G         14G        109G        1.1M        1.3G        110G
2023-07-29 14:20:35  Mem:           125G         14G        109G        1.1M        1.4G        110G
2023-07-29 14:20:38  Mem:           125G         14G        109G        1.1M        1.4G        110G
2023-07-29 14:20:42  Mem:           125G         14G        109G        1.1M        1.4G        110G
2023-07-29 14:20:46  Mem:           125G         14G        109G        1.1M        1.4G        110G
2023-07-29 14:20:50  Mem:           125G         14G        109G        1.1M        1.4G        110G
2023-07-29 14:20:54  Mem:           125G         14G        109G        1.1M        1.4G        110G
2023-07-29 14:20:57  Mem:           125G         14G        109G        1.1M        1.4G        110G
2023-07-29 14:21:00  Mem:           125G         14G        109G        1.1M        1.5G        110G
2023-07-29 14:21:03  Mem:           125G         14G        109G        1.1M        1.5G        110G
2023-07-29 14:21:06  Mem:           125G         14G        109G        1.1M        1.5G        110G
2023-07-29 14:21:09  Mem:           125G         14G        109G        1.1M        1.5G        110G
2023-07-29 14:21:12  Mem:           125G         14G        109G        1.1M        1.5G        110G
2023-07-29 14:21:17  Mem:           125G         14G        109G        1.1M        1.5G        110G
2023-07-29 14:21:20  Mem:           125G         14G        109G        1.1M        1.5G        110G
2023-07-29 14:21:23  Mem:           125G         14G        109G        1.1M        1.6G        109G
2023-07-29 14:21:26  Mem:           125G         14G        109G        1.1M        1.6G        109G
2023-07-29 14:21:30  Mem:           125G         14G        109G        1.1M        1.6G        109G
2023-07-29 14:21:33  Mem:           125G         14G        109G        1.1M        1.6G        109G
2023-07-29 14:21:36  Mem:           125G         14G        109G        1.1M        1.6G        109G
2023-07-29 14:21:39  Mem:           125G         14G        109G        1.1M        1.6G        109G
2023-07-29 14:21:42  Mem:           125G         14G        109G        1.1M        1.6G        109G
2023-07-29 14:21:45  Mem:           125G         14G        109G        1.1M        1.7G        109G
2023-07-29 14:21:51  Mem:           125G         14G        109G        1.1M        1.7G        109G
2023-07-29 14:21:54  Mem:           125G         14G        109G        1.1M        1.7G        109G
2023-07-29 14:21:57  Mem:           125G         14G        109G        1.1M        1.7G        109G
2023-07-29 14:22:00  Mem:           125G         14G        109G        1.1M        1.7G        109G
2023-07-29 14:22:06  Mem:           125G         14G        108G        1.1M        1.7G        109G
2023-07-29 14:22:11  Mem:           125G         14G        108G        1.1M        1.8G        109G
2023-07-29 14:22:22  Mem:           125G         14G        108G        1.1M        1.8G        109G
2023-07-29 14:22:26  Mem:           125G         14G        108G        1.1M        1.8G        109G
2023-07-29 14:22:29  Mem:           125G         14G        108G        1.1M        1.8G        109G
2023-07-29 14:22:32  Mem:           125G         14G        108G        1.1M        1.9G        109G
2023-07-29 14:22:35  Mem:           125G         14G        108G        1.1M        1.9G        109G
2023-07-29 14:22:40  Mem:           125G         14G        108G        1.1M        1.9G        109G
2023-07-29 14:22:43  Mem:           125G         14G        108G        1.1M        1.9G        109G
2023-07-29 14:22:46  Mem:           125G         14G        108G        1.1M        1.9G        109G
2023-07-29 14:22:51  Mem:           125G         14G        108G        1.1M        1.9G        109G
2023-07-29 14:22:54  Mem:           125G         14G        108G        1.1M        1.9G        109G
2023-07-29 14:22:57  Mem:           125G         14G        108G        1.1M        2.0G        109G
2023-07-29 14:23:00  Mem:           125G         14G        108G        1.1M        2.0G        109G
2023-07-29 14:23:15  Mem:           125G         14G        108G        1.1M        2.0G        109G
2023-07-29 14:23:18  Mem:           125G         14G        108G        1.1M        2.0G        109G
2023-07-29 14:23:21  Mem:           125G         14G        108G        1.1M        2.0G        109G
