      enp1s0      
 KB/s in  KB/s out
    1.44      1.82
    2.72      3.23
    5.14      7.70
   14.60     28.88
   21.89     48.68
   27.31     66.01
   19.88     46.72
   33.44     79.70
   19.85     44.82
   34.25     79.11
   29.29     65.77
   23.64     53.11
   27.12     63.74
   27.86     65.34
   29.60     70.16
   30.81     73.57
   31.97     73.49
   34.30     79.25
   34.72     79.56
   31.69     72.93
   31.38     72.11
   33.68     78.72
   33.26     79.98
   34.41     81.90
   32.86     77.63
   36.57     85.81
   33.74     77.36
   37.62     86.08
   39.35     89.29
   35.83     84.08
   38.17     91.03
   35.46     83.77
   37.47     89.33
   33.09     77.21
   38.37     89.71
   35.93     82.41
   38.82     90.23
   35.93     81.89
   37.84     87.67
   39.58     92.30
   38.82     92.47
   38.04     89.89
   41.81     98.18
   39.60     92.06
   39.25     91.02
   43.00     99.50
   37.42     87.48
   44.72    105.14
   42.01     97.97
   38.95     93.15
   42.10     99.95
   39.69     93.40
   43.16    100.99
   44.85    102.10
   39.57     92.64
   46.59    107.38
   41.65     97.49
   43.83    103.98
   45.70    107.80
   44.93    105.20
   48.29    113.36
   44.79    102.85
   44.47    104.05
   46.87    105.26
   44.80    102.15
   42.37    100.57
   45.87    109.14
   47.01    111.21
   44.51    104.68
   50.36    116.78
   45.85    104.57
   49.39    114.47
   46.21    108.39
   51.86    123.06
   45.57    107.44
   50.92    122.00
   55.01    128.63
   53.92    123.84
   57.51    133.46
   54.82    127.52
   49.14    115.40
   55.06    128.90
   55.63    132.91
   52.02    123.11
   57.48    135.38
   61.84    145.07
   54.45    126.69
   59.25    136.95
   59.48    139.64
   58.30    135.67
   59.18    138.25
   64.38    152.04
   62.54    146.74
   62.66    146.62
   65.28    151.02
   63.52    146.48
   72.00    167.03
   76.92    180.27
   64.07    151.07
   76.66    181.54
   72.49    170.47
   79.63    188.22
   77.83    183.46
   77.78    181.73
   76.35    177.34
   82.47    191.87
   94.39    224.82
   88.01    203.11
   87.84    203.80
   97.66    226.84
   97.21    226.67
  103.05    235.14
   95.59    221.37
  108.49    247.79
  103.53    240.89
  108.63    252.39
  107.23    253.93
  109.27    258.88
  114.02    268.98
  114.92    266.85
  107.68    249.10
  113.77    262.53
  112.83    267.12
  126.97    298.75
  129.46    302.65
  118.77    279.13
  116.16    269.38
  121.47    277.45
  113.99    265.21
  132.24    303.96
  123.92    286.10
  139.74    324.14
  124.71    287.28
  128.69    296.84
  133.57    308.99
  122.49    280.81
  141.52    327.34
  134.44    311.73
  139.83    321.65
  129.71    295.83
  130.98    299.23
  131.82    298.04
  118.96    274.15
  138.15    313.63
  141.61    328.46
  138.02    315.58
  135.98    317.61
  124.86    294.98
  139.07    320.89
  139.23    324.10
  127.86    297.69
  135.21    312.34
  136.03    310.11
  130.77    293.75
  124.83    284.86
  132.61    304.45
  135.05    306.69
  136.77    316.37
  143.24    324.39
  137.52    311.40
  127.85    294.66
  140.98    329.34
  140.53    332.09
  142.22    330.66
  134.00    315.73
  129.15    301.11
  128.19    297.66
  129.76    305.18
  135.66    313.45
  126.63    295.18
  129.45    302.39
  130.67    305.75
  145.59    334.63
  137.74    321.76
  134.85    316.64
  124.99    290.81
  134.46    313.95
  133.79    300.53
  143.20    332.55
  144.33    322.34
  139.63    320.11
  119.33    277.74
  120.54    280.55
  141.09    327.54
  124.25    288.81
  165.36    385.08
  146.93    340.88
  146.23    340.78
  131.26    306.29
  143.78    334.81
  143.13    334.63
  129.07    299.48
  134.03    312.58
  135.74    315.05
  140.91    330.01
  131.47    301.85
  137.08    318.03
  125.13    285.16
  145.66    336.37
  123.02    278.37
  137.92    313.92
  133.75    305.17
  140.65    320.55
  135.59    308.74
  138.25    317.67
  143.40    331.45
  136.89    320.10
  136.19    309.21
  144.25    336.41
  135.97    317.01
  136.76    318.21
  139.33    326.76
  135.53    317.37
  135.20    319.68
  132.07    309.47
  137.09    321.88
  128.97    301.70
  138.61    324.08
  132.32    305.87
  140.11    325.25
  140.24    326.04
  141.00    330.22
  138.55    323.08
  153.97    363.22
  125.70    292.34
  132.01    308.33
  155.54    362.55
  166.33    386.16
  140.83    329.60
  125.26    295.44
  140.14    330.11
  132.26    308.51
  138.97    325.26
  123.98    287.21
  144.02    332.90
  144.60    340.74
  144.13    336.51
  146.26    341.44
  137.50    322.08
  131.16    308.54
  138.53    325.95
  142.29    333.54
  130.60    306.40
  140.19    326.14
  140.48    331.04
  133.66    311.11
  149.77    349.47
  134.92    313.96
  131.13    308.86
  134.85    311.19
  139.85    320.44
  146.30    337.10
  132.24    300.61
  141.91    328.66
  141.94    328.47
  130.24    305.42
  140.22    327.36
  135.26    316.97
  135.47    316.92
  142.30    333.66
  143.43    333.54
  139.98    326.02
  135.22    316.04
  129.49    302.25
  133.92    315.16
  137.01    321.75
  133.28    313.64
  138.81    325.49
  150.05    349.96
  138.92    321.83
  134.33    311.74
  146.59    340.33
  144.57    340.35
  138.72    326.56
  134.36    314.35
  131.53    310.55
  147.53    344.53
  130.30    299.06
  134.24    311.77
  138.92    318.47
  138.87    323.15
  129.38    301.77
  138.05    325.29
  144.14    332.86
  136.38    318.63
  141.95    330.45
  126.40    295.02
  155.05    360.45
  147.31    344.79
  137.89    323.11
  132.84    310.04
  138.15    321.48
  142.47    333.03
  146.45    344.20
  130.26    303.33
  136.14    314.71
  148.19    342.81
  120.31    280.07
  135.88    314.08
  127.47    290.07
  136.67    315.51
  132.22    313.16
  139.80    314.16
  139.49    322.63
  137.34    319.59
  143.51    330.21
  133.63    304.42
  136.44    317.00
  133.93    311.47
  141.05    324.69
  138.93    319.24
  128.61    293.02
  139.91    322.92
  134.14    308.05
  134.53    308.17
  126.82    296.17
  133.96    317.69
  151.26    350.95
  142.81    327.53
  142.50    332.66
  144.32    334.49
  150.45    351.74
  141.02    330.80
  146.12    343.30
  141.46    332.45
  143.54    336.73
  143.44    335.49
  142.95    331.46
  147.96    342.04
  146.81    341.36
  135.91    318.37
  149.69    350.39
  139.74    330.38
  133.77    314.66
  147.20    341.84
  134.61    311.22
  146.12    341.22
  147.93    344.52
  134.08    311.98
  149.09    347.65
  129.34    303.75
  134.28    315.67
  141.49    330.95
  150.81    349.49
  156.86    365.22
  139.18    320.20
  151.20    353.48
  143.40    332.77
  134.22    309.70
  147.65    344.51
  130.48    307.14
  133.29    309.37
  130.87    304.48
  133.29    308.85
  146.31    339.72
  131.00    301.81
  153.22    353.86
  135.58    313.68
  151.11    351.58
  149.72    346.76
  138.14    317.70
  147.22    344.25
  144.15    333.94
  143.21    332.07
  125.24    289.43
  133.66    309.44
  146.31    341.43
  135.90    318.22
  148.01    345.36
  134.90    313.86
  149.73    349.50
  132.77    309.32
  140.93    321.45
  120.12    278.49
  158.64    360.00
  142.71    326.57
  143.79    329.66
  135.18    308.16
  133.17    305.07
  126.98    290.00
  132.07    299.82
  150.30    341.89
  149.37    336.33
  147.54    335.91
  137.75    316.81
  126.30    289.96
  155.47    354.74
  134.93    310.08
  133.84    301.77
  134.64    309.56
  141.92    322.62
  145.65    333.38
  150.67    348.90
  144.55    335.87
  128.70    302.04
  135.63    321.15
  127.40    298.48
  148.94    348.23
  149.27    347.92
  143.94    337.33
  154.50    360.49
  159.98    370.04
  139.55    324.45
  141.87    328.78
  138.47    324.71
  160.60    379.18
  140.39    327.01
  140.04    326.44
  145.23    334.28
  135.38    315.78
  142.43    326.99
  148.76    347.81
  141.34    326.73
  138.77    318.39
  141.74    328.56
  149.78    350.17
  136.02    319.09
  144.14    339.29
  137.81    323.42
  145.40    338.73
  146.67    341.84
  153.98    348.05
  139.86    312.06
  137.87    312.23
  154.03    350.86
  148.83    345.37
  144.63    336.89
  146.30    340.34
  158.40    367.70
  142.07    332.25
  132.54    307.81
  143.23    331.36
  137.26    321.65
  134.16    315.75
  149.00    347.99
  150.55    350.93
