time               total        used        free      shared  buff/cache   available
2023-07-30 13:37:28  Mem:           125G        9.3G        115G        1.1M        731M        114G
2023-07-30 13:37:31  Mem:           125G        9.4G        114G        1.1M        896M        114G
2023-07-30 13:37:34  Mem:           125G        9.4G        114G        1.1M        959M        114G
2023-07-30 13:37:37  Mem:           125G        9.5G        114G        1.1M        1.0G        114G
2023-07-30 13:37:40  Mem:           125G        9.6G        114G        1.1M        1.1G        114G
2023-07-30 13:37:43  Mem:           125G        9.7G        114G        1.1M        1.1G        114G
2023-07-30 13:37:46  Mem:           125G        9.8G        114G        1.1M        1.2G        114G
2023-07-30 13:37:49  Mem:           125G        9.8G        114G        1.1M        1.3G        114G
2023-07-30 13:37:52  Mem:           125G        9.9G        113G        1.1M        1.4G        114G
2023-07-30 13:37:55  Mem:           125G        9.9G        113G        1.1M        1.4G        114G
2023-07-30 13:37:58  Mem:           125G         10G        113G        1.1M        1.5G        114G
2023-07-30 13:38:01  Mem:           125G         10G        113G        1.1M        1.6G        114G
2023-07-30 13:38:04  Mem:           125G         10G        113G        1.1M        1.6G        114G
2023-07-30 13:38:07  Mem:           125G         10G        113G        1.1M        1.7G        114G
2023-07-30 13:38:10  Mem:           125G         10G        113G        1.1M        1.8G        113G
2023-07-30 13:38:13  Mem:           125G         10G        113G        1.1M        1.8G        113G
2023-07-30 13:38:16  Mem:           125G         10G        112G        1.1M        1.9G        113G
2023-07-30 13:38:19  Mem:           125G         10G        112G        1.1M        1.9G        113G
2023-07-30 13:38:22  Mem:           125G         10G        112G        1.1M        2.0G        113G
2023-07-30 13:38:25  Mem:           125G         10G        112G        1.1M        2.1G        113G
2023-07-30 13:38:28  Mem:           125G         10G        112G        1.1M        2.1G        113G
2023-07-30 13:38:31  Mem:           125G         10G        112G        1.1M        2.2G        113G
2023-07-30 13:38:34  Mem:           125G         10G        112G        1.1M        2.2G        113G
2023-07-30 13:38:37  Mem:           125G         10G        112G        1.1M        2.2G        113G
2023-07-30 13:38:40  Mem:           125G         10G        112G        1.1M        2.3G        113G
2023-07-30 13:38:43  Mem:           125G         10G        112G        1.1M        2.3G        113G
2023-07-30 13:38:46  Mem:           125G         10G        111G        1.1M        2.4G        113G
2023-07-30 13:38:49  Mem:           125G         10G        111G        1.1M        2.4G        113G
2023-07-30 13:38:52  Mem:           125G         10G        111G        1.1M        2.5G        113G
2023-07-30 13:38:55  Mem:           125G         10G        111G        1.1M        2.6G        113G
2023-07-30 13:38:58  Mem:           125G         11G        111G        1.1M        2.7G        113G
2023-07-30 13:39:01  Mem:           125G         11G        111G        1.1M        2.7G        113G
2023-07-30 13:39:04  Mem:           125G         11G        111G        1.1M        2.8G        113G
2023-07-30 13:39:07  Mem:           125G         11G        110G        1.1M        2.9G        112G
2023-07-30 13:39:10  Mem:           125G         11G        110G        1.1M        3.0G        112G
