      enp1s0      
 KB/s in  KB/s out
 2570.71     10.05
 2228.62      9.34
 2228.34      9.62
 1028.83      5.39
 3256.41     13.39
 4455.52     17.74
 3599.01     14.54
 1030.24      5.62
 1716.92      8.99
 3429.36     15.46
 1201.57      7.30
  858.43      5.72
    1.31      1.69
 3772.50     18.98
  515.41      4.52
 2058.96     11.06
    3.37      3.03
 3945.34     20.70
  688.75      5.97
  516.50      5.20
 2401.92     13.64
 1886.16      9.24
 2573.07     14.96
  858.18      6.71
  858.41      7.16
 1715.28     10.96
 1544.78      9.50
 1030.72      6.97
 1544.38      9.59
  687.16      5.01
 4803.06     24.43
    1.68      2.70
 1200.65      7.49
  344.43      3.87
 3429.11     16.91
  345.31      4.42
  344.96      3.81
 2573.12     13.54
  173.64      3.67
  858.60      5.93
 2057.51     10.95
 2057.46     10.49
 1371.83      7.19
 1371.99      7.11
 2915.38     14.96
 1886.40      9.47
 2572.45     13.68
    2.32      2.58
  687.59      4.90
 3257.23     14.96
  173.23      3.03
  515.83      3.67
 6513.46     28.72
 1543.49      8.81
 2059.25     11.01
    2.86      2.54
  346.48      4.30
 1373.65      9.58
 3771.05     16.98
  173.37      4.82
  173.05      3.92
 7709.51     32.08
 1200.28      7.22
    1.60      1.60
    1.84      1.51
 1030.28      6.33
 2815.62     15.06
 2157.59      8.89
 1029.83      7.50
 3085.76     15.69
 3258.62     16.82
 6168.99     26.06
    1.67      2.18
    1.50      1.41
  173.84      2.58
 4973.10     24.28
 3258.77     16.75
  687.34      5.05
    1.69      3.49
  858.26      5.76
  857.81      4.98
  404.68      4.73
  797.21      3.71
    1.68      0.98
 3944.33     15.69
  859.04      5.70
 1372.10      6.69
10800.90     47.20
 3428.98     16.33
  172.89      2.83
    0.98      1.22
    1.30      1.30
  173.04      3.34
 1029.93      6.60
 4800.12     21.64
  516.73      5.37
 1544.85      8.77
 1543.48      9.02
 2571.32     13.51
 5489.54     26.76
  172.25      2.61
  515.56      5.73
    1.18      1.36
  173.32      1.95
  345.19      3.33
 3428.89     15.49
 5317.34     25.71
 3770.61     17.14
 1372.81      8.37
 2913.95     14.41
    1.00      1.62
    1.05      0.79
 1373.22      5.87
 1544.22      9.09
  174.63      2.95
 4627.33     19.22
 2914.27     13.70
 4283.78     19.40
 1543.00      8.41
    1.55      3.68
    1.45      1.64
 2741.98     12.25
  344.68      4.03
 1543.71      7.33
 6683.10     26.60
  174.04      5.13
    1.88      2.30
 1200.65      7.96
 4305.36     24.31
 5469.57     25.25
    2.05      3.33
  859.05      6.45
  516.71      5.53
 2572.60     13.73
 1372.84      7.55
 3086.77     14.45
 1543.74      8.77
 4798.43     20.76
    1.63      2.17
    1.14      1.88
 2056.86     10.77
  858.53      6.32
 2399.68     10.59
 1544.37      6.88
    2.55      3.00
 2742.55     12.78
 2913.46     13.07
 5657.94     27.33
 1029.77      7.62
    1.55      2.45
    1.50      1.32
    1.81      1.36
 7725.36     43.15
    3.12      3.94
 2163.96     16.03
 5555.87     24.26
    1.73      2.33
  858.82      6.37
 2228.52     11.43
    1.74      2.74
 2914.50     13.09
 1201.28      7.74
 1201.13      6.13
 2400.50     10.41
  858.52      6.28
  344.81      4.06
 5654.59     23.55
    1.42      1.68
 1714.54      8.95
  173.07      3.32
    1.54      1.08
 4286.16     20.21
  859.39      4.75
 1543.71      8.17
 2742.40     12.06
 3085.30     14.42
    1.94      2.21
  687.12      5.66
 1714.82      9.34
 2742.31     12.84
 3599.19     17.43
 2914.91     14.16
    2.15      2.21
  344.50      3.83
 1372.99      8.96
 4286.36     18.82
    1.45      1.17
    1.26      1.32
 2742.03     13.14
 1372.41      7.62
 1544.34      8.35
 5484.29     23.20
  859.52      6.68
 7035.93     37.46
  173.29      4.06
    1.45      1.42
    1.50      1.15
  173.20      3.68
 1201.20      8.64
 7210.13     39.18
 1202.06      8.37
 1031.18      7.42
 4628.48     19.41
 2057.85     10.19
    1.21      1.63
    1.45      1.20
  515.54      5.41
 4286.39     20.44
 3598.69     15.05
  516.02      4.52
  173.33      3.26
  345.25      3.08
 1543.92      7.84
 5483.91     22.60
 1028.92      5.96
  515.98      4.00
    1.63      1.80
  344.13      3.56
  172.81      3.25
 6514.83     28.82
 1094.84      8.62
 2678.74     10.71
 2056.99      9.62
    1.23      1.28
    1.37      1.40
 8581.88     46.32
    1.69      2.60
    1.32      2.35
    1.79      3.61
 8061.37     38.00
  859.40      5.77
 1373.95      7.04
  516.40      3.99
 1200.79      6.64
 2229.42     11.44
  173.15      3.53
 3599.26     15.19
  343.67      3.86
 2398.88     10.62
 1714.95      8.14
    3.00      1.83
    2.05      0.96
 3773.92     16.89
 1029.03      5.98
 2913.29     12.56
 1885.18      9.05
    1.06      1.81
  515.45      4.89
 2571.43     11.67
    2.11      2.00
    2.72      1.73
 1886.40      9.53
 3941.61     17.10
 1200.54      7.41
 3771.06     16.85
  686.81      4.66
 3084.64     13.37
 1029.34      6.00
    1.64      1.32
 1030.62      8.02
 4798.74     18.22
    1.61      2.57
 3084.86     14.46
    2.33      4.23
  345.14      5.54
  516.57      5.45
 7720.06     39.51
    1.67      0.79
 1715.13     10.22
  174.25      4.18
    2.41      2.22
 8066.90     43.57
 1372.60      8.65
 5486.79     26.80
    2.13      3.00
 1030.18      6.17
    2.26      3.17
    1.37      0.59
    2.46      3.60
 4803.55     24.78
  516.26      6.92
 2229.07     12.18
  515.21      3.90
 4288.68     21.79
  173.71      4.64
  516.09      5.94
 2571.15     13.10
 4117.74     21.53
 2744.66     12.46
  517.32      4.70
  172.37      1.20
 7031.33     32.21
  172.54      3.55
  686.95      5.11
    1.68      2.32
  173.29      4.78
 1029.81      5.82
  174.07      4.55
 4628.59     21.31
 1374.54     11.93
  173.13      4.54
    1.43      3.36
    1.24      1.03
  686.60      5.64
 1029.73      6.29
 6338.96     24.84
 4284.53     19.47
