Device             tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
vda              15.79       457.02        55.20     205449      24816
vda              15.70       454.79        54.84     205821      24816
vda              15.61       451.79        54.57     205821      24860
vda              15.50       448.83        54.21     205821      24860
vda              15.41       445.92        53.89     205821      24872
vda              15.99       453.98        53.54     210909      24872
vda              18.22       489.19        53.19     228733      24872
vda              20.89       532.92        52.87     250817      24884
vda              24.02       594.42        52.55     281553      24892
vda              26.69       642.53        52.26     306273      24908
vda              29.24       686.63        52.07     329361      24976
vda              32.39       749.75        51.85     362097      25040
vda              34.98       797.49        51.64     387557      25096
vda              37.45       845.26        51.41     413317      25140
vda              39.73       891.97        51.20     438841      25188
vda              42.45       945.24        50.99     468289      25260
vda              44.99       996.94        50.87     496893      25356
vda              47.45      1050.47        50.62     526737      25380
vda              49.70      1098.50        50.36     554129      25404
vda              52.08      1148.76        50.07     582937      25408
vda              54.30      1196.80        49.79     610917      25416
vda              56.55      1245.82        49.51     639689      25420
vda              58.62      1290.99        49.23     666769      25428
vda              60.09      1323.12        48.96     687333      25432
vda              62.37      1371.53        48.69     716609      25440
vda              64.47      1416.70        48.42     744473      25444
vda              66.82      1467.79        48.17     775741      25456
vda              69.18      1520.66        47.95     808261      25488
vda              71.38      1567.18        47.71     837689      25500
vda              73.65      1615.96        47.46     868625      25512
vda              76.00      1666.43        47.22     900769      25524
vda              78.33      1716.14        46.96     932805      25524
vda              80.62      1766.69        46.72     965585      25536
vda              82.94      1815.95        46.47     997973      25536
vda              85.61      1871.56        46.24    1034169      25548
vda              88.06      1922.35        45.99    1068021      25548
vda              90.39      1970.17        45.76    1100517      25560
vda              92.83      2020.21        45.51    1134549      25560
vda              95.15      2067.36        45.29    1167253      25572
vda              97.48      2114.45        45.05    1200181      25572
vda              99.88      2162.49        44.88    1233957      25608
vda             102.05      2204.46        44.64    1264545      25608
vda             104.36      2248.99        44.43    1296857      25620
vda             106.60      2290.72        44.20    1327813      25620
vda             108.66      2329.30        44.00    1357165      25636
vda             110.70      2367.60        43.77    1386609      25636
vda             112.63      2402.98        43.57    1414561      25648
vda             114.54      2437.81        43.35    1442405      25648
vda             116.21      2467.84        43.15    1467577      25660
vda             117.94      2498.50        42.93    1493329      25660
vda             119.59      2527.50        42.74    1518269      25672
vda             121.10      2554.16        42.56    1541969      25696
vda             122.18      2573.02        42.37    1561077      25708
vda             123.66      2600.15        42.16    1585365      25708
vda             125.14      2626.32        41.98    1609225      25720
vda             126.60      2651.78        41.77    1632809      25720
vda             128.14      2678.59        41.59    1657353      25732
vda             129.66      2705.74        41.39    1682293      25732
vda             131.02      2729.20        41.21    1705097      25744
vda             132.43      2754.02        41.01    1728889      25744
vda             133.62      2774.97        40.83    1750397      25752
vda             135.01      2799.09        40.64    1774009      25756
vda             136.36      2823.01        40.47    1797665      25768
vda             137.80      2848.87        40.30    1822709      25784
vda             138.96      2869.39        40.14    1844469      25800
vda             140.21      2892.43        39.97    1867957      25812
vda             141.54      2915.34        39.80    1891529      25824
vda             142.74      2936.91        39.62    1914365      25824
vda             143.94      2958.22        39.45    1937161      25836
vda             144.73      2972.12        39.27    1955209      25836
vda             145.92      2992.91        39.11    1977865      25848
vda             147.09      3013.04        38.94    2000233      25848
vda             148.24      3034.25        38.78    2023449      25860
vda             149.33      3053.44        38.60    2045437      25860
vda             150.46      3073.78        38.45    2068317      25872
vda             151.57      3093.80        38.30    2091101      25884
vda             152.76      3113.91        38.14    2114061      25896
vda             153.84      3133.58        37.98    2136817      25896
vda             155.02      3155.19        37.83    2161053      25908
vda             156.10      3173.78        37.66    2183341      25908
vda             157.18      3192.63        37.51    2205917      25920
vda             158.33      3213.89        37.35    2230249      25920
vda             159.38      3232.50        37.21    2252889      25932
vda             160.51      3252.73        37.05    2276781      25932
vda             161.55      3271.21        36.91    2299565      25944
vda             162.66      3290.47        36.75    2323005      25944
vda             163.60      3307.64        36.61    2345053      25956
vda             164.60      3324.85        36.48    2367261      25972
vda             165.52      3342.04        36.35    2389557      25992
vda             166.52      3360.27        36.20    2412709      25992
vda             167.58      3379.09        36.07    2436389      26004
vda             168.64      3398.12        35.93    2460309      26012
vda             169.58      3415.15        35.80    2482917      26024
vda             170.56      3432.59        35.65    2505925      26024
vda             171.51      3450.16        35.52    2529141      26036
vda             172.53      3469.40        35.37    2553685      26036
vda             173.47      3485.69        35.25    2576133      26048
vda             174.39      3502.00        35.10    2598725      26048
vda             175.31      3518.88        35.00    2621845      26080
vda             176.29      3537.12        34.86    2646085      26080
vda             177.27      3555.39        34.74    2670453      26092
vda             178.33      3576.11        34.60    2696741      26092
vda             179.23      3592.43        34.48    2719865      26104
vda             180.28      3611.51        34.34    2745177      26104
vda             181.15      3628.67        34.22    2769145      26116
vda             182.10      3646.20        34.09    2793465      26116
vda             182.96      3662.10        33.97    2816665      26128
vda             183.81      3677.52        33.84    2839593      26128
vda             184.65      3692.13        33.72    2861989      26140
vda             185.33      3704.31        33.59    2882581      26140
vda             186.17      3719.98        33.50    2905973      26168
vda             187.00      3734.99        33.37    2928901      26168
vda             187.90      3751.56        33.26    2953189      26180
vda             188.72      3766.71        33.13    2976453      26180
vda             189.52      3781.64        33.02    2999637      26192
vda             190.41      3798.21        32.90    3024213      26192
vda             191.28      3814.47        32.79    3048597      26204
vda             192.07      3828.93        32.66    3071685      26204
vda             192.86      3843.93        32.56    3095285      26216
vda             193.64      3859.05        32.44    3119077      26216
vda             194.49      3874.38        32.33    3143093      26228
vda             195.18      3886.86        32.24    3164917      26248
vda             195.94      3901.27        32.14    3188389      26268
vda             196.77      3916.13        32.02    3212325      26268
vda             197.61      3932.30        31.92    3237381      26280
vda             198.40      3946.75        31.81    3261157      26280
vda             199.14      3960.39        31.70    3284353      26292
vda             199.95      3975.79        31.59    3309089      26292
vda             200.67      3990.16        31.49    3333057      26304
vda             201.39      4003.30        31.38    3356049      26304
vda             202.19      4018.00        31.28    3380465      26316
vda             202.99      4033.47        31.17    3405617      26320
vda             203.77      4047.52        31.08    3429665      26332
vda             204.48      4060.55        30.99    3452929      26348
vda             205.18      4074.12        30.89    3476689      26360
vda             205.95      4088.59        30.78    3501345      26360
vda             206.64      4100.74        30.69    3524097      26372
vda             207.39      4115.02        30.58    3548753      26372
vda             208.06      4128.08        30.49    3572401      26384
vda             208.74      4141.26        30.38    3596273      26384
vda             209.48      4155.82        30.29    3621425      26396
vda             210.22      4170.59        30.19    3646849      26396
vda             210.88      4183.22        30.10    3670481      26408
vda             211.61      4197.91        30.00    3696005      26412
vda             212.26      4210.82        29.91    3720005      26424
vda             212.83      4222.60        29.82    3743125      26432
vda             213.48      4234.92        29.73    3766789      26440
vda             214.04      4245.52        29.63    3788997      26444
vda             214.68      4257.69        29.54    3812677      26456
vda             215.31      4269.96        29.45    3836517      26456
vda             215.94      4282.52        29.36    3860645      26468
vda             216.63      4296.09        29.26    3885809      26468
vda             217.31      4309.13        29.18    3910577      26480
vda             217.86      4319.80        29.08    3933265      26480
vda             218.47      4332.29        29.00    3957633      26492
vda             219.14      4345.02        28.95    3982337      26536
vda             219.80      4357.83        28.86    4007201      26536
vda             220.38      4368.83        28.80    4030465      26572
vda             220.97      4379.64        28.71    4053617      26572
vda             221.56      4391.20        28.63    4077489      26584
vda             222.22      4403.48        28.54    4102145      26584
vda             222.87      4416.96        28.49    4128001      26624
vda             223.45      4427.72        28.40    4151389      26624
vda             224.09      4440.16        28.32    4176413      26636
