time               total        used        free      shared  buff/cache   available
2023-07-31 17:39:00  Mem:           125G         22G         86G        1.1M         16G        101G
2023-07-31 17:39:03  Mem:           125G         22G         85G        1.1M         16G        101G
2023-07-31 17:39:06  Mem:           125G         22G         85G        1.1M         16G        101G
2023-07-31 17:39:09  Mem:           125G         22G         85G        1.1M         16G        101G
2023-07-31 17:39:12  Mem:           125G         23G         85G        1.1M         16G        101G
2023-07-31 17:39:15  Mem:           125G         23G         85G        1.1M         16G        100G
2023-07-31 17:39:18  Mem:           125G         23G         84G        1.1M         16G        100G
2023-07-31 17:39:21  Mem:           125G         23G         84G        1.1M         16G        100G
2023-07-31 17:39:24  Mem:           125G         23G         84G        1.1M         16G        100G
2023-07-31 17:39:27  Mem:           125G         23G         84G        1.1M         16G        100G
2023-07-31 17:39:30  Mem:           125G         23G         84G        1.1M         16G        100G
2023-07-31 17:39:33  Mem:           125G         23G         84G        1.1M         17G        100G
2023-07-31 17:39:36  Mem:           125G         23G         84G        1.1M         17G        100G
2023-07-31 17:39:39  Mem:           125G         24G         84G        1.1M         17G        100G
2023-07-31 17:39:42  Mem:           125G         24G         83G        1.1M         17G        100G
2023-07-31 17:39:45  Mem:           125G         24G         83G        1.1M         17G        100G
2023-07-31 17:39:48  Mem:           125G         24G         83G        1.1M         17G         99G
2023-07-31 17:39:51  Mem:           125G         24G         83G        1.1M         17G         99G
2023-07-31 17:39:54  Mem:           125G         24G         83G        1.1M         17G         99G
2023-07-31 17:39:57  Mem:           125G         24G         83G        1.1M         17G         99G
2023-07-31 17:40:00  Mem:           125G         24G         83G        1.1M         17G         99G
2023-07-31 17:40:03  Mem:           125G         24G         83G        1.1M         17G         99G
2023-07-31 17:40:06  Mem:           125G         24G         83G        1.1M         17G         99G
2023-07-31 17:40:09  Mem:           125G         24G         82G        1.1M         17G         99G
2023-07-31 17:40:12  Mem:           125G         24G         82G        1.1M         17G         99G
2023-07-31 17:40:15  Mem:           125G         24G         82G        1.1M         17G         99G
2023-07-31 17:40:18  Mem:           125G         24G         82G        1.1M         17G         99G
2023-07-31 17:40:21  Mem:           125G         24G         82G        1.1M         17G         99G
2023-07-31 17:40:24  Mem:           125G         24G         82G        1.1M         17G         99G
2023-07-31 17:40:27  Mem:           125G         24G         82G        1.1M         17G         99G
2023-07-31 17:40:30  Mem:           125G         24G         82G        1.1M         17G         99G
2023-07-31 17:40:33  Mem:           125G         25G         82G        1.1M         17G         99G
2023-07-31 17:40:36  Mem:           125G         25G         82G        1.1M         18G         99G
2023-07-31 17:40:39  Mem:           125G         25G         81G        1.1M         18G         99G
2023-07-31 17:40:42  Mem:           125G         25G         81G        1.1M         18G         99G
2023-07-31 17:40:45  Mem:           125G         25G         81G        1.1M         18G         99G
2023-07-31 17:40:48  Mem:           125G         25G         81G        1.1M         18G         98G
2023-07-31 17:40:51  Mem:           125G         25G         81G        1.1M         18G         98G
2023-07-31 17:40:54  Mem:           125G         25G         81G        1.1M         18G         98G
2023-07-31 17:40:57  Mem:           125G         25G         81G        1.1M         18G         98G
