Device             tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
vda             573.59     29413.48        30.59   25082641      26084
vda             572.06     29326.78        30.48   25097273      26084
vda             570.27     29230.74        30.47   25102777      26164
vda             568.39     29131.96        30.36   25105337      26164
vda             566.52     29033.52        30.27   25107897      26180
vda             564.61     28934.37        30.17   25108953      26180
vda             564.39     28874.96        30.12   25144317      26228
vda             567.88     28894.79        30.08   25248265      26280
vda             571.27     28915.94        30.03   25353781      26328
vda             574.18     28928.90        29.92   25452221      26328
vda             577.11     28943.77        29.85   25552429      26356
vda             579.88     28951.12        30.27   25645773      26812
vda             582.69     28962.38        30.24   25742925      26876
vda             584.99     28961.01        30.14   25828877      26884
vda             587.26     28958.10        30.07   25913449      26908
vda             589.70     28959.59        29.97   26001657      26908
vda             592.49     28969.59        29.89   26097833      26924
vda             594.97     28972.05        29.79   26187253      26924
vda             597.71     28983.86        29.71   26285169      26940
vda             600.53     28994.59        29.61   26382181      26940
vda             603.05     29000.29        29.60   26474365      27020
vda             605.55     29003.30        29.50   26564413      27020
vda             608.26     29015.00        29.43   26662461      27044
vda             610.59     29018.05        29.33   26752317      27044
vda             612.91     29019.59        29.27   26841089      27068
vda             615.52     29031.11        29.17   26939125      27068
vda             617.71     29033.51        29.09   27029329      27084
vda             619.79     29032.37        29.02   27115649      27100
vda             622.11     29034.14        28.92   27204697      27100
vda             624.26     29033.49        28.86   27291189      27132
vda             626.40     29032.78        28.77   27377909      27132
vda             628.33     29029.23        28.71   27461941      27156
vda             630.64     29033.44        28.64   27553313      27176
vda             632.90     29036.57        28.56   27643393      27192
vda             635.28     29041.16        28.48   27735177      27200
vda             637.31     29040.46        28.41   27821925      27216
vda             639.68     29048.59        28.33   27916857      27224
vda             641.71     29046.33        28.26   28002117      27240
vda             643.49     29041.19        28.17   28084577      27240
vda             645.65     29044.77        28.26   28175165      27416
vda             647.12     29033.60        28.18   28251725      27416
vda             648.60     29022.29        28.11   28328073      27440
vda             650.46     29018.53        28.03   28411457      27440
vda             652.25     29012.51        27.96   28492897      27456
vda             654.13     29009.51        27.87   28577269      27456
vda             655.90     29005.21        27.84   28660337      27508
vda             657.66     29000.73        27.76   28742909      27516
vda             659.51     28999.04        27.70   28828525      27540
vda             661.26     28995.83        27.62   28912613      27544
vda             662.93     28991.25        27.56   28995313      27560
vda             664.59     28986.08        27.47   29077385      27560
vda             666.44     28985.56        27.41   29163817      27576
vda             667.69     28970.79        27.33   29236157      27576
vda             668.90     28957.72        27.26   29310133      27592
vda             670.49     28951.11        27.18   29390589      27592
vda             672.11     28945.66        27.30   29472177      27796
vda             674.02     28947.89        27.22   29561297      27796
vda             675.59     28942.29        27.17   29642693      27824
vda             677.17     28937.80        27.09   29725201      27824
vda             678.80     28933.22        27.04   29807585      27856
vda             680.37     28928.17        26.96   29889161      27856
vda             681.93     28922.92        26.90   29970797      27872
vda             683.60     28918.96        26.84   30053737      27888
vda             684.82     28905.30        26.76   30126257      27888
vda             686.18     28894.82        26.70   30202309      27904
vda             687.45     28886.83        26.62   30280905      27904
vda             688.65     28875.61        26.56   30356061      27920
vda             690.00     28867.90        26.49   30434845      27928
vda             691.61     28866.82        26.43   30520597      27944
vda             693.39     28868.98        26.36   30609777      27952
vda             694.73     28861.27        26.31   30688189      27972
vda             696.44     28861.78        26.24   30775601      27984
vda             697.70     28853.80        26.19   30853941      28008
vda             698.86     28843.33        26.12   30929569      28008
vda             700.18     28835.54        26.06   31008013      28024
vda             701.52     28829.25        25.99   31087729      28024
vda             702.97     28824.83        25.93   31169725      28040
vda             704.49     28823.87        25.86   31255449      28040
vda             705.43     28808.29        25.80   31325265      28056
vda             706.52     28798.20        25.74   31400981      28068
vda             707.44     28783.49        25.69   31471585      28084
vda             708.42     28769.22        25.63   31542573      28096
vda             709.41     28758.14        25.58   31616989      28120
vda             710.61     28749.78        25.52   31694329      28128
vda             712.00     28744.74        25.46   31775301      28144
vda             713.14     28735.49        25.39   31851277      28144
vda             714.38     28727.66        25.34   31929069      28160
vda             715.61     28721.01        25.27   32008125      28160
vda             716.62     28708.12        25.21   32079893      28176
vda             717.49     28692.91        25.15   32149257      28176
vda             718.52     28681.60        25.09   32222629      28192
vda             719.54     28669.20        25.03   32294989      28200
vda             720.76     28662.95        24.98   32374225      28216
vda             721.69     28649.64        24.92   32445425      28224
vda             722.73     28638.56        24.87   32518793      28240
vda             723.59     28624.79        24.81   32589325      28248
vda             724.27     28605.80        24.76   32653801      28264
vda             725.22     28593.15        24.70   32725429      28264
vda             726.17     28581.34        24.64   32797949      28280
vda             727.19     28571.26        24.58   32872097      28280
vda             728.21     28561.13        24.54   32946405      28304
vda             729.25     28552.69        24.47   33022609      28304
vda             729.98     28536.15        24.42   33089373      28320
vda             731.01     28527.03        24.38   33164389      28340
vda             731.88     28513.68        24.31   33234689      28340
vda             732.61     28497.81        24.27   33301969      28364
vda             733.67     28489.11        24.21   33377557      28364
vda             734.35     28473.20        24.18   33444333      28400
vda             735.19     28460.07        24.12   33514577      28400
vda             735.76     28442.66        24.07   33579405      28416
vda             736.52     28427.71        24.01   33647321      28416
vda             737.24     28413.08        23.96   33715241      28432
vda             738.17     28403.31        23.90   33789141      28432
vda             738.96     28389.67        23.85   33858093      28448
vda             739.73     28375.59        23.79   33926705      28448
vda             740.48     28361.76        23.75   33995537      28472
vda             741.03     28343.63        23.69   34059121      28472
vda             741.79     28331.10        23.67   34129341      28508
vda             742.47     28317.31        23.61   34197681      28508
vda             743.30     28305.91        23.57   34269113      28532
vda             743.94     28291.20        23.51   34336181      28532
vda             744.35     28270.81        23.46   34396525      28548
vda             744.87     28253.61        23.41   34460365      28548
vda             745.59     28240.72        23.36   34529641      28564
vda             746.26     28226.36        23.30   34597053      28564
vda             746.91     28210.87        23.27   34662693      28588
vda             747.58     28196.69        23.21   34730149      28588
vda             748.08     28181.19        23.17   34795877      28604
