time               total        used        free      shared  buff/cache   available
2023-07-31 21:05:02  Mem:           125G         22G         78G        1.1M         24G        101G
2023-07-31 21:05:05  Mem:           125G         23G         77G        1.1M         24G        101G
2023-07-31 21:05:08  Mem:           125G         23G         77G        1.1M         24G        100G
2023-07-31 21:05:11  Mem:           125G         23G         77G        1.1M         24G        100G
2023-07-31 21:05:14  Mem:           125G         23G         77G        1.1M         24G        100G
2023-07-31 21:05:17  Mem:           125G         23G         77G        1.1M         24G        100G
2023-07-31 21:05:20  Mem:           125G         24G         76G        1.1M         24G        100G
2023-07-31 21:05:23  Mem:           125G         24G         76G        1.1M         24G         99G
2023-07-31 21:05:26  Mem:           125G         24G         76G        1.1M         24G         99G
2023-07-31 21:05:29  Mem:           125G         24G         75G        1.1M         24G         99G
2023-07-31 21:05:32  Mem:           125G         24G         75G        1.1M         24G         99G
2023-07-31 21:05:35  Mem:           125G         25G         75G        1.1M         24G         99G
2023-07-31 21:05:38  Mem:           125G         25G         75G        1.1M         24G         99G
2023-07-31 21:05:41  Mem:           125G         25G         75G        1.1M         24G         98G
2023-07-31 21:05:44  Mem:           125G         25G         74G        1.1M         24G         98G
2023-07-31 21:05:47  Mem:           125G         25G         74G        1.1M         24G         98G
2023-07-31 21:05:50  Mem:           125G         25G         74G        1.1M         25G         98G
2023-07-31 21:05:53  Mem:           125G         25G         74G        1.1M         25G         98G
2023-07-31 21:05:56  Mem:           125G         25G         74G        1.1M         25G         98G
2023-07-31 21:05:59  Mem:           125G         25G         73G        1.1M         25G         98G
2023-07-31 21:06:02  Mem:           125G         26G         73G        1.1M         25G         98G
2023-07-31 21:06:05  Mem:           125G         26G         73G        1.1M         25G         98G
2023-07-31 21:06:08  Mem:           125G         26G         73G        1.1M         25G         97G
2023-07-31 21:06:11  Mem:           125G         26G         73G        1.1M         25G         97G
2023-07-31 21:06:14  Mem:           125G         26G         72G        1.1M         25G         97G
2023-07-31 21:06:17  Mem:           125G         26G         72G        1.1M         25G         97G
2023-07-31 21:06:20  Mem:           125G         26G         72G        1.1M         25G         97G
2023-07-31 21:06:23  Mem:           125G         26G         72G        1.1M         26G         97G
2023-07-31 21:06:26  Mem:           125G         26G         72G        1.1M         26G         97G
2023-07-31 21:06:29  Mem:           125G         27G         71G        1.1M         26G         97G
2023-07-31 21:06:32  Mem:           125G         27G         71G        1.1M         26G         96G
2023-07-31 21:06:35  Mem:           125G         27G         71G        1.1M         26G         96G
2023-07-31 21:06:38  Mem:           125G         27G         71G        1.1M         26G         96G
2023-07-31 21:06:41  Mem:           125G         27G         71G        1.1M         26G         96G
2023-07-31 21:06:44  Mem:           125G         27G         70G        1.1M         26G         96G
2023-07-31 21:06:47  Mem:           125G         27G         70G        1.1M         26G         96G
2023-07-31 21:06:50  Mem:           125G         27G         70G        1.1M         26G         96G
2023-07-31 21:06:53  Mem:           125G         28G         70G        1.1M         26G         96G
2023-07-31 21:06:56  Mem:           125G         28G         70G        1.1M         26G         96G
2023-07-31 21:06:59  Mem:           125G         28G         69G        1.1M         27G         95G
2023-07-31 21:07:02  Mem:           125G         28G         69G        1.1M         27G         95G
2023-07-31 21:07:05  Mem:           125G         28G         69G        1.1M         27G         95G
2023-07-31 21:07:08  Mem:           125G         28G         69G        1.1M         27G         95G
