Device             tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
vda             525.73     23211.31        62.78    9427969      25500
vda             523.21     23117.90        62.31    9460305      25500
vda             519.51     22956.83        62.04    9463265      25572
vda             515.83     22794.46        61.59    9464945      25572
vda             512.29     22641.40        61.25    9469313      25616
vda             508.81     22488.24        60.81    9472721      25616
vda             505.25     22331.74        60.49    9474017      25660
vda             501.97     22191.60        60.06    9481361      25660
vda             502.01     22106.34        59.74    9511253      25704
vda             502.16     22021.75        59.33    9541141      25704
vda             502.33     21944.07        59.05    9573537      25760
vda             502.58     21866.88        58.74    9605681      25804
vda             502.44     21786.60        58.52    9635777      25880
vda             502.53     21711.93        58.26    9668105      25940
vda             502.70     21638.99        58.02    9700757      26008
vda             502.65     21565.10        57.72    9732545      26048
vda             502.30     21486.68        57.44    9761829      26096
vda             502.05     21395.06        57.16    9800221      26180
vda             502.33     21330.60        56.99    9834897      26276
vda             502.38     21264.32        56.87    9868345      26392
vda             502.44     21199.09        56.73    9901881      26496
vda             502.80     21139.41        56.36    9937637      26496
vda             503.54     21087.50        56.04    9979661      26520
vda             504.18     21036.59        55.72   10018885      26536
vda             504.73     20985.77        55.37   10057849      26536
vda             505.28     20934.02        55.06   10096061      26552
vda             505.97     20883.78        54.71   10134689      26552
vda             505.48     20809.32        54.40   10160981      26564
vda             505.83     20751.44        54.08   10195181      26568
vda             506.46     20697.83        53.78   10231145      26584
vda             507.12     20645.78        53.53   10267561      26620
vda             507.66     20594.55        53.37   10304069      26700
vda             507.91     20534.79        53.15   10335981      26752
vda             508.05     20476.91        52.95   10368277      26812
vda             508.05     20413.33        52.72   10397529      26852
vda             507.93     20346.65        52.54   10424809      26920
vda             507.69     20280.27        52.24   10451841      26920
vda             507.59     20218.87        51.96   10480853      26936
vda             507.61     20159.66        51.66   10510841      26936
vda             507.67     20101.60        51.40   10541077      26952
vda             507.67     20043.57        51.10   10570977      26952
vda             507.45     19982.57        50.84   10598957      26968
vda             507.31     19922.90        50.57   10627073      26976
vda             507.18     19864.36        50.33   10655637      27000
vda             506.97     19803.54        50.05   10682425      27000
vda             506.80     19745.69        49.81   10710653      27016
vda             506.60     19686.06        49.53   10737565      27016
vda             506.42     19628.76        49.34   10765393      27060
vda             506.44     19574.91        49.09   10794581      27068
vda             506.47     19523.09        48.86   10824773      27088
vda             506.48     19471.98        48.59   10855045      27088
vda             506.39     19419.76        48.36   10884389      27104
vda             506.39     19369.67        48.10   10914613      27104
vda             505.96     19309.94        47.88   10938885      27124
