time               total        used        free      shared  buff/cache   available
2023-07-31 22:38:51  Mem:           125G         14G        101G        1.1M        9.1G        110G
2023-07-31 22:38:54  Mem:           125G         14G        101G        1.1M        9.1G        109G
2023-07-31 22:38:57  Mem:           125G         14G        101G        1.1M        9.1G        109G
2023-07-31 22:39:00  Mem:           125G         14G        101G        1.1M        9.1G        109G
2023-07-31 22:39:03  Mem:           125G         14G        101G        1.1M        9.1G        109G
2023-07-31 22:39:06  Mem:           125G         14G        101G        1.1M        9.1G        109G
2023-07-31 22:39:09  Mem:           125G         15G        100G        1.1M        9.1G        109G
2023-07-31 22:39:12  Mem:           125G         15G        100G        1.1M        9.2G        108G
2023-07-31 22:39:15  Mem:           125G         15G        100G        1.1M        9.2G        108G
2023-07-31 22:39:18  Mem:           125G         15G        100G        1.1M        9.2G        108G
2023-07-31 22:39:21  Mem:           125G         15G        100G        1.1M        9.2G        108G
2023-07-31 22:39:24  Mem:           125G         15G        100G        1.1M        9.3G        108G
2023-07-31 22:39:27  Mem:           125G         15G        100G        1.1M        9.3G        108G
2023-07-31 22:39:31  Mem:           125G         15G        100G        1.1M        9.3G        108G
2023-07-31 22:39:34  Mem:           125G         15G        100G        1.1M        9.4G        108G
2023-07-31 22:39:37  Mem:           125G         15G        100G        1.1M        9.4G        108G
2023-07-31 22:39:40  Mem:           125G         15G        100G        1.1M        9.4G        108G
2023-07-31 22:39:43  Mem:           125G         15G        100G        1.1M        9.5G        108G
2023-07-31 22:39:46  Mem:           125G         15G         99G        1.1M        9.5G        108G
2023-07-31 22:39:49  Mem:           125G         15G         99G        1.1M        9.5G        108G
2023-07-31 22:39:52  Mem:           125G         15G         99G        1.1M        9.6G        108G
2023-07-31 22:39:55  Mem:           125G         15G         99G        1.1M        9.6G        108G
2023-07-31 22:39:58  Mem:           125G         15G         99G        1.1M        9.6G        108G
2023-07-31 22:40:01  Mem:           125G         15G         99G        1.1M        9.7G        108G
2023-07-31 22:40:04  Mem:           125G         15G         99G        1.1M        9.7G        108G
2023-07-31 22:40:07  Mem:           125G         15G         99G        1.1M        9.7G        108G
2023-07-31 22:40:11  Mem:           125G         15G         99G        1.1M        9.8G        108G
2023-07-31 22:40:14  Mem:           125G         16G         99G        1.1M        9.8G        108G
2023-07-31 22:40:17  Mem:           125G         16G         99G        1.1M        9.8G        108G
2023-07-31 22:40:20  Mem:           125G         16G         99G        1.1M        9.9G        108G
2023-07-31 22:40:23  Mem:           125G         16G         99G        1.1M        9.9G        108G
2023-07-31 22:40:26  Mem:           125G         16G         99G        1.1M        9.9G        108G
2023-07-31 22:40:29  Mem:           125G         16G         98G        1.1M          9G        108G
2023-07-31 22:40:32  Mem:           125G         16G         98G        1.1M         10G        107G
2023-07-31 22:40:35  Mem:           125G         16G         98G        1.1M         10G        107G
2023-07-31 22:40:38  Mem:           125G         16G         98G        1.1M         10G        107G
2023-07-31 22:40:41  Mem:           125G         16G         98G        1.1M         10G        107G
2023-07-31 22:40:44  Mem:           125G         16G         98G        1.1M         10G        107G
2023-07-31 22:40:47  Mem:           125G         16G         98G        1.1M         10G        107G
2023-07-31 22:40:50  Mem:           125G         16G         98G        1.1M         10G        107G
2023-07-31 22:40:53  Mem:           125G         16G         98G        1.1M         10G        107G
2023-07-31 22:40:56  Mem:           125G         16G         98G        1.1M         10G        107G
2023-07-31 22:40:59  Mem:           125G         16G         98G        1.1M         10G        107G
2023-07-31 22:41:02  Mem:           125G         16G         98G        1.1M         10G        107G
2023-07-31 22:41:05  Mem:           125G         16G         98G        1.1M         10G        107G
2023-07-31 22:41:08  Mem:           125G         16G         98G        1.1M         10G        107G
2023-07-31 22:41:11  Mem:           125G         16G         98G        1.1M         10G        107G
2023-07-31 22:41:14  Mem:           125G         16G         98G        1.1M         10G        107G
2023-07-31 22:41:17  Mem:           125G         16G         97G        1.1M         10G        107G
2023-07-31 22:41:20  Mem:           125G         16G         97G        1.1M         10G        107G
2023-07-31 22:41:23  Mem:           125G         16G         97G        1.1M         10G        107G
2023-07-31 22:41:26  Mem:           125G         16G         97G        1.1M         10G        107G
2023-07-31 22:41:29  Mem:           125G         16G         97G        1.1M         10G        107G
2023-07-31 22:41:32  Mem:           125G         16G         97G        1.1M         10G        107G
2023-07-31 22:41:35  Mem:           125G         16G         97G        1.1M         10G        107G
2023-07-31 22:41:38  Mem:           125G         16G         97G        1.1M         10G        107G
2023-07-31 22:41:41  Mem:           125G         16G         97G        1.1M         10G        107G
2023-07-31 22:41:44  Mem:           125G         16G         97G        1.1M         10G        107G
2023-07-31 22:41:47  Mem:           125G         17G         97G        1.1M         10G        107G
2023-07-31 22:41:50  Mem:           125G         17G         97G        1.1M         10G        107G
2023-07-31 22:41:53  Mem:           125G         17G         97G        1.1M         10G        107G
2023-07-31 22:41:56  Mem:           125G         17G         97G        1.1M         10G        107G
2023-07-31 22:41:59  Mem:           125G         17G         97G        1.1M         10G        107G
2023-07-31 22:42:02  Mem:           125G         17G         97G        1.1M         10G        107G
2023-07-31 22:42:05  Mem:           125G         17G         97G        1.1M         10G        107G
2023-07-31 22:42:08  Mem:           125G         17G         97G        1.1M         10G        107G
2023-07-31 22:42:11  Mem:           125G         17G         97G        1.1M         10G        107G
2023-07-31 22:42:14  Mem:           125G         17G         96G        1.1M         10G        106G
2023-07-31 22:42:17  Mem:           125G         17G         96G        1.1M         10G        106G
2023-07-31 22:42:20  Mem:           125G         17G         96G        1.1M         11G        106G
2023-07-31 22:42:23  Mem:           125G         17G         96G        1.1M         11G        106G
2023-07-31 22:42:26  Mem:           125G         17G         96G        1.1M         11G        106G
2023-07-31 22:42:29  Mem:           125G         17G         96G        1.1M         11G        106G
2023-07-31 22:42:32  Mem:           125G         17G         96G        1.1M         11G        106G
2023-07-31 22:42:35  Mem:           125G         17G         96G        1.1M         11G        106G
2023-07-31 22:42:38  Mem:           125G         17G         96G        1.1M         11G        106G
2023-07-31 22:42:42  Mem:           125G         17G         96G        1.1M         11G        106G
2023-07-31 22:42:45  Mem:           125G         17G         96G        1.1M         11G        106G
2023-07-31 22:42:48  Mem:           125G         17G         96G        1.1M         11G        106G
2023-07-31 22:42:51  Mem:           125G         17G         96G        1.1M         11G        106G
2023-07-31 22:42:54  Mem:           125G         17G         96G        1.1M         11G        106G
2023-07-31 22:42:57  Mem:           125G         17G         96G        1.1M         11G        106G
