20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       648471.59         0.00    648471.59       552.12613       552.95900      1040.38300      1048.57500     54168.30 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     648471.59         0.00    648471.59       552.12613       552.95900      1040.38300      1048.57500     54168.30 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      33.279        0.000
GET     104.447        5.000
GET     156.671       10.000
GET     221.183       15.000
GET     266.239       20.000
GET     307.199       25.000
GET     350.207       30.000
GET     397.311       35.000
GET     456.703       40.000
GET     503.807       45.000
GET     552.959       50.000
GET     577.535       52.500
GET     602.111       55.000
GET     622.591       57.500
GET     651.263       60.000
GET     675.839       62.500
GET     700.415       65.000
GET     733.183       67.500
GET     753.663       70.000
GET     778.239       72.500
GET     802.815       75.000
GET     815.103       76.250
GET     823.295       77.500
GET     835.583       78.750
GET     847.871       80.000
GET     860.159       81.250
GET     876.543       82.500
GET     884.735       83.750
GET     897.023       85.000
GET     909.311       86.250
GET     921.599       87.500
GET     929.791       88.125
GET     937.983       88.750
GET     942.079       89.375
GET     946.175       90.000
GET     954.367       90.625
GET     962.559       91.250
GET     966.655       91.875
GET     970.751       92.500
GET     978.943       93.125
GET     987.135       93.750
GET     991.231       94.062
GET     995.327       94.375
GET    1003.519       94.688
GET    1003.519       95.000
GET    1007.615       95.312
GET    1011.711       95.625
GET    1015.807       95.938
GET    1015.807       96.250
GET    1019.903       96.562
GET    1023.999       96.875
GET    1023.999       97.031
GET    1023.999       97.188
GET    1028.095       97.344
GET    1028.095       97.500
GET    1028.095       97.656
GET    1032.191       97.812
GET    1032.191       97.969
GET    1032.191       98.125
GET    1036.287       98.281
GET    1036.287       98.438
GET    1036.287       98.516
GET    1036.287       98.594
GET    1036.287       98.672
GET    1040.383       98.750
GET    1040.383       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1048.575       99.609
GET    1048.575      100.000
---
WAIT      0.000      100.000
