20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       613993.73         0.00    613993.73       543.71966       548.86300      1040.38300      1048.57500     51288.26 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     613993.73         0.00    613993.73       543.71966       548.86300      1040.38300      1048.57500     51288.26 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      14.591        0.000
GET      85.503        5.000
GET     136.191       10.000
GET     182.271       15.000
GET     235.519       20.000
GET     288.767       25.000
GET     348.159       30.000
GET     393.215       35.000
GET     442.367       40.000
GET     493.567       45.000
GET     548.863       50.000
GET     573.439       52.500
GET     602.111       55.000
GET     626.687       57.500
GET     651.263       60.000
GET     675.839       62.500
GET     700.415       65.000
GET     720.895       67.500
GET     749.567       70.000
GET     774.143       72.500
GET     798.719       75.000
GET     811.007       76.250
GET     827.391       77.500
GET     835.583       78.750
GET     851.967       80.000
GET     864.255       81.250
GET     880.639       82.500
GET     897.023       83.750
GET     905.215       85.000
GET     917.503       86.250
GET     929.791       87.500
GET     933.887       88.125
GET     942.079       88.750
GET     946.175       89.375
GET     954.367       90.000
GET     958.463       90.625
GET     966.655       91.250
GET     970.751       91.875
GET     974.847       92.500
GET     983.039       93.125
GET     987.135       93.750
GET     991.231       94.062
GET     995.327       94.375
GET     995.327       94.688
GET     999.423       95.000
GET    1003.519       95.312
GET    1007.615       95.625
GET    1007.615       95.938
GET    1011.711       96.250
GET    1015.807       96.562
GET    1019.903       96.875
GET    1019.903       97.031
GET    1023.999       97.188
GET    1023.999       97.344
GET    1023.999       97.500
GET    1028.095       97.656
GET    1028.095       97.812
GET    1032.191       97.969
GET    1032.191       98.125
GET    1032.191       98.281
GET    1036.287       98.438
GET    1036.287       98.516
GET    1036.287       98.594
GET    1036.287       98.672
GET    1040.383       98.750
GET    1040.383       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1048.575       99.648
GET    1048.575      100.000
---
WAIT      0.000      100.000
