20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       649040.86         0.00    649040.86       548.30893       552.95900      1036.28700      1048.57500     54215.87 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     649040.86         0.00    649040.86       548.30893       552.95900      1036.28700      1048.57500     54215.87 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      14.719        0.000
GET      93.183        5.000
GET     144.383       10.000
GET     196.607       15.000
GET     262.143       20.000
GET     309.247       25.000
GET     354.303       30.000
GET     401.407       35.000
GET     452.607       40.000
GET     503.807       45.000
GET     552.959       50.000
GET     577.535       52.500
GET     602.111       55.000
GET     622.591       57.500
GET     647.167       60.000
GET     671.743       62.500
GET     696.319       65.000
GET     724.991       67.500
GET     749.567       70.000
GET     778.239       72.500
GET     802.815       75.000
GET     815.103       76.250
GET     827.391       77.500
GET     835.583       78.750
GET     847.871       80.000
GET     860.159       81.250
GET     872.447       82.500
GET     884.735       83.750
GET     892.927       85.000
GET     905.215       86.250
GET     921.599       87.500
GET     925.695       88.125
GET     933.887       88.750
GET     937.983       89.375
GET     942.079       90.000
GET     950.271       90.625
GET     954.367       91.250
GET     962.559       91.875
GET     966.655       92.500
GET     974.847       93.125
GET     978.943       93.750
GET     983.039       94.062
GET     987.135       94.375
GET     991.231       94.688
GET     995.327       95.000
GET     995.327       95.312
GET     999.423       95.625
GET    1003.519       95.938
GET    1007.615       96.250
GET    1007.615       96.562
GET    1011.711       96.875
GET    1015.807       97.031
GET    1015.807       97.188
GET    1019.903       97.344
GET    1019.903       97.500
GET    1019.903       97.656
GET    1023.999       97.812
GET    1023.999       97.969
GET    1023.999       98.125
GET    1028.095       98.281
GET    1028.095       98.438
GET    1028.095       98.516
GET    1032.191       98.594
GET    1032.191       98.672
GET    1032.191       98.750
GET    1032.191       98.828
GET    1036.287       98.906
GET    1036.287       98.984
GET    1036.287       99.062
GET    1036.287       99.141
GET    1040.383       99.219
GET    1040.383       99.258
GET    1040.383       99.297
GET    1040.383       99.336
GET    1040.383       99.375
GET    1040.383       99.414
GET    1040.383       99.453
GET    1040.383       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1048.575       99.746
GET    1048.575      100.000
---
WAIT      0.000      100.000
