20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       295323.34    295323.34         0.00       543.72909       557.05500      1044.47900      1048.57500     19477.80 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     295323.34    295323.34         0.00       543.72909       557.05500      1044.47900      1048.57500     19477.80 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      15.167        0.000
GET      68.607        5.000
GET     122.367       10.000
GET     176.127       15.000
GET     237.567       20.000
GET     284.671       25.000
GET     333.823       30.000
GET     393.215       35.000
GET     440.319       40.000
GET     501.759       45.000
GET     557.055       50.000
GET     577.535       52.500
GET     593.919       55.000
GET     618.495       57.500
GET     647.167       60.000
GET     679.935       62.500
GET     692.223       65.000
GET     729.087       67.500
GET     761.855       70.000
GET     790.527       72.500
GET     802.815       75.000
GET     819.199       76.250
GET     831.487       77.500
GET     843.775       78.750
GET     851.967       80.000
GET     872.447       81.250
GET     872.447       82.500
GET     892.927       83.750
GET     905.215       85.000
GET     917.503       86.250
GET     937.983       87.500
GET     946.175       88.125
GET     958.463       88.750
GET     962.559       89.375
GET     966.655       90.000
GET     970.751       90.625
GET     970.751       91.250
GET     974.847       91.875
GET     987.135       92.500
GET     991.231       93.125
GET    1003.519       93.750
GET    1003.519       94.062
GET    1003.519       94.375
GET    1007.615       94.688
GET    1007.615       95.000
GET    1011.711       95.312
GET    1015.807       95.625
GET    1015.807       95.938
GET    1019.903       96.250
GET    1023.999       96.562
GET    1023.999       96.875
GET    1023.999       97.031
GET    1032.191       97.188
GET    1032.191       97.344
GET    1032.191       97.500
GET    1040.383       97.656
GET    1040.383       97.812
GET    1044.479       97.969
GET    1044.479       98.125
GET    1044.479       98.281
GET    1044.479       98.438
GET    1044.479       98.516
GET    1044.479       98.594
GET    1044.479       98.672
GET    1044.479       98.750
GET    1044.479       98.828
GET    1044.479       98.906
GET    1044.479       98.984
GET    1044.479       99.062
GET    1044.479       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1044.479       99.746
GET    1044.479       99.766
GET    1044.479       99.785
GET    1044.479       99.805
GET    1044.479       99.814
GET    1048.575       99.824
GET    1048.575      100.000
---
WAIT      0.000      100.000
