20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       139940.34    139940.34         0.00       537.81542       528.38300      1036.28700      1040.38300      9229.65 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     139940.34    139940.34         0.00       537.81542       528.38300      1036.28700      1040.38300      9229.65 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      33.791        0.000
GET      72.191        5.000
GET     106.495       10.000
GET     178.175       15.000
GET     225.279       20.000
GET     296.959       25.000
GET     376.831       30.000
GET     417.791       35.000
GET     428.031       40.000
GET     471.039       45.000
GET     528.383       50.000
GET     540.671       52.500
GET     606.207       55.000
GET     651.263       57.500
GET     675.839       60.000
GET     704.511       62.500
GET     712.703       65.000
GET     724.991       67.500
GET     724.991       70.000
GET     737.279       72.500
GET     774.143       75.000
GET     782.335       76.250
GET     790.527       77.500
GET     815.103       78.750
GET     827.391       80.000
GET     831.487       81.250
GET     839.679       82.500
GET     888.831       83.750
GET     901.119       85.000
GET     909.311       86.250
GET     929.791       87.500
GET     933.887       88.125
GET     946.175       88.750
GET     950.271       89.375
GET     954.367       90.000
GET     958.463       90.625
GET     962.559       91.250
GET     966.655       91.875
GET     978.943       92.500
GET     987.135       93.125
GET     999.423       93.750
GET     999.423       94.062
GET    1003.519       94.375
GET    1003.519       94.688
GET    1007.615       95.000
GET    1007.615       95.312
GET    1007.615       95.625
GET    1011.711       95.938
GET    1011.711       96.250
GET    1011.711       96.562
GET    1011.711       96.875
GET    1011.711       97.031
GET    1015.807       97.188
GET    1015.807       97.344
GET    1015.807       97.500
GET    1015.807       97.656
GET    1015.807       97.812
GET    1019.903       97.969
GET    1019.903       98.125
GET    1019.903       98.281
GET    1019.903       98.438
GET    1019.903       98.516
GET    1019.903       98.594
GET    1019.903       98.672
GET    1019.903       98.750
GET    1019.903       98.828
GET    1036.287       98.906
GET    1036.287       98.984
GET    1036.287       99.062
GET    1036.287       99.141
GET    1036.287       99.219
GET    1036.287       99.258
GET    1036.287       99.297
GET    1036.287       99.336
GET    1036.287       99.375
GET    1036.287       99.414
GET    1040.383       99.453
GET    1040.383      100.000
---
WAIT      0.000      100.000
