20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       163670.90    163670.90         0.00       538.58377       557.05500      1036.28700      1044.47900     10794.77 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     163670.90    163670.90         0.00       538.58377       557.05500      1036.28700      1044.47900     10794.77 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      37.375        0.000
GET      91.135        5.000
GET     117.759       10.000
GET     184.319       15.000
GET     237.567       20.000
GET     296.959       25.000
GET     325.631       30.000
GET     389.119       35.000
GET     425.983       40.000
GET     497.663       45.000
GET     557.055       50.000
GET     577.535       52.500
GET     585.727       55.000
GET     606.207       57.500
GET     634.879       60.000
GET     671.743       62.500
GET     692.223       65.000
GET     708.607       67.500
GET     741.375       70.000
GET     778.239       72.500
GET     794.623       75.000
GET     823.295       76.250
GET     831.487       77.500
GET     843.775       78.750
GET     851.967       80.000
GET     864.255       81.250
GET     868.351       82.500
GET     872.447       83.750
GET     884.735       85.000
GET     892.927       86.250
GET     913.407       87.500
GET     921.599       88.125
GET     925.695       88.750
GET     933.887       89.375
GET     946.175       90.000
GET     950.271       90.625
GET     954.367       91.250
GET     966.655       91.875
GET     966.655       92.500
GET     970.751       93.125
GET     978.943       93.750
GET     978.943       94.062
GET     987.135       94.375
GET     987.135       94.688
GET     987.135       95.000
GET     987.135       95.312
GET     991.231       95.625
GET     991.231       95.938
GET     995.327       96.250
GET     999.423       96.562
GET     999.423       96.875
GET     999.423       97.031
GET     999.423       97.188
GET    1003.519       97.344
GET    1019.903       97.500
GET    1019.903       97.656
GET    1019.903       97.812
GET    1023.999       97.969
GET    1028.095       98.125
GET    1028.095       98.281
GET    1028.095       98.438
GET    1028.095       98.516
GET    1032.191       98.594
GET    1032.191       98.672
GET    1036.287       98.750
GET    1036.287       98.828
GET    1036.287       98.906
GET    1036.287       98.984
GET    1036.287       99.062
GET    1036.287       99.141
GET    1036.287       99.219
GET    1036.287       99.258
GET    1036.287       99.297
GET    1040.383       99.336
GET    1040.383       99.375
GET    1040.383       99.414
GET    1040.383       99.453
GET    1040.383       99.492
GET    1044.479       99.531
GET    1044.479      100.000
---
WAIT      0.000      100.000
