20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       286861.41    286861.41         0.00       521.64957       516.09500      1019.90300      1048.57500     18919.70 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     286861.41    286861.41         0.00       521.64957       516.09500      1019.90300      1048.57500     18919.70 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      14.335        0.000
GET      77.823        5.000
GET     114.175       10.000
GET     153.599       15.000
GET     200.703       20.000
GET     264.191       25.000
GET     301.055       30.000
GET     360.447       35.000
GET     407.551       40.000
GET     473.087       45.000
GET     516.095       50.000
GET     548.863       52.500
GET     577.535       55.000
GET     598.015       57.500
GET     634.879       60.000
GET     655.359       62.500
GET     667.647       65.000
GET     700.415       67.500
GET     733.183       70.000
GET     761.855       72.500
GET     782.335       75.000
GET     802.815       76.250
GET     811.007       77.500
GET     827.391       78.750
GET     831.487       80.000
GET     839.679       81.250
GET     843.775       82.500
GET     872.447       83.750
GET     888.831       85.000
GET     897.023       86.250
GET     913.407       87.500
GET     921.599       88.125
GET     933.887       88.750
GET     937.983       89.375
GET     942.079       90.000
GET     946.175       90.625
GET     950.271       91.250
GET     954.367       91.875
GET     966.655       92.500
GET     974.847       93.125
GET     983.039       93.750
GET     987.135       94.062
GET     991.231       94.375
GET     991.231       94.688
GET     999.423       95.000
GET    1003.519       95.312
GET    1003.519       95.625
GET    1007.615       95.938
GET    1011.711       96.250
GET    1011.711       96.562
GET    1015.807       96.875
GET    1015.807       97.031
GET    1015.807       97.188
GET    1019.903       97.344
GET    1019.903       97.500
GET    1019.903       97.656
GET    1019.903       97.812
GET    1019.903       97.969
GET    1019.903       98.125
GET    1019.903       98.281
GET    1019.903       98.438
GET    1019.903       98.516
GET    1019.903       98.594
GET    1019.903       98.672
GET    1019.903       98.750
GET    1019.903       98.828
GET    1019.903       98.906
GET    1019.903       98.984
GET    1023.999       99.062
GET    1023.999       99.141
GET    1023.999       99.219
GET    1023.999       99.258
GET    1023.999       99.297
GET    1032.191       99.336
GET    1032.191       99.375
GET    1032.191       99.414
GET    1032.191       99.453
GET    1032.191       99.492
GET    1032.191       99.531
GET    1036.287       99.570
GET    1036.287       99.609
GET    1036.287       99.629
GET    1036.287       99.648
GET    1048.575       99.668
GET    1048.575      100.000
---
WAIT      0.000      100.000
