20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       291255.70    291255.70         0.00       534.74938       536.57500      1032.19100      1048.57500     19209.52 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     291255.70    291255.70         0.00       534.74938       536.57500      1032.19100      1048.57500     19209.52 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      21.887        0.000
GET     102.911        5.000
GET     133.119       10.000
GET     183.295       15.000
GET     248.831       20.000
GET     278.527       25.000
GET     339.967       30.000
GET     378.879       35.000
GET     430.079       40.000
GET     487.423       45.000
GET     536.575       50.000
GET     548.863       52.500
GET     593.919       55.000
GET     610.303       57.500
GET     618.495       60.000
GET     655.359       62.500
GET     692.223       65.000
GET     716.799       67.500
GET     729.087       70.000
GET     761.855       72.500
GET     786.431       75.000
GET     794.623       76.250
GET     798.719       77.500
GET     819.199       78.750
GET     839.679       80.000
GET     856.063       81.250
GET     872.447       82.500
GET     884.735       83.750
GET     892.927       85.000
GET     901.119       86.250
GET     905.215       87.500
GET     909.311       88.125
GET     909.311       88.750
GET     913.407       89.375
GET     913.407       90.000
GET     933.887       90.625
GET     942.079       91.250
GET     954.367       91.875
GET     962.559       92.500
GET     966.655       93.125
GET     974.847       93.750
GET     974.847       94.062
GET     983.039       94.375
GET     983.039       94.688
GET     983.039       95.000
GET     983.039       95.312
GET     987.135       95.625
GET     987.135       95.938
GET     995.327       96.250
GET     995.327       96.562
GET     999.423       96.875
GET     999.423       97.031
GET    1007.615       97.188
GET    1007.615       97.344
GET    1007.615       97.500
GET    1007.615       97.656
GET    1011.711       97.812
GET    1015.807       97.969
GET    1019.903       98.125
GET    1023.999       98.281
GET    1023.999       98.438
GET    1023.999       98.516
GET    1023.999       98.594
GET    1023.999       98.672
GET    1032.191       98.750
GET    1032.191       98.828
GET    1032.191       98.906
GET    1032.191       98.984
GET    1032.191       99.062
GET    1036.287       99.141
GET    1036.287       99.219
GET    1036.287       99.258
GET    1040.383       99.297
GET    1040.383       99.336
GET    1040.383       99.375
GET    1040.383       99.414
GET    1040.383       99.453
GET    1040.383       99.492
GET    1040.383       99.531
GET    1040.383       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1044.479       99.746
GET    1044.479       99.766
GET    1048.575       99.785
GET    1048.575      100.000
---
WAIT      0.000      100.000
