20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       314285.84    314285.84         0.00       538.93107       557.05500      1036.28700      1048.57500     20728.46 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     314285.84    314285.84         0.00       538.93107       557.05500      1036.28700      1048.57500     20728.46 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      31.871        0.000
GET     101.375        5.000
GET     136.191       10.000
GET     169.983       15.000
GET     243.711       20.000
GET     301.055       25.000
GET     335.871       30.000
GET     380.927       35.000
GET     425.983       40.000
GET     489.471       45.000
GET     557.055       50.000
GET     573.439       52.500
GET     589.823       55.000
GET     606.207       57.500
GET     622.591       60.000
GET     667.647       62.500
GET     688.127       65.000
GET     733.183       67.500
GET     753.663       70.000
GET     770.047       72.500
GET     782.335       75.000
GET     786.431       76.250
GET     802.815       77.500
GET     827.391       78.750
GET     847.871       80.000
GET     856.063       81.250
GET     868.351       82.500
GET     888.831       83.750
GET     913.407       85.000
GET     921.599       86.250
GET     933.887       87.500
GET     933.887       88.125
GET     937.983       88.750
GET     942.079       89.375
GET     950.271       90.000
GET     954.367       90.625
GET     958.463       91.250
GET     962.559       91.875
GET     962.559       92.500
GET     962.559       93.125
GET     970.751       93.750
GET     974.847       94.062
GET     978.943       94.375
GET     978.943       94.688
GET     987.135       95.000
GET     991.231       95.312
GET     995.327       95.625
GET    1007.615       95.938
GET    1015.807       96.250
GET    1019.903       96.562
GET    1019.903       96.875
GET    1023.999       97.031
GET    1028.095       97.188
GET    1028.095       97.344
GET    1028.095       97.500
GET    1028.095       97.656
GET    1028.095       97.812
GET    1032.191       97.969
GET    1032.191       98.125
GET    1032.191       98.281
GET    1032.191       98.438
GET    1032.191       98.516
GET    1032.191       98.594
GET    1032.191       98.672
GET    1032.191       98.750
GET    1032.191       98.828
GET    1032.191       98.906
GET    1032.191       98.984
GET    1036.287       99.062
GET    1036.287       99.141
GET    1036.287       99.219
GET    1040.383       99.258
GET    1040.383       99.297
GET    1040.383       99.336
GET    1040.383       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1048.575       99.746
GET    1048.575      100.000
---
WAIT      0.000      100.000
