20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       378891.13    378891.13         0.00       472.03238       452.60700      1036.28700      1048.57500     30738.29 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     378891.13    378891.13         0.00       472.03238       452.60700      1036.28700      1048.57500     30738.29 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       7.999        0.000
GET      44.799        5.000
GET      65.279       10.000
GET      91.135       15.000
GET     124.927       20.000
GET     174.079       25.000
GET     224.255       30.000
GET     278.527       35.000
GET     335.871       40.000
GET     395.263       45.000
GET     452.607       50.000
GET     481.279       52.500
GET     511.999       55.000
GET     540.671       57.500
GET     569.343       60.000
GET     602.111       62.500
GET     630.783       65.000
GET     659.455       67.500
GET     688.127       70.000
GET     716.799       72.500
GET     749.567       75.000
GET     761.855       76.250
GET     778.239       77.500
GET     794.623       78.750
GET     811.007       80.000
GET     827.391       81.250
GET     839.679       82.500
GET     856.063       83.750
GET     872.447       85.000
GET     884.735       86.250
GET     901.119       87.500
GET     905.215       88.125
GET     913.407       88.750
GET     921.599       89.375
GET     929.791       90.000
GET     933.887       90.625
GET     942.079       91.250
GET     950.271       91.875
GET     958.463       92.500
GET     962.559       93.125
GET     970.751       93.750
GET     974.847       94.062
GET     978.943       94.375
GET     983.039       94.688
GET     987.135       95.000
GET     991.231       95.312
GET     995.327       95.625
GET     999.423       95.938
GET    1003.519       96.250
GET    1007.615       96.562
GET    1011.711       96.875
GET    1011.711       97.031
GET    1015.807       97.188
GET    1015.807       97.344
GET    1019.903       97.500
GET    1019.903       97.656
GET    1023.999       97.812
GET    1023.999       97.969
GET    1023.999       98.125
GET    1028.095       98.281
GET    1028.095       98.438
GET    1032.191       98.516
GET    1032.191       98.594
GET    1032.191       98.672
GET    1032.191       98.750
GET    1036.287       98.828
GET    1036.287       98.906
GET    1036.287       98.984
GET    1036.287       99.062
GET    1040.383       99.141
GET    1040.383       99.219
GET    1040.383       99.258
GET    1040.383       99.297
GET    1040.383       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1048.575       99.688
GET    1048.575      100.000
---
WAIT      0.000      100.000
