20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       139245.98    139245.98         0.00       547.36404       565.24700      1048.57500      1048.57500      9183.84 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     139245.98    139245.98         0.00       547.36404       565.24700      1048.57500      1048.57500      9183.84 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      32.383        0.000
GET      86.015        5.000
GET     112.639       10.000
GET     272.383       15.000
GET     299.007       20.000
GET     325.631       25.000
GET     346.111       30.000
GET     364.543       35.000
GET     505.855       40.000
GET     536.575       45.000
GET     565.247       50.000
GET     581.631       52.500
GET     589.823       55.000
GET     602.111       57.500
GET     606.207       60.000
GET     614.399       62.500
GET     745.471       65.000
GET     761.855       67.500
GET     778.239       70.000
GET     790.527       72.500
GET     806.911       75.000
GET     815.103       76.250
GET     823.295       77.500
GET     827.391       78.750
GET     831.487       80.000
GET     839.679       81.250
GET     843.775       82.500
GET     847.871       83.750
GET     851.967       85.000
GET     856.063       86.250
GET     856.063       87.500
GET     856.063       88.125
GET     860.159       88.750
GET     860.159       89.375
GET     864.255       90.000
GET     868.351       90.625
GET     999.423       91.250
GET    1003.519       91.875
GET    1011.711       92.500
GET    1011.711       93.125
GET    1019.903       93.750
GET    1019.903       94.062
GET    1019.903       94.375
GET    1023.999       94.688
GET    1023.999       95.000
GET    1028.095       95.312
GET    1028.095       95.625
GET    1028.095       95.938
GET    1032.191       96.250
GET    1032.191       96.562
GET    1036.287       96.875
GET    1036.287       97.031
GET    1036.287       97.188
GET    1036.287       97.344
GET    1040.383       97.500
GET    1040.383       97.656
GET    1040.383       97.812
GET    1044.479       97.969
GET    1044.479       98.125
GET    1044.479       98.281
GET    1044.479       98.438
GET    1044.479       98.516
GET    1044.479       98.594
GET    1044.479       98.672
GET    1048.575       98.750
GET    1048.575      100.000
---
WAIT      0.000      100.000
