20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       320464.36    320464.36         0.00       536.42535       540.67100      1032.19100      1048.57500     21135.96 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     320464.36    320464.36         0.00       536.42535       540.67100      1032.19100      1048.57500     21135.96 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      30.719        0.000
GET      75.775        5.000
GET     115.199       10.000
GET     168.959       15.000
GET     219.135       20.000
GET     286.719       25.000
GET     331.775       30.000
GET     382.975       35.000
GET     440.319       40.000
GET     479.231       45.000
GET     540.671       50.000
GET     565.247       52.500
GET     593.919       55.000
GET     610.303       57.500
GET     630.783       60.000
GET     671.743       62.500
GET     696.319       65.000
GET     724.991       67.500
GET     745.471       70.000
GET     757.759       72.500
GET     798.719       75.000
GET     819.199       76.250
GET     827.391       77.500
GET     839.679       78.750
GET     856.063       80.000
GET     868.351       81.250
GET     876.543       82.500
GET     884.735       83.750
GET     892.927       85.000
GET     905.215       86.250
GET     925.695       87.500
GET     937.983       88.125
GET     942.079       88.750
GET     954.367       89.375
GET     958.463       90.000
GET     962.559       90.625
GET     974.847       91.250
GET     978.943       91.875
GET     983.039       92.500
GET     995.327       93.125
GET     999.423       93.750
GET    1003.519       94.062
GET    1003.519       94.375
GET    1007.615       94.688
GET    1011.711       95.000
GET    1011.711       95.312
GET    1015.807       95.625
GET    1019.903       95.938
GET    1019.903       96.250
GET    1019.903       96.562
GET    1023.999       96.875
GET    1023.999       97.031
GET    1023.999       97.188
GET    1028.095       97.344
GET    1028.095       97.500
GET    1028.095       97.656
GET    1028.095       97.812
GET    1028.095       97.969
GET    1028.095       98.125
GET    1028.095       98.281
GET    1032.191       98.438
GET    1032.191       98.516
GET    1032.191       98.594
GET    1032.191       98.672
GET    1032.191       98.750
GET    1032.191       98.828
GET    1032.191       98.906
GET    1032.191       98.984
GET    1036.287       99.062
GET    1036.287       99.141
GET    1040.383       99.219
GET    1040.383       99.258
GET    1040.383       99.297
GET    1040.383       99.336
GET    1040.383       99.375
GET    1040.383       99.414
GET    1040.383       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1048.575       99.609
GET    1048.575      100.000
---
WAIT      0.000      100.000
