20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       616272.06    616272.06         0.00       518.42352       518.14300      1040.38300      1048.57500     49996.34 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     616272.06    616272.06         0.00       518.42352       518.14300      1040.38300      1048.57500     49996.34 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       8.191        0.000
GET      66.559        5.000
GET     104.447       10.000
GET     145.407       15.000
GET     198.655       20.000
GET     252.927       25.000
GET     307.199       30.000
GET     360.447       35.000
GET     415.743       40.000
GET     466.943       45.000
GET     518.143       50.000
GET     544.767       52.500
GET     569.343       55.000
GET     598.015       57.500
GET     622.591       60.000
GET     647.167       62.500
GET     675.839       65.000
GET     700.415       67.500
GET     729.087       70.000
GET     753.663       72.500
GET     782.335       75.000
GET     794.623       76.250
GET     806.911       77.500
GET     819.199       78.750
GET     831.487       80.000
GET     843.775       81.250
GET     856.063       82.500
GET     872.447       83.750
GET     884.735       85.000
GET     897.023       86.250
GET     909.311       87.500
GET     917.503       88.125
GET     925.695       88.750
GET     929.791       89.375
GET     937.983       90.000
GET     942.079       90.625
GET     950.271       91.250
GET     958.463       91.875
GET     962.559       92.500
GET     970.751       93.125
GET     978.943       93.750
GET     983.039       94.062
GET     987.135       94.375
GET     987.135       94.688
GET     991.231       95.000
GET     995.327       95.312
GET     999.423       95.625
GET    1003.519       95.938
GET    1007.615       96.250
GET    1011.711       96.562
GET    1015.807       96.875
GET    1015.807       97.031
GET    1019.903       97.188
GET    1019.903       97.344
GET    1019.903       97.500
GET    1023.999       97.656
GET    1023.999       97.812
GET    1028.095       97.969
GET    1028.095       98.125
GET    1032.191       98.281
GET    1032.191       98.438
GET    1032.191       98.516
GET    1036.287       98.594
GET    1036.287       98.672
GET    1036.287       98.750
GET    1036.287       98.828
GET    1036.287       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1040.383       99.219
GET    1040.383       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1048.575       99.668
GET    1048.575      100.000
---
WAIT      0.000      100.000
