20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       599039.94    599039.94         0.00       511.59315       505.85500      1040.38300      1048.57500     48598.32 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     599039.94    599039.94         0.00       511.59315       505.85500      1040.38300      1048.57500     48598.32 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       7.423        0.000
GET      62.719        5.000
GET      97.279       10.000
GET     139.263       15.000
GET     183.295       20.000
GET     233.471       25.000
GET     288.767       30.000
GET     342.015       35.000
GET     397.311       40.000
GET     452.607       45.000
GET     505.855       50.000
GET     536.575       52.500
GET     561.151       55.000
GET     589.823       57.500
GET     618.495       60.000
GET     643.071       62.500
GET     671.743       65.000
GET     700.415       67.500
GET     724.991       70.000
GET     753.663       72.500
GET     778.239       75.000
GET     794.623       76.250
GET     806.911       77.500
GET     819.199       78.750
GET     835.583       80.000
GET     847.871       81.250
GET     860.159       82.500
GET     872.447       83.750
GET     888.831       85.000
GET     901.119       86.250
GET     913.407       87.500
GET     921.599       88.125
GET     929.791       88.750
GET     933.887       89.375
GET     942.079       90.000
GET     950.271       90.625
GET     954.367       91.250
GET     962.559       91.875
GET     970.751       92.500
GET     974.847       93.125
GET     983.039       93.750
GET     987.135       94.062
GET     991.231       94.375
GET     991.231       94.688
GET     995.327       95.000
GET     999.423       95.312
GET    1003.519       95.625
GET    1007.615       95.938
GET    1011.711       96.250
GET    1015.807       96.562
GET    1015.807       96.875
GET    1019.903       97.031
GET    1019.903       97.188
GET    1023.999       97.344
GET    1023.999       97.500
GET    1023.999       97.656
GET    1028.095       97.812
GET    1028.095       97.969
GET    1032.191       98.125
GET    1032.191       98.281
GET    1032.191       98.438
GET    1036.287       98.516
GET    1036.287       98.594
GET    1036.287       98.672
GET    1036.287       98.750
GET    1036.287       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1040.383       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1048.575       99.609
GET    1048.575      100.000
---
WAIT      0.000      100.000
