20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       421472.59    421472.59         0.00       510.51588       505.85500      1040.38300      1048.57500     34192.84 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     421472.59    421472.59         0.00       510.51588       505.85500      1040.38300      1048.57500     34192.84 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       7.007        0.000
GET      63.999        5.000
GET      97.279       10.000
GET     138.239       15.000
GET     188.415       20.000
GET     241.663       25.000
GET     294.911       30.000
GET     346.111       35.000
GET     399.359       40.000
GET     452.607       45.000
GET     505.855       50.000
GET     532.479       52.500
GET     561.151       55.000
GET     585.727       57.500
GET     614.399       60.000
GET     638.975       62.500
GET     667.647       65.000
GET     696.319       67.500
GET     720.895       70.000
GET     749.567       72.500
GET     774.143       75.000
GET     786.431       76.250
GET     802.815       77.500
GET     815.103       78.750
GET     827.391       80.000
GET     839.679       81.250
GET     856.063       82.500
GET     868.351       83.750
GET     880.639       85.000
GET     897.023       86.250
GET     909.311       87.500
GET     917.503       88.125
GET     921.599       88.750
GET     929.791       89.375
GET     937.983       90.000
GET     942.079       90.625
GET     950.271       91.250
GET     958.463       91.875
GET     962.559       92.500
GET     970.751       93.125
GET     978.943       93.750
GET     983.039       94.062
GET     983.039       94.375
GET     987.135       94.688
GET     991.231       95.000
GET     995.327       95.312
GET     999.423       95.625
GET    1003.519       95.938
GET    1007.615       96.250
GET    1011.711       96.562
GET    1011.711       96.875
GET    1015.807       97.031
GET    1015.807       97.188
GET    1019.903       97.344
GET    1019.903       97.500
GET    1023.999       97.656
GET    1023.999       97.812
GET    1028.095       97.969
GET    1028.095       98.125
GET    1032.191       98.281
GET    1032.191       98.438
GET    1032.191       98.516
GET    1032.191       98.594
GET    1036.287       98.672
GET    1036.287       98.750
GET    1036.287       98.828
GET    1036.287       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1040.383       99.219
GET    1040.383       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1048.575       99.648
GET    1048.575      100.000
---
WAIT      0.000      100.000
