20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       301672.23    301672.23         0.00       450.45298       399.35900      1036.28700      1048.57500     24473.75 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     301672.23    301672.23         0.00       450.45298       399.35900      1036.28700      1048.57500     24473.75 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       7.935        0.000
GET      45.311        5.000
GET      73.215       10.000
GET      97.791       15.000
GET     134.143       20.000
GET     168.959       25.000
GET     205.823       30.000
GET     248.831       35.000
GET     294.911       40.000
GET     344.063       45.000
GET     399.359       50.000
GET     428.031       52.500
GET     456.703       55.000
GET     485.375       57.500
GET     514.047       60.000
GET     548.863       62.500
GET     581.631       65.000
GET     618.495       67.500
GET     651.263       70.000
GET     688.127       72.500
GET     724.991       75.000
GET     741.375       76.250
GET     757.759       77.500
GET     774.143       78.750
GET     790.527       80.000
GET     811.007       81.250
GET     827.391       82.500
GET     843.775       83.750
GET     860.159       85.000
GET     876.543       86.250
GET     892.927       87.500
GET     901.119       88.125
GET     909.311       88.750
GET     913.407       89.375
GET     921.599       90.000
GET     929.791       90.625
GET     937.983       91.250
GET     946.175       91.875
GET     954.367       92.500
GET     962.559       93.125
GET     970.751       93.750
GET     974.847       94.062
GET     978.943       94.375
GET     983.039       94.688
GET     987.135       95.000
GET     991.231       95.312
GET     995.327       95.625
GET     999.423       95.938
GET    1003.519       96.250
GET    1007.615       96.562
GET    1011.711       96.875
GET    1011.711       97.031
GET    1015.807       97.188
GET    1015.807       97.344
GET    1019.903       97.500
GET    1019.903       97.656
GET    1023.999       97.812
GET    1023.999       97.969
GET    1028.095       98.125
GET    1028.095       98.281
GET    1032.191       98.438
GET    1032.191       98.516
GET    1032.191       98.594
GET    1032.191       98.672
GET    1036.287       98.750
GET    1036.287       98.828
GET    1036.287       98.906
GET    1036.287       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1040.383       99.219
GET    1040.383       99.258
GET    1040.383       99.297
GET    1040.383       99.336
GET    1040.383       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1048.575       99.707
GET    1048.575      100.000
---
WAIT      0.000      100.000
