20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       418527.81    418527.81         0.00       488.93928       481.27900      1036.28700      1048.57500     33953.92 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     418527.81    418527.81         0.00       488.93928       481.27900      1036.28700      1048.57500     33953.92 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       7.039        0.000
GET      52.223        5.000
GET      80.383       10.000
GET     114.687       15.000
GET     153.599       20.000
GET     204.799       25.000
GET     255.999       30.000
GET     309.247       35.000
GET     362.495       40.000
GET     421.887       45.000
GET     481.279       50.000
GET     509.951       52.500
GET     540.671       55.000
GET     569.343       57.500
GET     598.015       60.000
GET     622.591       62.500
GET     651.263       65.000
GET     675.839       67.500
GET     704.511       70.000
GET     729.087       72.500
GET     757.759       75.000
GET     770.047       76.250
GET     782.335       77.500
GET     798.719       78.750
GET     811.007       80.000
GET     827.391       81.250
GET     839.679       82.500
GET     856.063       83.750
GET     868.351       85.000
GET     884.735       86.250
GET     897.023       87.500
GET     905.215       88.125
GET     909.311       88.750
GET     917.503       89.375
GET     925.695       90.000
GET     933.887       90.625
GET     942.079       91.250
GET     946.175       91.875
GET     954.367       92.500
GET     962.559       93.125
GET     970.751       93.750
GET     974.847       94.062
GET     978.943       94.375
GET     983.039       94.688
GET     987.135       95.000
GET     991.231       95.312
GET     995.327       95.625
GET     999.423       95.938
GET    1003.519       96.250
GET    1007.615       96.562
GET    1011.711       96.875
GET    1011.711       97.031
GET    1015.807       97.188
GET    1015.807       97.344
GET    1019.903       97.500
GET    1019.903       97.656
GET    1023.999       97.812
GET    1023.999       97.969
GET    1028.095       98.125
GET    1028.095       98.281
GET    1032.191       98.438
GET    1032.191       98.516
GET    1032.191       98.594
GET    1032.191       98.672
GET    1036.287       98.750
GET    1036.287       98.828
GET    1036.287       98.906
GET    1036.287       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1040.383       99.219
GET    1040.383       99.258
GET    1040.383       99.297
GET    1040.383       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1048.575       99.688
GET    1048.575      100.000
---
WAIT      0.000      100.000
