20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       406805.18    406805.18         0.00       453.52502       423.93500      1036.28700      1048.57500     33002.93 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     406805.18    406805.18         0.00       453.52502       423.93500      1036.28700      1048.57500     33002.93 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       7.455        0.000
GET      52.991        5.000
GET      75.263       10.000
GET      97.791       15.000
GET     116.223       20.000
GET     136.191       25.000
GET     171.007       30.000
GET     228.351       35.000
GET     292.863       40.000
GET     358.399       45.000
GET     423.935       50.000
GET     456.703       52.500
GET     489.471       55.000
GET     520.191       57.500
GET     552.959       60.000
GET     585.727       62.500
GET     618.495       65.000
GET     647.167       67.500
GET     679.935       70.000
GET     708.607       72.500
GET     737.279       75.000
GET     749.567       76.250
GET     765.951       77.500
GET     778.239       78.750
GET     794.623       80.000
GET     811.007       81.250
GET     823.295       82.500
GET     839.679       83.750
GET     851.967       85.000
GET     864.255       86.250
GET     880.639       87.500
GET     888.831       88.125
GET     897.023       88.750
GET     905.215       89.375
GET     909.311       90.000
GET     917.503       90.625
GET     925.695       91.250
GET     933.887       91.875
GET     942.079       92.500
GET     950.271       93.125
GET     958.463       93.750
GET     962.559       94.062
GET     966.655       94.375
GET     970.751       94.688
GET     974.847       95.000
GET     978.943       95.312
GET     983.039       95.625
GET     987.135       95.938
GET     991.231       96.250
GET     999.423       96.562
GET    1003.519       96.875
GET    1003.519       97.031
GET    1007.615       97.188
GET    1011.711       97.344
GET    1011.711       97.500
GET    1015.807       97.656
GET    1015.807       97.812
GET    1019.903       97.969
GET    1019.903       98.125
GET    1023.999       98.281
GET    1028.095       98.438
GET    1028.095       98.516
GET    1028.095       98.594
GET    1032.191       98.672
GET    1032.191       98.750
GET    1032.191       98.828
GET    1032.191       98.906
GET    1036.287       98.984
GET    1036.287       99.062
GET    1036.287       99.141
GET    1040.383       99.219
GET    1040.383       99.258
GET    1040.383       99.297
GET    1040.383       99.336
GET    1040.383       99.375
GET    1040.383       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1048.575       99.727
GET    1048.575      100.000
---
WAIT      0.000      100.000
