20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets        70644.47     70644.47         0.00       335.69039       246.78300      1023.99900      1048.57500      5731.19 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      70644.47     70644.47         0.00       335.69039       246.78300      1023.99900      1048.57500      5731.19 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       7.135        0.000
GET      41.727        5.000
GET      73.727       10.000
GET      99.839       15.000
GET     111.103       20.000
GET     139.263       25.000
GET     161.791       30.000
GET     184.319       35.000
GET     202.751       40.000
GET     220.159       45.000
GET     246.783       50.000
GET     259.071       52.500
GET     272.383       55.000
GET     288.767       57.500
GET     305.151       60.000
GET     327.679       62.500
GET     344.063       65.000
GET     366.591       67.500
GET     382.975       70.000
GET     411.647       72.500
GET     458.751       75.000
GET     483.327       76.250
GET     511.999       77.500
GET     540.671       78.750
GET     565.247       80.000
GET     593.919       81.250
GET     618.495       82.500
GET     647.167       83.750
GET     679.935       85.000
GET     708.607       86.250
GET     737.279       87.500
GET     753.663       88.125
GET     770.047       88.750
GET     782.335       89.375
GET     798.719       90.000
GET     815.103       90.625
GET     827.391       91.250
GET     843.775       91.875
GET     860.159       92.500
GET     876.543       93.125
GET     888.831       93.750
GET     901.119       94.062
GET     909.311       94.375
GET     913.407       94.688
GET     921.599       95.000
GET     925.695       95.312
GET     937.983       95.625
GET     942.079       95.938
GET     950.271       96.250
GET     958.463       96.562
GET     966.655       96.875
GET     970.751       97.031
GET     978.943       97.188
GET     983.039       97.344
GET     983.039       97.500
GET     991.231       97.656
GET     995.327       97.812
GET     999.423       97.969
GET     999.423       98.125
GET    1003.519       98.281
GET    1007.615       98.438
GET    1011.711       98.516
GET    1015.807       98.594
GET    1015.807       98.672
GET    1015.807       98.750
GET    1019.903       98.828
GET    1023.999       98.906
GET    1023.999       98.984
GET    1028.095       99.062
GET    1028.095       99.141
GET    1028.095       99.219
GET    1032.191       99.258
GET    1032.191       99.297
GET    1032.191       99.336
GET    1036.287       99.375
GET    1036.287       99.414
GET    1036.287       99.453
GET    1036.287       99.492
GET    1036.287       99.531
GET    1040.383       99.570
GET    1040.383       99.609
GET    1040.383       99.629
GET    1040.383       99.648
GET    1040.383       99.668
GET    1040.383       99.688
GET    1040.383       99.707
GET    1044.479       99.727
GET    1044.479       99.746
GET    1044.479       99.766
GET    1044.479       99.785
GET    1044.479       99.805
GET    1048.575       99.814
GET    1048.575      100.000
---
WAIT      0.000      100.000
