20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets        52081.97     27086.30     24995.67       332.95342       234.49500      1028.09500      1048.57500      2881.86 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      52081.97     27086.30     24995.67       332.95342       234.49500      1028.09500      1048.57500      2881.86 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       7.423        0.000
GET      62.207        5.000
GET      77.311       10.000
GET      98.303       15.000
GET     117.759       20.000
GET     129.023       25.000
GET     150.527       30.000
GET     166.911       35.000
GET     181.247       40.000
GET     206.847       45.000
GET     234.495       50.000
GET     243.711       52.500
GET     257.023       55.000
GET     272.383       57.500
GET     280.575       60.000
GET     294.911       62.500
GET     313.343       65.000
GET     327.679       67.500
GET     356.351       70.000
GET     407.551       72.500
GET     464.895       75.000
GET     497.663       76.250
GET     528.383       77.500
GET     561.151       78.750
GET     585.727       80.000
GET     618.495       81.250
GET     647.167       82.500
GET     675.839       83.750
GET     704.511       85.000
GET     737.279       86.250
GET     761.855       87.500
GET     782.335       88.125
GET     790.527       88.750
GET     806.911       89.375
GET     819.199       90.000
GET     835.583       90.625
GET     847.871       91.250
GET     864.255       91.875
GET     880.639       92.500
GET     892.927       93.125
GET     905.215       93.750
GET     917.503       94.062
GET     921.599       94.375
GET     929.791       94.688
GET     937.983       95.000
GET     942.079       95.312
GET     950.271       95.625
GET     958.463       95.938
GET     966.655       96.250
GET     974.847       96.562
GET     978.943       96.875
GET     983.039       97.031
GET     987.135       97.188
GET     991.231       97.344
GET     995.327       97.500
GET     999.423       97.656
GET     999.423       97.812
GET    1003.519       97.969
GET    1007.615       98.125
GET    1007.615       98.281
GET    1011.711       98.438
GET    1011.711       98.516
GET    1015.807       98.594
GET    1015.807       98.672
GET    1019.903       98.750
GET    1023.999       98.828
GET    1023.999       98.906
GET    1028.095       98.984
GET    1028.095       99.062
GET    1028.095       99.141
GET    1032.191       99.219
GET    1032.191       99.258
GET    1032.191       99.297
GET    1036.287       99.336
GET    1036.287       99.375
GET    1036.287       99.414
GET    1040.383       99.453
GET    1040.383       99.492
GET    1040.383       99.531
GET    1040.383       99.570
GET    1040.383       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1044.479       99.746
GET    1044.479       99.766
GET    1044.479       99.785
GET    1048.575       99.805
GET    1048.575      100.000
---
WAIT      0.000      100.000
