20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets        70401.97     69698.23       703.75       337.48225       252.92700      1028.09500      1048.57500      5674.72 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      70401.97     69698.23       703.75       337.48225       252.92700      1028.09500      1048.57500      5674.72 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       7.487        0.000
GET      49.919        5.000
GET      84.479       10.000
GET     102.911       15.000
GET     121.343       20.000
GET     145.407       25.000
GET     169.983       30.000
GET     189.439       35.000
GET     208.895       40.000
GET     231.423       45.000
GET     252.927       50.000
GET     264.191       52.500
GET     274.431       55.000
GET     284.671       57.500
GET     296.959       60.000
GET     313.343       62.500
GET     329.727       65.000
GET     354.303       67.500
GET     391.167       70.000
GET     425.983       72.500
GET     464.895       75.000
GET     487.423       76.250
GET     499.711       77.500
GET     514.047       78.750
GET     532.479       80.000
GET     561.151       81.250
GET     593.919       82.500
GET     630.783       83.750
GET     663.551       85.000
GET     696.319       86.250
GET     729.087       87.500
GET     745.471       88.125
GET     761.855       88.750
GET     778.239       89.375
GET     798.719       90.000
GET     815.103       90.625
GET     831.487       91.250
GET     847.871       91.875
GET     864.255       92.500
GET     880.639       93.125
GET     897.023       93.750
GET     905.215       94.062
GET     913.407       94.375
GET     921.599       94.688
GET     929.791       95.000
GET     937.983       95.312
GET     946.175       95.625
GET     954.367       95.938
GET     962.559       96.250
GET     970.751       96.562
GET     978.943       96.875
GET     983.039       97.031
GET     983.039       97.188
GET     987.135       97.344
GET     991.231       97.500
GET     995.327       97.656
GET     999.423       97.812
GET    1003.519       97.969
GET    1007.615       98.125
GET    1011.711       98.281
GET    1015.807       98.438
GET    1015.807       98.516
GET    1015.807       98.594
GET    1019.903       98.672
GET    1019.903       98.750
GET    1023.999       98.828
GET    1023.999       98.906
GET    1028.095       98.984
GET    1028.095       99.062
GET    1032.191       99.141
GET    1032.191       99.219
GET    1032.191       99.258
GET    1032.191       99.297
GET    1036.287       99.336
GET    1036.287       99.375
GET    1036.287       99.414
GET    1036.287       99.453
GET    1036.287       99.492
GET    1040.383       99.531
GET    1040.383       99.570
GET    1040.383       99.609
GET    1040.383       99.629
GET    1040.383       99.648
GET    1040.383       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1044.479       99.746
GET    1044.479       99.766
GET    1044.479       99.785
GET    1044.479       99.805
GET    1044.479       99.814
GET    1048.575       99.824
GET    1048.575      100.000
---
WAIT      0.000      100.000
