20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets        73001.22     21171.91     51829.31       365.35263       248.83100      1028.09500      1048.57500      3120.95 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      73001.22     21171.91     51829.31       365.35263       248.83100      1028.09500      1048.57500      3120.95 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       7.455        0.000
GET      75.775        5.000
GET     102.399       10.000
GET     131.071       15.000
GET     142.335       20.000
GET     163.839       25.000
GET     181.247       30.000
GET     192.511       35.000
GET     207.871       40.000
GET     227.327       45.000
GET     248.831       50.000
GET     259.071       52.500
GET     274.431       55.000
GET     292.863       57.500
GET     315.391       60.000
GET     350.207       62.500
GET     380.927       65.000
GET     415.743       67.500
GET     454.655       70.000
GET     497.663       72.500
GET     548.863       75.000
GET     573.439       76.250
GET     593.919       77.500
GET     614.399       78.750
GET     638.975       80.000
GET     667.647       81.250
GET     688.127       82.500
GET     708.607       83.750
GET     737.279       85.000
GET     757.759       86.250
GET     782.335       87.500
GET     790.527       88.125
GET     806.911       88.750
GET     819.199       89.375
GET     831.487       90.000
GET     843.775       90.625
GET     860.159       91.250
GET     872.447       91.875
GET     884.735       92.500
GET     897.023       93.125
GET     913.407       93.750
GET     921.599       94.062
GET     925.695       94.375
GET     933.887       94.688
GET     942.079       95.000
GET     950.271       95.312
GET     954.367       95.625
GET     958.463       95.938
GET     970.751       96.250
GET     978.943       96.562
GET     987.135       96.875
GET     991.231       97.031
GET     995.327       97.188
GET     995.327       97.344
GET     999.423       97.500
GET     999.423       97.656
GET    1003.519       97.812
GET    1007.615       97.969
GET    1007.615       98.125
GET    1011.711       98.281
GET    1015.807       98.438
GET    1015.807       98.516
GET    1019.903       98.594
GET    1019.903       98.672
GET    1023.999       98.750
GET    1023.999       98.828
GET    1023.999       98.906
GET    1028.095       98.984
GET    1028.095       99.062
GET    1032.191       99.141
GET    1032.191       99.219
GET    1036.287       99.258
GET    1036.287       99.297
GET    1036.287       99.336
GET    1036.287       99.375
GET    1040.383       99.414
GET    1040.383       99.453
GET    1040.383       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1048.575       99.746
GET    1048.575      100.000
---
WAIT      0.000      100.000
