20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets        69765.90     69765.90         0.00       330.52459       234.49500      1028.09500      1048.57500      5659.90 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      69765.90     69765.90         0.00       330.52459       234.49500      1028.09500      1048.57500      5659.90 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      12.415        0.000
GET      63.743        5.000
GET      83.455       10.000
GET     107.007       15.000
GET     130.047       20.000
GET     147.455       25.000
GET     161.791       30.000
GET     181.247       35.000
GET     194.559       40.000
GET     215.039       45.000
GET     234.495       50.000
GET     246.783       52.500
GET     260.095       55.000
GET     270.335       57.500
GET     280.575       60.000
GET     294.911       62.500
GET     309.247       65.000
GET     327.679       67.500
GET     346.111       70.000
GET     378.879       72.500
GET     428.031       75.000
GET     456.703       76.250
GET     487.423       77.500
GET     516.095       78.750
GET     548.863       80.000
GET     585.727       81.250
GET     614.399       82.500
GET     647.167       83.750
GET     679.935       85.000
GET     708.607       86.250
GET     737.279       87.500
GET     753.663       88.125
GET     770.047       88.750
GET     786.431       89.375
GET     798.719       90.000
GET     815.103       90.625
GET     831.487       91.250
GET     847.871       91.875
GET     864.255       92.500
GET     880.639       93.125
GET     892.927       93.750
GET     901.119       94.062
GET     909.311       94.375
GET     917.503       94.688
GET     929.791       95.000
GET     933.887       95.312
GET     942.079       95.625
GET     950.271       95.938
GET     958.463       96.250
GET     966.655       96.562
GET     974.847       96.875
GET     974.847       97.031
GET     978.943       97.188
GET     987.135       97.344
GET     987.135       97.500
GET     995.327       97.656
GET     995.327       97.812
GET    1003.519       97.969
GET    1007.615       98.125
GET    1011.711       98.281
GET    1015.807       98.438
GET    1015.807       98.516
GET    1015.807       98.594
GET    1019.903       98.672
GET    1019.903       98.750
GET    1023.999       98.828
GET    1023.999       98.906
GET    1028.095       98.984
GET    1028.095       99.062
GET    1028.095       99.141
GET    1032.191       99.219
GET    1032.191       99.258
GET    1032.191       99.297
GET    1032.191       99.336
GET    1036.287       99.375
GET    1036.287       99.414
GET    1036.287       99.453
GET    1036.287       99.492
GET    1036.287       99.531
GET    1040.383       99.570
GET    1040.383       99.609
GET    1040.383       99.629
GET    1040.383       99.648
GET    1040.383       99.668
GET    1040.383       99.688
GET    1040.383       99.707
GET    1040.383       99.727
GET    1044.479       99.746
GET    1044.479       99.766
GET    1044.479       99.785
GET    1044.479       99.805
GET    1044.479       99.814
GET    1044.479       99.824
GET    1044.479       99.834
GET    1048.575       99.844
GET    1048.575      100.000
---
WAIT      0.000      100.000
