20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets        70071.83     43445.71     26626.12       349.56219       268.28700      1028.09500      1048.57500      4257.78 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      70071.83     43445.71     26626.12       349.56219       268.28700      1028.09500      1048.57500      4257.78 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       7.007        0.000
GET      51.455        5.000
GET      74.751       10.000
GET      96.255       15.000
GET     118.271       20.000
GET     141.311       25.000
GET     166.911       30.000
GET     193.535       35.000
GET     212.991       40.000
GET     244.735       45.000
GET     268.287       50.000
GET     286.719       52.500
GET     303.103       55.000
GET     315.391       57.500
GET     331.775       60.000
GET     346.111       62.500
GET     366.591       65.000
GET     382.975       67.500
GET     407.551       70.000
GET     434.175       72.500
GET     481.279       75.000
GET     505.855       76.250
GET     536.575       77.500
GET     561.151       78.750
GET     589.823       80.000
GET     618.495       81.250
GET     643.071       82.500
GET     675.839       83.750
GET     700.415       85.000
GET     729.087       86.250
GET     753.663       87.500
GET     770.047       88.125
GET     782.335       88.750
GET     798.719       89.375
GET     815.103       90.000
GET     827.391       90.625
GET     843.775       91.250
GET     856.063       91.875
GET     868.351       92.500
GET     884.735       93.125
GET     901.119       93.750
GET     909.311       94.062
GET     917.503       94.375
GET     925.695       94.688
GET     933.887       95.000
GET     937.983       95.312
GET     946.175       95.625
GET     954.367       95.938
GET     958.463       96.250
GET     966.655       96.562
GET     978.943       96.875
GET     978.943       97.031
GET     983.039       97.188
GET     987.135       97.344
GET     987.135       97.500
GET     991.231       97.656
GET     995.327       97.812
GET     999.423       97.969
GET    1007.615       98.125
GET    1011.711       98.281
GET    1015.807       98.438
GET    1015.807       98.516
GET    1019.903       98.594
GET    1019.903       98.672
GET    1019.903       98.750
GET    1023.999       98.828
GET    1023.999       98.906
GET    1028.095       98.984
GET    1032.191       99.062
GET    1032.191       99.141
GET    1032.191       99.219
GET    1036.287       99.258
GET    1036.287       99.297
GET    1036.287       99.336
GET    1036.287       99.375
GET    1040.383       99.414
GET    1040.383       99.453
GET    1040.383       99.492
GET    1040.383       99.531
GET    1040.383       99.570
GET    1040.383       99.609
GET    1040.383       99.629
GET    1040.383       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1044.479       99.746
GET    1044.479       99.766
GET    1044.479       99.785
GET    1048.575       99.805
GET    1048.575      100.000
---
WAIT      0.000      100.000
