20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets        49276.23     43363.56      5912.67       348.73206       236.54300      1028.09500      1048.57500      3682.29 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      49276.23     43363.56      5912.67       348.73206       236.54300      1028.09500      1048.57500      3682.29 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       7.071        0.000
GET      69.631        5.000
GET      90.111       10.000
GET     113.663       15.000
GET     130.047       20.000
GET     156.671       25.000
GET     175.103       30.000
GET     189.439       35.000
GET     202.751       40.000
GET     222.207       45.000
GET     236.543       50.000
GET     246.783       52.500
GET     261.119       55.000
GET     280.575       57.500
GET     296.959       60.000
GET     319.487       62.500
GET     337.919       65.000
GET     374.783       67.500
GET     415.743       70.000
GET     454.655       72.500
GET     503.807       75.000
GET     528.383       76.250
GET     552.959       77.500
GET     581.631       78.750
GET     606.207       80.000
GET     630.783       81.250
GET     659.455       82.500
GET     684.031       83.750
GET     712.703       85.000
GET     733.183       86.250
GET     765.951       87.500
GET     778.239       88.125
GET     790.527       88.750
GET     802.815       89.375
GET     815.103       90.000
GET     831.487       90.625
GET     843.775       91.250
GET     856.063       91.875
GET     872.447       92.500
GET     884.735       93.125
GET     901.119       93.750
GET     905.215       94.062
GET     913.407       94.375
GET     921.599       94.688
GET     929.791       95.000
GET     933.887       95.312
GET     942.079       95.625
GET     950.271       95.938
GET     954.367       96.250
GET     966.655       96.562
GET     974.847       96.875
GET     978.943       97.031
GET     983.039       97.188
GET     983.039       97.344
GET     987.135       97.500
GET     991.231       97.656
GET     995.327       97.812
GET     999.423       97.969
GET    1003.519       98.125
GET    1007.615       98.281
GET    1007.615       98.438
GET    1011.711       98.516
GET    1011.711       98.594
GET    1015.807       98.672
GET    1019.903       98.750
GET    1023.999       98.828
GET    1028.095       98.906
GET    1028.095       98.984
GET    1032.191       99.062
GET    1032.191       99.141
GET    1036.287       99.219
GET    1036.287       99.258
GET    1036.287       99.297
GET    1036.287       99.336
GET    1036.287       99.375
GET    1040.383       99.414
GET    1040.383       99.453
GET    1040.383       99.492
GET    1040.383       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1048.575       99.746
GET    1048.575      100.000
---
WAIT      0.000      100.000
