20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets        76414.93     29036.13     47378.80       327.81457       239.61500      1019.90300      1048.57500      3642.84 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      76414.93     29036.13     47378.80       327.81457       239.61500      1019.90300      1048.57500      3642.84 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       7.487        0.000
GET      68.095        5.000
GET      92.159       10.000
GET     113.151       15.000
GET     134.143       20.000
GET     153.599       25.000
GET     175.103       30.000
GET     189.439       35.000
GET     204.799       40.000
GET     220.159       45.000
GET     239.615       50.000
GET     245.759       52.500
GET     257.023       55.000
GET     268.287       57.500
GET     282.623       60.000
GET     296.959       62.500
GET     317.439       65.000
GET     337.919       67.500
GET     356.351       70.000
GET     382.975       72.500
GET     415.743       75.000
GET     434.175       76.250
GET     464.895       77.500
GET     487.423       78.750
GET     516.095       80.000
GET     544.767       81.250
GET     573.439       82.500
GET     606.207       83.750
GET     638.975       85.000
GET     667.647       86.250
GET     704.511       87.500
GET     716.799       88.125
GET     733.183       88.750
GET     753.663       89.375
GET     770.047       90.000
GET     786.431       90.625
GET     802.815       91.250
GET     827.391       91.875
GET     839.679       92.500
GET     856.063       93.125
GET     872.447       93.750
GET     880.639       94.062
GET     888.831       94.375
GET     897.023       94.688
GET     905.215       95.000
GET     913.407       95.312
GET     921.599       95.625
GET     929.791       95.938
GET     937.983       96.250
GET     946.175       96.562
GET     954.367       96.875
GET     962.559       97.031
GET     962.559       97.188
GET     966.655       97.344
GET     970.751       97.500
GET     974.847       97.656
GET     978.943       97.812
GET     991.231       97.969
GET     995.327       98.125
GET     999.423       98.281
GET    1003.519       98.438
GET    1003.519       98.516
GET    1007.615       98.594
GET    1007.615       98.672
GET    1011.711       98.750
GET    1015.807       98.828
GET    1019.903       98.906
GET    1019.903       98.984
GET    1023.999       99.062
GET    1023.999       99.141
GET    1028.095       99.219
GET    1028.095       99.258
GET    1028.095       99.297
GET    1032.191       99.336
GET    1032.191       99.375
GET    1032.191       99.414
GET    1036.287       99.453
GET    1036.287       99.492
GET    1036.287       99.531
GET    1036.287       99.570
GET    1040.383       99.609
GET    1040.383       99.629
GET    1040.383       99.648
GET    1040.383       99.668
GET    1040.383       99.688
GET    1040.383       99.707
GET    1044.479       99.727
GET    1044.479       99.746
GET    1044.479       99.766
GET    1044.479       99.785
GET    1044.479       99.805
GET    1044.479       99.814
GET    1048.575       99.824
GET    1048.575      100.000
---
WAIT      0.000      100.000
