20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets        43945.58     43945.58         0.00       235.20356       107.00700      1011.71100      1048.57500      3565.16 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      43945.58     43945.58         0.00       235.20356       107.00700      1011.71100      1048.57500      3565.16 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       6.975        0.000
GET      42.751        5.000
GET      51.711       10.000
GET      64.255       15.000
GET      70.143       20.000
GET      76.287       25.000
GET      83.967       30.000
GET      88.575       35.000
GET      93.183       40.000
GET     100.863       45.000
GET     107.007       50.000
GET     110.079       52.500
GET     112.127       55.000
GET     115.711       57.500
GET     119.295       60.000
GET     123.391       62.500
GET     129.023       65.000
GET     139.263       67.500
GET     164.863       70.000
GET     210.943       72.500
GET     270.335       75.000
GET     307.199       76.250
GET     337.919       77.500
GET     378.879       78.750
GET     423.935       80.000
GET     460.799       81.250
GET     503.807       82.500
GET     544.767       83.750
GET     585.727       85.000
GET     614.399       86.250
GET     655.359       87.500
GET     675.839       88.125
GET     696.319       88.750
GET     716.799       89.375
GET     737.279       90.000
GET     761.855       90.625
GET     774.143       91.250
GET     790.527       91.875
GET     811.007       92.500
GET     827.391       93.125
GET     843.775       93.750
GET     851.967       94.062
GET     860.159       94.375
GET     868.351       94.688
GET     880.639       95.000
GET     888.831       95.312
GET     901.119       95.625
GET     909.311       95.938
GET     917.503       96.250
GET     929.791       96.562
GET     937.983       96.875
GET     942.079       97.031
GET     946.175       97.188
GET     950.271       97.344
GET     958.463       97.500
GET     962.559       97.656
GET     970.751       97.812
GET     974.847       97.969
GET     983.039       98.125
GET     991.231       98.281
GET     995.327       98.438
GET     995.327       98.516
GET     999.423       98.594
GET     999.423       98.672
GET    1003.519       98.750
GET    1007.615       98.828
GET    1007.615       98.906
GET    1011.711       98.984
GET    1015.807       99.062
GET    1015.807       99.141
GET    1019.903       99.219
GET    1019.903       99.258
GET    1019.903       99.297
GET    1023.999       99.336
GET    1023.999       99.375
GET    1028.095       99.414
GET    1028.095       99.453
GET    1032.191       99.492
GET    1032.191       99.531
GET    1032.191       99.570
GET    1036.287       99.609
GET    1036.287       99.629
GET    1036.287       99.648
GET    1036.287       99.668
GET    1036.287       99.688
GET    1040.383       99.707
GET    1040.383       99.727
GET    1040.383       99.746
GET    1044.479       99.766
GET    1044.479       99.785
GET    1044.479       99.805
GET    1044.479       99.814
GET    1044.479       99.824
GET    1044.479       99.834
GET    1044.479       99.844
GET    1044.479       99.854
GET    1044.479       99.863
GET    1044.479       99.873
GET    1044.479       99.883
GET    1048.575       99.893
GET    1048.575      100.000
---
WAIT      0.000      100.000
