20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets        40971.30     40971.30         0.00       402.90723       358.39900      1015.80700      1044.47900      3323.90 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      40971.30     40971.30         0.00       402.90723       358.39900      1015.80700      1044.47900      3323.90 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       7.167        0.000
GET      52.991        5.000
GET      77.311       10.000
GET      96.767       15.000
GET     121.855       20.000
GET     143.359       25.000
GET     169.983       30.000
GET     208.895       35.000
GET     254.975       40.000
GET     303.103       45.000
GET     358.399       50.000
GET     387.071       52.500
GET     411.647       55.000
GET     438.271       57.500
GET     464.895       60.000
GET     493.567       62.500
GET     524.287       65.000
GET     552.959       67.500
GET     581.631       70.000
GET     610.303       72.500
GET     638.975       75.000
GET     651.263       76.250
GET     663.551       77.500
GET     675.839       78.750
GET     688.127       80.000
GET     704.511       81.250
GET     716.799       82.500
GET     729.087       83.750
GET     745.471       85.000
GET     757.759       86.250
GET     774.143       87.500
GET     782.335       88.125
GET     790.527       88.750
GET     798.719       89.375
GET     806.911       90.000
GET     819.199       90.625
GET     831.487       91.250
GET     843.775       91.875
GET     856.063       92.500
GET     868.351       93.125
GET     884.735       93.750
GET     888.831       94.062
GET     897.023       94.375
GET     901.119       94.688
GET     909.311       95.000
GET     917.503       95.312
GET     921.599       95.625
GET     929.791       95.938
GET     937.983       96.250
GET     946.175       96.562
GET     954.367       96.875
GET     958.463       97.031
GET     962.559       97.188
GET     966.655       97.344
GET     970.751       97.500
GET     974.847       97.656
GET     978.943       97.812
GET     987.135       97.969
GET     991.231       98.125
GET     995.327       98.281
GET     999.423       98.438
GET     999.423       98.516
GET    1003.519       98.594
GET    1003.519       98.672
GET    1007.615       98.750
GET    1007.615       98.828
GET    1011.711       98.906
GET    1015.807       98.984
GET    1015.807       99.062
GET    1019.903       99.141
GET    1019.903       99.219
GET    1023.999       99.258
GET    1023.999       99.297
GET    1023.999       99.336
GET    1028.095       99.375
GET    1028.095       99.414
GET    1028.095       99.453
GET    1032.191       99.492
GET    1032.191       99.531
GET    1036.287       99.570
GET    1036.287       99.609
GET    1036.287       99.629
GET    1036.287       99.648
GET    1036.287       99.668
GET    1036.287       99.688
GET    1040.383       99.707
GET    1040.383       99.727
GET    1040.383       99.746
GET    1040.383       99.766
GET    1040.383       99.785
GET    1040.383       99.805
GET    1044.479       99.814
GET    1044.479       99.824
GET    1044.479       99.834
GET    1044.479       99.844
GET    1044.479       99.854
GET    1044.479       99.863
GET    1044.479       99.873
GET    1044.479       99.883
GET    1044.479       99.893
GET    1044.479       99.902
GET    1044.479       99.907
GET    1044.479       99.912
GET    1044.479       99.917
GET    1048.575       99.922
GET    1048.575      100.000
---
WAIT      0.000      100.000
