20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets        42384.79     42384.79         0.00       335.15332       253.95100      1007.61500      1044.47900      3438.54 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      42384.79     42384.79         0.00       335.15332       253.95100      1007.61500      1044.47900      3438.54 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       6.879        0.000
GET      39.679        5.000
GET      57.855       10.000
GET      72.703       15.000
GET      88.063       20.000
GET     102.911       25.000
GET     119.295       30.000
GET     146.431       35.000
GET     173.055       40.000
GET     211.967       45.000
GET     253.951       50.000
GET     278.527       52.500
GET     301.055       55.000
GET     327.679       57.500
GET     356.351       60.000
GET     382.975       62.500
GET     411.647       65.000
GET     440.319       67.500
GET     468.991       70.000
GET     497.663       72.500
GET     528.383       75.000
GET     544.767       76.250
GET     557.055       77.500
GET     573.439       78.750
GET     589.823       80.000
GET     606.207       81.250
GET     622.591       82.500
GET     643.071       83.750
GET     659.455       85.000
GET     675.839       86.250
GET     696.319       87.500
GET     704.511       88.125
GET     716.799       88.750
GET     729.087       89.375
GET     741.375       90.000
GET     757.759       90.625
GET     774.143       91.250
GET     794.623       91.875
GET     811.007       92.500
GET     831.487       93.125
GET     847.871       93.750
GET     856.063       94.062
GET     864.255       94.375
GET     872.447       94.688
GET     884.735       95.000
GET     892.927       95.312
GET     901.119       95.625
GET     909.311       95.938
GET     917.503       96.250
GET     925.695       96.562
GET     937.983       96.875
GET     942.079       97.031
GET     946.175       97.188
GET     954.367       97.344
GET     958.463       97.500
GET     962.559       97.656
GET     966.655       97.812
GET     970.751       97.969
GET     974.847       98.125
GET     983.039       98.281
GET     987.135       98.438
GET     987.135       98.516
GET     991.231       98.594
GET     995.327       98.672
GET     999.423       98.750
GET    1003.519       98.828
GET    1003.519       98.906
GET    1007.615       98.984
GET    1011.711       99.062
GET    1015.807       99.141
GET    1015.807       99.219
GET    1019.903       99.258
GET    1019.903       99.297
GET    1019.903       99.336
GET    1019.903       99.375
GET    1023.999       99.414
GET    1023.999       99.453
GET    1028.095       99.492
GET    1028.095       99.531
GET    1032.191       99.570
GET    1032.191       99.609
GET    1032.191       99.629
GET    1032.191       99.648
GET    1032.191       99.668
GET    1036.287       99.688
GET    1036.287       99.707
GET    1036.287       99.727
GET    1040.383       99.746
GET    1040.383       99.766
GET    1040.383       99.785
GET    1040.383       99.805
GET    1040.383       99.814
GET    1044.479       99.824
GET    1044.479       99.834
GET    1044.479       99.844
GET    1044.479       99.854
GET    1044.479       99.863
GET    1044.479       99.873
GET    1044.479       99.883
GET    1044.479       99.893
GET    1044.479       99.902
GET    1044.479       99.907
GET    1048.575       99.912
GET    1048.575      100.000
---
WAIT      0.000      100.000
