20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets        40869.91     40869.91         0.00       398.95777       309.24700      1023.99900      1048.57500      3315.67 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      40869.91     40869.91         0.00       398.95777       309.24700      1023.99900      1048.57500      3315.67 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       6.847        0.000
GET      47.359        5.000
GET      70.143       10.000
GET      92.159       15.000
GET     114.175       20.000
GET     133.119       25.000
GET     161.791       30.000
GET     193.535       35.000
GET     224.255       40.000
GET     264.191       45.000
GET     309.247       50.000
GET     342.015       52.500
GET     376.831       55.000
GET     415.743       57.500
GET     458.751       60.000
GET     497.663       62.500
GET     532.479       65.000
GET     565.247       67.500
GET     593.919       70.000
GET     626.687       72.500
GET     655.359       75.000
GET     671.743       76.250
GET     684.031       77.500
GET     696.319       78.750
GET     712.703       80.000
GET     724.991       81.250
GET     737.279       82.500
GET     753.663       83.750
GET     770.047       85.000
GET     786.431       86.250
GET     802.815       87.500
GET     806.911       88.125
GET     819.199       88.750
GET     827.391       89.375
GET     835.583       90.000
GET     843.775       90.625
GET     856.063       91.250
GET     864.255       91.875
GET     876.543       92.500
GET     884.735       93.125
GET     897.023       93.750
GET     901.119       94.062
GET     909.311       94.375
GET     917.503       94.688
GET     921.599       95.000
GET     929.791       95.312
GET     937.983       95.625
GET     946.175       95.938
GET     954.367       96.250
GET     962.559       96.562
GET     966.655       96.875
GET     974.847       97.031
GET     978.943       97.188
GET     983.039       97.344
GET     987.135       97.500
GET     987.135       97.656
GET     991.231       97.812
GET     995.327       97.969
GET     999.423       98.125
GET    1003.519       98.281
GET    1007.615       98.438
GET    1007.615       98.516
GET    1011.711       98.594
GET    1015.807       98.672
GET    1015.807       98.750
GET    1015.807       98.828
GET    1019.903       98.906
GET    1019.903       98.984
GET    1023.999       99.062
GET    1028.095       99.141
GET    1028.095       99.219
GET    1032.191       99.258
GET    1032.191       99.297
GET    1032.191       99.336
GET    1032.191       99.375
GET    1036.287       99.414
GET    1036.287       99.453
GET    1036.287       99.492
GET    1040.383       99.531
GET    1040.383       99.570
GET    1040.383       99.609
GET    1040.383       99.629
GET    1040.383       99.648
GET    1040.383       99.668
GET    1040.383       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1044.479       99.746
GET    1044.479       99.766
GET    1044.479       99.785
GET    1044.479       99.805
GET    1044.479       99.814
GET    1044.479       99.824
GET    1044.479       99.834
GET    1044.479       99.844
GET    1048.575       99.854
GET    1048.575      100.000
---
WAIT      0.000      100.000
