20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets        41161.72     41161.72         0.00       282.01095       145.40700      1019.90300      1044.47900      3339.33 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      41161.72     41161.72         0.00       282.01095       145.40700      1019.90300      1044.47900      3339.33 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       6.975        0.000
GET      42.239        5.000
GET      54.783       10.000
GET      68.095       15.000
GET      83.455       20.000
GET      96.767       25.000
GET     105.471       30.000
GET     114.175       35.000
GET     122.879       40.000
GET     134.143       45.000
GET     145.407       50.000
GET     153.599       52.500
GET     165.887       55.000
GET     185.343       57.500
GET     198.655       60.000
GET     214.015       62.500
GET     238.591       65.000
GET     268.287       67.500
GET     315.391       70.000
GET     362.495       72.500
GET     409.599       75.000
GET     432.127       76.250
GET     456.703       77.500
GET     483.327       78.750
GET     505.855       80.000
GET     532.479       81.250
GET     557.055       82.500
GET     589.823       83.750
GET     626.687       85.000
GET     667.647       86.250
GET     712.703       87.500
GET     733.183       88.125
GET     749.567       88.750
GET     770.047       89.375
GET     790.527       90.000
GET     806.911       90.625
GET     823.295       91.250
GET     839.679       91.875
GET     856.063       92.500
GET     868.351       93.125
GET     884.735       93.750
GET     892.927       94.062
GET     901.119       94.375
GET     909.311       94.688
GET     917.503       95.000
GET     925.695       95.312
GET     933.887       95.625
GET     942.079       95.938
GET     954.367       96.250
GET     962.559       96.562
GET     966.655       96.875
GET     970.751       97.031
GET     974.847       97.188
GET     978.943       97.344
GET     983.039       97.500
GET     987.135       97.656
GET     991.231       97.812
GET     995.327       97.969
GET     999.423       98.125
GET    1003.519       98.281
GET    1007.615       98.438
GET    1007.615       98.516
GET    1011.711       98.594
GET    1011.711       98.672
GET    1015.807       98.750
GET    1015.807       98.828
GET    1019.903       98.906
GET    1019.903       98.984
GET    1023.999       99.062
GET    1023.999       99.141
GET    1028.095       99.219
GET    1028.095       99.258
GET    1028.095       99.297
GET    1028.095       99.336
GET    1032.191       99.375
GET    1032.191       99.414
GET    1032.191       99.453
GET    1036.287       99.492
GET    1036.287       99.531
GET    1036.287       99.570
GET    1036.287       99.609
GET    1036.287       99.629
GET    1040.383       99.648
GET    1040.383       99.668
GET    1040.383       99.688
GET    1040.383       99.707
GET    1040.383       99.727
GET    1040.383       99.746
GET    1040.383       99.766
GET    1040.383       99.785
GET    1044.479       99.805
GET    1044.479       99.814
GET    1044.479       99.824
GET    1044.479       99.834
GET    1044.479       99.844
GET    1044.479       99.854
GET    1044.479       99.863
GET    1044.479       99.873
GET    1044.479       99.883
GET    1044.479       99.893
GET    1044.479       99.902
GET    1044.479       99.907
GET    1044.479       99.912
GET    1044.479       99.917
GET    1048.575       99.922
GET    1048.575      100.000
---
WAIT      0.000      100.000
