20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       408060.43    408060.43         0.00       476.99020       460.79900      1036.28700      1048.57500     33104.72 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     408060.43    408060.43         0.00       476.99020       460.79900      1036.28700      1048.57500     33104.72 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       6.975        0.000
GET      50.175        5.000
GET      69.631       10.000
GET      93.183       15.000
GET     136.191       20.000
GET     182.271       25.000
GET     231.423       30.000
GET     284.671       35.000
GET     339.967       40.000
GET     401.407       45.000
GET     460.799       50.000
GET     491.519       52.500
GET     522.239       55.000
GET     552.959       57.500
GET     581.631       60.000
GET     610.303       62.500
GET     643.071       65.000
GET     671.743       67.500
GET     700.415       70.000
GET     724.991       72.500
GET     757.759       75.000
GET     770.047       76.250
GET     782.335       77.500
GET     798.719       78.750
GET     811.007       80.000
GET     823.295       81.250
GET     839.679       82.500
GET     851.967       83.750
GET     864.255       85.000
GET     880.639       86.250
GET     892.927       87.500
GET     901.119       88.125
GET     909.311       88.750
GET     917.503       89.375
GET     921.599       90.000
GET     929.791       90.625
GET     937.983       91.250
GET     946.175       91.875
GET     950.271       92.500
GET     958.463       93.125
GET     966.655       93.750
GET     970.751       94.062
GET     974.847       94.375
GET     978.943       94.688
GET     983.039       95.000
GET     987.135       95.312
GET     991.231       95.625
GET     995.327       95.938
GET     999.423       96.250
GET    1003.519       96.562
GET    1007.615       96.875
GET    1011.711       97.031
GET    1011.711       97.188
GET    1015.807       97.344
GET    1015.807       97.500
GET    1019.903       97.656
GET    1019.903       97.812
GET    1023.999       97.969
GET    1023.999       98.125
GET    1028.095       98.281
GET    1028.095       98.438
GET    1032.191       98.516
GET    1032.191       98.594
GET    1032.191       98.672
GET    1032.191       98.750
GET    1036.287       98.828
GET    1036.287       98.906
GET    1036.287       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1040.383       99.219
GET    1040.383       99.258
GET    1040.383       99.297
GET    1040.383       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1048.575       99.688
GET    1048.575      100.000
---
WAIT      0.000      100.000
