20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       423905.90    423905.90         0.00       514.25542       514.04700      1036.28700      1048.57500     34390.23 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     423905.90    423905.90         0.00       514.25542       514.04700      1036.28700      1048.57500     34390.23 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       6.943        0.000
GET      60.927        5.000
GET      94.207       10.000
GET     148.479       15.000
GET     201.727       20.000
GET     253.951       25.000
GET     307.199       30.000
GET     358.399       35.000
GET     411.647       40.000
GET     462.847       45.000
GET     514.047       50.000
GET     540.671       52.500
GET     569.343       55.000
GET     593.919       57.500
GET     618.495       60.000
GET     643.071       62.500
GET     667.647       65.000
GET     696.319       67.500
GET     720.895       70.000
GET     745.471       72.500
GET     770.047       75.000
GET     782.335       76.250
GET     798.719       77.500
GET     811.007       78.750
GET     823.295       80.000
GET     835.583       81.250
GET     851.967       82.500
GET     864.255       83.750
GET     876.543       85.000
GET     888.831       86.250
GET     905.215       87.500
GET     909.311       88.125
GET     917.503       88.750
GET     925.695       89.375
GET     929.791       90.000
GET     937.983       90.625
GET     946.175       91.250
GET     954.367       91.875
GET     958.463       92.500
GET     966.655       93.125
GET     974.847       93.750
GET     978.943       94.062
GET     983.039       94.375
GET     987.135       94.688
GET     987.135       95.000
GET     991.231       95.312
GET     995.327       95.625
GET     999.423       95.938
GET    1003.519       96.250
GET    1007.615       96.562
GET    1011.711       96.875
GET    1015.807       97.031
GET    1015.807       97.188
GET    1015.807       97.344
GET    1019.903       97.500
GET    1019.903       97.656
GET    1023.999       97.812
GET    1023.999       97.969
GET    1028.095       98.125
GET    1028.095       98.281
GET    1032.191       98.438
GET    1032.191       98.516
GET    1032.191       98.594
GET    1032.191       98.672
GET    1032.191       98.750
GET    1036.287       98.828
GET    1036.287       98.906
GET    1036.287       98.984
GET    1036.287       99.062
GET    1040.383       99.141
GET    1040.383       99.219
GET    1040.383       99.258
GET    1040.383       99.297
GET    1040.383       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1048.575       99.707
GET    1048.575      100.000
---
WAIT      0.000      100.000
