100       Threads
5         Connections per thread
100000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        34090.24          ---          ---        14.61945        14.33500        20.99100        33.27900     36816.15 
Gets            0.00         0.00         0.00             ---             ---             ---             ---         0.00 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      34090.24         0.00         0.00        14.61945        14.33500        20.99100        33.27900     36816.15 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.055        0.000
SET      12.479        5.000
SET      12.799       10.000
SET      13.055       15.000
SET      13.247       20.000
SET      13.439       25.000
SET      13.631       30.000
SET      13.823       35.000
SET      13.951       40.000
SET      14.143       45.000
SET      14.335       50.000
SET      14.399       52.500
SET      14.527       55.000
SET      14.655       57.500
SET      14.719       60.000
SET      14.847       62.500
SET      14.911       65.000
SET      14.975       67.500
SET      15.103       70.000
SET      15.231       72.500
SET      15.359       75.000
SET      15.423       76.250
SET      15.487       77.500
SET      15.551       78.750
SET      15.679       80.000
SET      15.807       81.250
SET      15.935       82.500
SET      16.063       83.750
SET      16.255       85.000
SET      16.511       86.250
SET      16.639       87.500
SET      16.639       88.125
SET      16.767       88.750
SET      16.767       89.375
SET      16.895       90.000
SET      17.023       90.625
SET      17.023       91.250
SET      17.151       91.875
SET      17.279       92.500
SET      17.407       93.125
SET      17.535       93.750
SET      17.535       94.062
SET      17.663       94.375
SET      17.663       94.688
SET      17.791       95.000
SET      17.791       95.312
SET      17.919       95.625
SET      17.919       95.938
SET      18.047       96.250
SET      18.175       96.562
SET      18.303       96.875
SET      18.431       97.031
SET      18.559       97.188
SET      18.559       97.344
SET      18.687       97.500
SET      18.815       97.656
SET      18.815       97.812
SET      18.943       97.969
SET      19.071       98.125
SET      19.199       98.281
SET      19.327       98.438
SET      19.455       98.516
SET      19.583       98.594
SET      19.711       98.672
SET      19.967       98.750
SET      20.095       98.828
SET      20.351       98.906
SET      20.863       98.984
SET      21.887       99.062
SET      23.935       99.141
SET      25.471       99.219
SET      25.855       99.258
SET      26.239       99.297
SET      26.495       99.336
SET      26.879       99.375
SET      27.263       99.414
SET      27.647       99.453
SET      27.903       99.492
SET      28.287       99.531
SET      28.671       99.570
SET      28.927       99.609
