100       Threads
5         Connections per thread
200000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---        14.53993        14.01500        23.55100        33.79100         0.00 
Gets            0.00         0.00         0.00             ---             ---             ---             ---         0.00 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals          0.00         0.00         0.00        14.53993        14.01500        23.55100        33.79100         0.00 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.039        0.000
SET      11.967        5.000
SET      12.223       10.000
SET      12.415       15.000
SET      12.607       20.000
SET      12.799       25.000
SET      13.055       30.000
SET      13.311       35.000
SET      13.567       40.000
SET      13.759       45.000
SET      14.015       50.000
SET      14.143       52.500
SET      14.335       55.000
SET      14.527       57.500
SET      14.655       60.000
SET      14.783       62.500
SET      14.975       65.000
SET      15.103       67.500
SET      15.295       70.000
SET      15.551       72.500
SET      15.679       75.000
SET      15.807       76.250
SET      15.871       77.500
SET      15.935       78.750
SET      15.999       80.000
SET      16.127       81.250
SET      16.191       82.500
SET      16.255       83.750
SET      16.383       85.000
SET      16.511       86.250
SET      16.767       87.500
SET      16.895       88.125
SET      17.023       88.750
SET      17.279       89.375
SET      17.407       90.000
SET      17.663       90.625
SET      17.919       91.250
SET      18.175       91.875
SET      18.431       92.500
SET      18.559       93.125
SET      18.815       93.750
SET      18.943       94.062
SET      18.943       94.375
SET      19.071       94.688
SET      19.199       95.000
SET      19.327       95.312
SET      19.327       95.625
SET      19.455       95.938
SET      19.583       96.250
SET      19.711       96.562
SET      19.839       96.875
SET      19.967       97.031
SET      19.967       97.188
SET      20.223       97.344
SET      20.351       97.500
SET      20.479       97.656
SET      20.735       97.812
SET      20.863       97.969
SET      20.991       98.125
SET      21.247       98.281
SET      21.375       98.438
SET      21.503       98.516
SET      21.631       98.594
SET      21.759       98.672
SET      22.015       98.750
SET      22.271       98.828
SET      22.783       98.906
SET      23.423       98.984
SET      23.935       99.062
SET      24.575       99.141
SET      24.959       99.219
SET      25.215       99.258
SET      25.599       99.297
SET      25.855       99.336
SET      26.239       99.375
SET      26.623       99.414
SET      26.879       99.453
SET      27.391       99.492
SET      27.647       99.531
SET      28.159       99.570
SET      28.799       99.609
SET      29.183       99.629
SET      29.439       99.648
SET      29.695       99.668
SET      29.951       99.688
SET      30.207       99.707
SET      30.463       99.727
SET      30.719       99.746
SET      30.975       99.766
SET      31.359       99.785
SET      31.615       99.805
SET      31.743       99.814
SET      31.871       99.824
SET      32.127       99.834
SET      32.255       99.844
SET      32.511       99.854
SET      32.639       99.863
SET      33.023       99.873
SET      33.279       99.883
SET      33.535       99.893
SET      34.047       99.902
SET      34.047       99.907
SET      34.303       99.912
SET      34.559       99.917
SET      34.815       99.922
SET      35.327       99.927
SET      35.839       99.932
SET      36.351       99.937
SET      36.863       99.941
SET      37.375       99.946
SET      37.887       99.951
SET      38.143       99.954
SET      38.399       99.956
SET      38.399       99.958
SET      38.655       99.961
SET      38.911       99.963
SET      39.167       99.966
SET      39.167       99.968
SET      39.423       99.971
SET      39.679       99.973
SET      39.935       99.976
SET      40.191       99.977
SET      40.447       99.978
SET      40.447       99.979
SET      40.703       99.980
SET      40.959       99.982
SET      41.215       99.983
SET      41.471       99.984
SET      41.471       99.985
SET      41.727       99.987
SET      42.239       99.988
SET      42.495       99.988
SET      42.495       99.989
SET      42.751       99.990
SET      43.007       99.990
SET      43.519       99.991
SET      43.775       99.991
SET      44.031       99.992
SET      44.287       99.993
SET      45.055       99.993
SET      45.567       99.994
SET      45.823       99.994
SET      45.823       99.995
SET      46.079       99.995
SET      46.079       99.995
SET      46.079       99.995
SET      46.079       99.996
SET      46.335       99.996
SET      46.335       99.996
SET      46.335       99.997
SET      46.591       99.997
SET      46.591       99.997
SET      46.591       99.997
SET      46.591       99.997
SET      46.847       99.998
SET      46.847       99.998
SET      47.359       99.998
SET      47.871       99.998
SET      48.639       99.998
SET      49.407       99.998
SET      50.431       99.998
SET      51.455       99.999
SET      52.991       99.999
SET      54.783       99.999
SET      56.063       99.999
SET      61.951       99.999
SET      64.767       99.999
SET      66.559       99.999
SET      70.655       99.999
SET      74.751       99.999
SET      83.455       99.999
SET      85.503       99.999
SET      88.575       99.999
SET      90.623       99.999
SET      92.671       99.999
SET      93.183       99.999
SET      93.183       99.999
SET      93.183      100.000
SET      93.183      100.000
SET      93.183      100.000
SET      93.183      100.000
SET      93.183      100.000
SET      93.183      100.000
SET      93.183      100.000
SET      93.695      100.000
SET      93.695      100.000
SET      93.695      100.000
SET      93.695      100.000
SET      93.695      100.000
SET      93.695      100.000
SET      93.695      100.000
SET      93.695      100.000
SET      93.695      100.000
SET      93.695      100.000
SET      93.695      100.000
SET      93.695      100.000
SET      93.695      100.000
SET      93.695      100.000
SET     104.959      100.000
SET     602.111      100.000
SET     606.207      100.000
SET     720.895      100.000
SET     724.991      100.000
SET     724.991      100.000
SET     724.991      100.000
SET     724.991      100.000
SET     724.991      100.000
SET     724.991      100.000
SET     724.991      100.000
SET     729.087      100.000
SET     729.087      100.000
SET     729.087      100.000
SET     729.087      100.000
SET     733.183      100.000
SET     733.183      100.000
SET     733.183      100.000
SET     733.183      100.000
SET     733.183      100.000
SET     737.279      100.000
SET     765.951      100.000
SET     806.911      100.000
SET     806.911      100.000
SET     913.407      100.000
SET     913.407      100.000
SET     995.327      100.000
SET     995.327      100.000
SET     999.423      100.000
SET    1007.615      100.000
SET    1007.615      100.000
SET    1011.711      100.000
SET    1011.711      100.000
SET    1011.711      100.000
SET    1011.711      100.000
SET    1011.711      100.000
SET    1036.287      100.000
SET    1036.287      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1040.383      100.000
SET    1044.479      100.000
SET    1044.479      100.000
---
GET       0.000      100.000
---
WAIT      0.000      100.000
