20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       398355.06    398355.06         0.00       540.00185       536.57500      1040.38300      1048.57500     26273.17 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     398355.06    398355.06         0.00       540.00185       536.57500      1040.38300      1048.57500     26273.17 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      22.015        0.000
GET      78.847        5.000
GET     136.191       10.000
GET     190.463       15.000
GET     240.639       20.000
GET     296.959       25.000
GET     333.823       30.000
GET     401.407       35.000
GET     432.127       40.000
GET     495.615       45.000
GET     536.575       50.000
GET     561.151       52.500
GET     598.015       55.000
GET     626.687       57.500
GET     643.071       60.000
GET     655.359       62.500
GET     692.223       65.000
GET     724.991       67.500
GET     745.471       70.000
GET     761.855       72.500
GET     790.527       75.000
GET     811.007       76.250
GET     823.295       77.500
GET     839.679       78.750
GET     851.967       80.000
GET     856.063       81.250
GET     868.351       82.500
GET     872.447       83.750
GET     884.735       85.000
GET     905.215       86.250
GET     925.695       87.500
GET     929.791       88.125
GET     937.983       88.750
GET     946.175       89.375
GET     954.367       90.000
GET     958.463       90.625
GET     962.559       91.250
GET     966.655       91.875
GET     970.751       92.500
GET     974.847       93.125
GET     978.943       93.750
GET     978.943       94.062
GET     983.039       94.375
GET     983.039       94.688
GET     987.135       95.000
GET     987.135       95.312
GET     987.135       95.625
GET     995.327       95.938
GET     999.423       96.250
GET    1003.519       96.562
GET    1011.711       96.875
GET    1011.711       97.031
GET    1015.807       97.188
GET    1019.903       97.344
GET    1019.903       97.500
GET    1019.903       97.656
GET    1028.095       97.812
GET    1028.095       97.969
GET    1028.095       98.125
GET    1028.095       98.281
GET    1036.287       98.438
GET    1036.287       98.516
GET    1036.287       98.594
GET    1036.287       98.672
GET    1040.383       98.750
GET    1040.383       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1040.383       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1048.575       99.688
GET    1048.575      100.000
---
WAIT      0.000      100.000
