20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       408259.07    408259.07         0.00       540.83962       552.95900      1036.28700      1048.57500     26926.39 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     408259.07    408259.07         0.00       540.83962       552.95900      1036.28700      1048.57500     26926.39 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      21.119        0.000
GET      76.799        5.000
GET     126.463       10.000
GET     195.583       15.000
GET     235.519       20.000
GET     294.911       25.000
GET     342.015       30.000
GET     389.119       35.000
GET     448.511       40.000
GET     487.423       45.000
GET     552.959       50.000
GET     565.247       52.500
GET     585.727       55.000
GET     622.591       57.500
GET     655.359       60.000
GET     671.743       62.500
GET     679.935       65.000
GET     720.895       67.500
GET     757.759       70.000
GET     774.143       72.500
GET     782.335       75.000
GET     798.719       76.250
GET     815.103       77.500
GET     839.679       78.750
GET     851.967       80.000
GET     868.351       81.250
GET     880.639       82.500
GET     884.735       83.750
GET     888.831       85.000
GET     897.023       86.250
GET     917.503       87.500
GET     921.599       88.125
GET     933.887       88.750
GET     946.175       89.375
GET     954.367       90.000
GET     958.463       90.625
GET     970.751       91.250
GET     974.847       91.875
GET     983.039       92.500
GET     987.135       93.125
GET     991.231       93.750
GET     991.231       94.062
GET     995.327       94.375
GET     995.327       94.688
GET     995.327       95.000
GET     995.327       95.312
GET     999.423       95.625
GET     999.423       95.938
GET     999.423       96.250
GET    1003.519       96.562
GET    1003.519       96.875
GET    1003.519       97.031
GET    1007.615       97.188
GET    1007.615       97.344
GET    1011.711       97.500
GET    1015.807       97.656
GET    1019.903       97.812
GET    1023.999       97.969
GET    1023.999       98.125
GET    1028.095       98.281
GET    1028.095       98.438
GET    1028.095       98.516
GET    1028.095       98.594
GET    1032.191       98.672
GET    1032.191       98.750
GET    1032.191       98.828
GET    1032.191       98.906
GET    1036.287       98.984
GET    1036.287       99.062
GET    1036.287       99.141
GET    1036.287       99.219
GET    1036.287       99.258
GET    1040.383       99.297
GET    1040.383       99.336
GET    1040.383       99.375
GET    1040.383       99.414
GET    1040.383       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1048.575       99.707
GET    1048.575      100.000
---
WAIT      0.000      100.000
