20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       413975.22    413975.22         0.00       529.23102       540.67100      1032.19100      1048.57500     27303.38 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     413975.22    413975.22         0.00       529.23102       540.67100      1032.19100      1048.57500     27303.38 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      12.735        0.000
GET      66.047        5.000
GET     108.543       10.000
GET     166.911       15.000
GET     229.375       20.000
GET     270.335       25.000
GET     331.775       30.000
GET     370.687       35.000
GET     436.223       40.000
GET     464.895       45.000
GET     540.671       50.000
GET     557.055       52.500
GET     565.247       55.000
GET     610.303       57.500
GET     643.071       60.000
GET     663.551       62.500
GET     671.743       65.000
GET     708.607       67.500
GET     749.567       70.000
GET     770.047       72.500
GET     774.143       75.000
GET     790.527       76.250
GET     811.007       77.500
GET     827.391       78.750
GET     851.967       80.000
GET     864.255       81.250
GET     872.447       82.500
GET     876.543       83.750
GET     880.639       85.000
GET     888.831       86.250
GET     913.407       87.500
GET     921.599       88.125
GET     929.791       88.750
GET     937.983       89.375
GET     954.367       90.000
GET     962.559       90.625
GET     966.655       91.250
GET     970.751       91.875
GET     974.847       92.500
GET     983.039       93.125
GET     983.039       93.750
GET     983.039       94.062
GET     987.135       94.375
GET     987.135       94.688
GET     987.135       95.000
GET     987.135       95.312
GET     991.231       95.625
GET     991.231       95.938
GET     991.231       96.250
GET     995.327       96.562
GET     999.423       96.875
GET    1003.519       97.031
GET    1003.519       97.188
GET    1011.711       97.344
GET    1011.711       97.500
GET    1015.807       97.656
GET    1019.903       97.812
GET    1019.903       97.969
GET    1023.999       98.125
GET    1023.999       98.281
GET    1023.999       98.438
GET    1028.095       98.516
GET    1028.095       98.594
GET    1028.095       98.672
GET    1028.095       98.750
GET    1032.191       98.828
GET    1032.191       98.906
GET    1032.191       98.984
GET    1036.287       99.062
GET    1036.287       99.141
GET    1036.287       99.219
GET    1040.383       99.258
GET    1040.383       99.297
GET    1040.383       99.336
GET    1040.383       99.375
GET    1040.383       99.414
GET    1040.383       99.453
GET    1040.383       99.492
GET    1040.383       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1044.479       99.746
GET    1044.479       99.766
GET    1044.479       99.785
GET    1044.479       99.805
GET    1044.479       99.814
GET    1044.479       99.824
GET    1044.479       99.834
GET    1044.479       99.844
GET    1044.479       99.854
GET    1044.479       99.863
GET    1044.479       99.873
GET    1044.479       99.883
GET    1044.479       99.893
GET    1048.575       99.902
GET    1048.575      100.000
---
WAIT      0.000      100.000
