20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       418173.75    418173.75         0.00       546.68594       548.86300      1040.38300      1048.57500     27580.29 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     418173.75    418173.75         0.00       546.68594       548.86300      1040.38300      1048.57500     27580.29 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      28.031        0.000
GET      86.527        5.000
GET     144.383       10.000
GET     203.775       15.000
GET     240.639       20.000
GET     305.151       25.000
GET     346.111       30.000
GET     405.503       35.000
GET     448.511       40.000
GET     501.759       45.000
GET     548.863       50.000
GET     565.247       52.500
GET     602.111       55.000
GET     626.687       57.500
GET     647.167       60.000
GET     667.647       62.500
GET     700.415       65.000
GET     729.087       67.500
GET     749.567       70.000
GET     770.047       72.500
GET     798.719       75.000
GET     815.103       76.250
GET     827.391       77.500
GET     839.679       78.750
GET     851.967       80.000
GET     860.159       81.250
GET     868.351       82.500
GET     876.543       83.750
GET     897.023       85.000
GET     913.407       86.250
GET     925.695       87.500
GET     933.887       88.125
GET     942.079       88.750
GET     946.175       89.375
GET     954.367       90.000
GET     958.463       90.625
GET     962.559       91.250
GET     966.655       91.875
GET     970.751       92.500
GET     974.847       93.125
GET     978.943       93.750
GET     983.039       94.062
GET     983.039       94.375
GET     983.039       94.688
GET     987.135       95.000
GET     995.327       95.312
GET     999.423       95.625
GET    1003.519       95.938
GET    1011.711       96.250
GET    1015.807       96.562
GET    1015.807       96.875
GET    1019.903       97.031
GET    1019.903       97.188
GET    1023.999       97.344
GET    1023.999       97.500
GET    1028.095       97.656
GET    1028.095       97.812
GET    1028.095       97.969
GET    1032.191       98.125
GET    1032.191       98.281
GET    1032.191       98.438
GET    1036.287       98.516
GET    1036.287       98.594
GET    1040.383       98.672
GET    1040.383       98.750
GET    1040.383       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1044.479       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1048.575       99.453
GET    1048.575      100.000
---
WAIT      0.000      100.000
