20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       405150.61    405150.61         0.00       550.78281       561.15100      1044.47900      1048.57500     26721.37 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     405150.61    405150.61         0.00       550.78281       561.15100      1044.47900      1048.57500     26721.37 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      26.879        0.000
GET      97.279        5.000
GET     149.503       10.000
GET     215.039       15.000
GET     264.191       20.000
GET     294.911       25.000
GET     362.495       30.000
GET     397.311       35.000
GET     464.895       40.000
GET     503.807       45.000
GET     561.151       50.000
GET     585.727       52.500
GET     606.207       55.000
GET     622.591       57.500
GET     638.975       60.000
GET     684.031       62.500
GET     704.511       65.000
GET     724.991       67.500
GET     741.375       70.000
GET     770.047       72.500
GET     806.911       75.000
GET     819.199       76.250
GET     827.391       77.500
GET     835.583       78.750
GET     843.775       80.000
GET     851.967       81.250
GET     860.159       82.500
GET     876.543       83.750
GET     901.119       85.000
GET     917.503       86.250
GET     925.695       87.500
GET     933.887       88.125
GET     937.983       88.750
GET     942.079       89.375
GET     950.271       90.000
GET     954.367       90.625
GET     954.367       91.250
GET     962.559       91.875
GET     966.655       92.500
GET     966.655       93.125
GET     970.751       93.750
GET     974.847       94.062
GET     974.847       94.375
GET     978.943       94.688
GET     978.943       95.000
GET     983.039       95.312
GET     995.327       95.625
GET     999.423       95.938
GET    1011.711       96.250
GET    1015.807       96.562
GET    1019.903       96.875
GET    1019.903       97.031
GET    1023.999       97.188
GET    1028.095       97.344
GET    1028.095       97.500
GET    1032.191       97.656
GET    1032.191       97.812
GET    1032.191       97.969
GET    1036.287       98.125
GET    1036.287       98.281
GET    1036.287       98.438
GET    1040.383       98.516
GET    1040.383       98.594
GET    1040.383       98.672
GET    1040.383       98.750
GET    1040.383       98.828
GET    1040.383       98.906
GET    1044.479       98.984
GET    1044.479       99.062
GET    1044.479       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1048.575       99.570
GET    1048.575      100.000
---
WAIT      0.000      100.000
