20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       413144.06    413144.06         0.00       535.85545       548.86300      1036.28700      1048.57500     27248.59 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     413144.06    413144.06         0.00       535.85545       548.86300      1036.28700      1048.57500     27248.59 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      19.455        0.000
GET      75.775        5.000
GET     115.199       10.000
GET     185.343       15.000
GET     240.639       20.000
GET     282.623       25.000
GET     344.063       30.000
GET     376.831       35.000
GET     446.463       40.000
GET     471.039       45.000
GET     548.863       50.000
GET     565.247       52.500
GET     577.535       55.000
GET     618.495       57.500
GET     643.071       60.000
GET     671.743       62.500
GET     684.031       65.000
GET     712.703       67.500
GET     745.471       70.000
GET     774.143       72.500
GET     786.431       75.000
GET     790.527       76.250
GET     806.911       77.500
GET     835.583       78.750
GET     847.871       80.000
GET     860.159       81.250
GET     876.543       82.500
GET     888.831       83.750
GET     892.927       85.000
GET     897.023       86.250
GET     905.215       87.500
GET     913.407       88.125
GET     929.791       88.750
GET     942.079       89.375
GET     950.271       90.000
GET     954.367       90.625
GET     962.559       91.250
GET     970.751       91.875
GET     978.943       92.500
GET     987.135       93.125
GET     991.231       93.750
GET     991.231       94.062
GET     995.327       94.375
GET     995.327       94.688
GET     995.327       95.000
GET     999.423       95.312
GET     999.423       95.625
GET     999.423       95.938
GET     999.423       96.250
GET    1003.519       96.562
GET    1003.519       96.875
GET    1007.615       97.031
GET    1007.615       97.188
GET    1007.615       97.344
GET    1007.615       97.500
GET    1007.615       97.656
GET    1007.615       97.812
GET    1011.711       97.969
GET    1015.807       98.125
GET    1015.807       98.281
GET    1019.903       98.438
GET    1019.903       98.516
GET    1023.999       98.594
GET    1023.999       98.672
GET    1023.999       98.750
GET    1028.095       98.828
GET    1028.095       98.906
GET    1036.287       98.984
GET    1036.287       99.062
GET    1036.287       99.141
GET    1036.287       99.219
GET    1036.287       99.258
GET    1036.287       99.297
GET    1040.383       99.336
GET    1040.383       99.375
GET    1040.383       99.414
GET    1040.383       99.453
GET    1040.383       99.492
GET    1040.383       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1048.575       99.707
GET    1048.575      100.000
---
WAIT      0.000      100.000
