20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       467500.24    467500.24         0.00       534.67424       528.38300      1040.38300      1048.57500     30833.54 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     467500.24    467500.24         0.00       534.67424       528.38300      1040.38300      1048.57500     30833.54 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      17.279        0.000
GET      73.215        5.000
GET     122.879       10.000
GET     184.319       15.000
GET     224.255       20.000
GET     290.815       25.000
GET     323.583       30.000
GET     393.215       35.000
GET     421.887       40.000
GET     493.567       45.000
GET     528.383       50.000
GET     569.343       52.500
GET     593.919       55.000
GET     606.207       57.500
GET     638.975       60.000
GET     675.839       62.500
GET     692.223       65.000
GET     704.511       67.500
GET     741.375       70.000
GET     778.239       72.500
GET     790.527       75.000
GET     798.719       76.250
GET     811.007       77.500
GET     831.487       78.750
GET     847.871       80.000
GET     864.255       81.250
GET     876.543       82.500
GET     884.735       83.750
GET     888.831       85.000
GET     897.023       86.250
GET     917.503       87.500
GET     925.695       88.125
GET     929.791       88.750
GET     942.079       89.375
GET     954.367       90.000
GET     954.367       90.625
GET     962.559       91.250
GET     966.655       91.875
GET     970.751       92.500
GET     974.847       93.125
GET     974.847       93.750
GET     974.847       94.062
GET     978.943       94.375
GET     978.943       94.688
GET     978.943       95.000
GET     983.039       95.312
GET     983.039       95.625
GET     987.135       95.938
GET     987.135       96.250
GET     987.135       96.562
GET     991.231       96.875
GET     995.327       97.031
GET     999.423       97.188
GET    1011.711       97.344
GET    1019.903       97.500
GET    1023.999       97.656
GET    1028.095       97.812
GET    1032.191       97.969
GET    1032.191       98.125
GET    1032.191       98.281
GET    1036.287       98.438
GET    1036.287       98.516
GET    1036.287       98.594
GET    1040.383       98.672
GET    1040.383       98.750
GET    1040.383       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1044.479       99.062
GET    1044.479       99.141
GET    1044.479       99.219
GET    1048.575       99.258
GET    1048.575      100.000
---
WAIT      0.000      100.000
