20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       273451.48    273451.48         0.00       537.78919       532.47900      1036.28700      1048.57500     18035.27 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     273451.48    273451.48         0.00       537.78919       532.47900      1036.28700      1048.57500     18035.27 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      23.551        0.000
GET      73.215        5.000
GET     121.343       10.000
GET     179.199       15.000
GET     238.591       20.000
GET     288.767       25.000
GET     339.967       30.000
GET     395.263       35.000
GET     432.127       40.000
GET     499.711       45.000
GET     532.479       50.000
GET     565.247       52.500
GET     593.919       55.000
GET     622.591       57.500
GET     638.975       60.000
GET     655.359       62.500
GET     692.223       65.000
GET     729.087       67.500
GET     745.471       70.000
GET     757.759       72.500
GET     794.623       75.000
GET     806.911       76.250
GET     823.295       77.500
GET     839.679       78.750
GET     851.967       80.000
GET     856.063       81.250
GET     864.255       82.500
GET     872.447       83.750
GET     884.735       85.000
GET     905.215       86.250
GET     921.599       87.500
GET     929.791       88.125
GET     937.983       88.750
GET     946.175       89.375
GET     954.367       90.000
GET     962.559       90.625
GET     966.655       91.250
GET     966.655       91.875
GET     970.751       92.500
GET     974.847       93.125
GET     978.943       93.750
GET     978.943       94.062
GET     978.943       94.375
GET     983.039       94.688
GET     987.135       95.000
GET     987.135       95.312
GET     987.135       95.625
GET     991.231       95.938
GET     999.423       96.250
GET    1003.519       96.562
GET    1011.711       96.875
GET    1015.807       97.031
GET    1015.807       97.188
GET    1019.903       97.344
GET    1019.903       97.500
GET    1019.903       97.656
GET    1023.999       97.812
GET    1023.999       97.969
GET    1028.095       98.125
GET    1028.095       98.281
GET    1028.095       98.438
GET    1032.191       98.516
GET    1032.191       98.594
GET    1032.191       98.672
GET    1032.191       98.750
GET    1036.287       98.828
GET    1036.287       98.906
GET    1036.287       98.984
GET    1036.287       99.062
GET    1036.287       99.141
GET    1040.383       99.219
GET    1040.383       99.258
GET    1040.383       99.297
GET    1040.383       99.336
GET    1040.383       99.375
GET    1040.383       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1044.479       99.746
GET    1044.479       99.766
GET    1044.479       99.785
GET    1048.575       99.805
GET    1048.575      100.000
---
WAIT      0.000      100.000
