20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       466449.81    466449.81         0.00       531.22861       536.57500      1019.90300      1044.47900     30764.30 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     466449.81    466449.81         0.00       531.22861       536.57500      1019.90300      1044.47900     30764.30 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      16.127        0.000
GET      72.191        5.000
GET     122.879       10.000
GET     166.911       15.000
GET     237.567       20.000
GET     266.239       25.000
GET     339.967       30.000
GET     366.591       35.000
GET     438.271       40.000
GET     473.087       45.000
GET     536.575       50.000
GET     548.863       52.500
GET     581.631       55.000
GET     622.591       57.500
GET     634.879       60.000
GET     651.263       62.500
GET     692.223       65.000
GET     720.895       67.500
GET     733.183       70.000
GET     757.759       72.500
GET     802.815       75.000
GET     815.103       76.250
GET     819.199       77.500
GET     827.391       78.750
GET     835.583       80.000
GET     843.775       81.250
GET     864.255       82.500
GET     888.831       83.750
GET     905.215       85.000
GET     909.311       86.250
GET     917.503       87.500
GET     921.599       88.125
GET     925.695       88.750
GET     929.791       89.375
GET     929.791       90.000
GET     942.079       90.625
GET     950.271       91.250
GET     958.463       91.875
GET     970.751       92.500
GET     974.847       93.125
GET     983.039       93.750
GET     983.039       94.062
GET     991.231       94.375
GET     991.231       94.688
GET     991.231       95.000
GET     995.327       95.312
GET     999.423       95.625
GET     999.423       95.938
GET    1003.519       96.250
GET    1003.519       96.562
GET    1003.519       96.875
GET    1007.615       97.031
GET    1007.615       97.188
GET    1007.615       97.344
GET    1007.615       97.500
GET    1007.615       97.656
GET    1011.711       97.812
GET    1011.711       97.969
GET    1011.711       98.125
GET    1015.807       98.281
GET    1015.807       98.438
GET    1015.807       98.516
GET    1019.903       98.594
GET    1019.903       98.672
GET    1019.903       98.750
GET    1019.903       98.828
GET    1019.903       98.906
GET    1019.903       98.984
GET    1019.903       99.062
GET    1019.903       99.141
GET    1023.999       99.219
GET    1023.999       99.258
GET    1023.999       99.297
GET    1023.999       99.336
GET    1023.999       99.375
GET    1032.191       99.414
GET    1032.191       99.453
GET    1032.191       99.492
GET    1036.287       99.531
GET    1036.287       99.570
GET    1036.287       99.609
GET    1040.383       99.629
GET    1040.383       99.648
GET    1040.383       99.668
GET    1040.383       99.688
GET    1040.383       99.707
GET    1040.383       99.727
GET    1040.383       99.746
GET    1040.383       99.766
GET    1040.383       99.785
GET    1044.479       99.805
GET    1044.479       99.814
GET    1044.479       99.824
GET    1044.479       99.834
GET    1044.479       99.844
GET    1044.479       99.854
GET    1044.479       99.863
GET    1044.479       99.873
GET    1044.479       99.883
GET    1044.479       99.893
GET    1044.479       99.902
GET    1044.479       99.907
GET    1044.479       99.912
GET    1044.479       99.917
GET    1044.479       99.922
GET    1044.479       99.927
GET    1044.479       99.932
GET    1044.479       99.937
GET    1044.479       99.941
GET    1044.479       99.946
GET    1044.479       99.951
GET    1044.479       99.954
GET    1044.479       99.956
GET    1044.479       99.958
GET    1044.479       99.961
GET    1044.479       99.963
GET    1044.479       99.966
GET    1044.479       99.968
GET    1044.479       99.971
GET    1044.479       99.973
GET    1048.575       99.976
GET    1048.575      100.000
---
WAIT      0.000      100.000
