20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       414462.10    414462.10         0.00       539.64306       552.95900      1040.38300      1048.57500     27335.50 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     414462.10    414462.10         0.00       539.64306       552.95900      1040.38300      1048.57500     27335.50 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      17.407        0.000
GET      78.335        5.000
GET     126.463       10.000
GET     175.103       15.000
GET     241.663       20.000
GET     280.575       25.000
GET     346.111       30.000
GET     378.879       35.000
GET     448.511       40.000
GET     479.231       45.000
GET     552.959       50.000
GET     573.439       52.500
GET     585.727       55.000
GET     614.399       57.500
GET     651.263       60.000
GET     675.839       62.500
GET     688.127       65.000
GET     712.703       67.500
GET     757.759       70.000
GET     778.239       72.500
GET     794.623       75.000
GET     798.719       76.250
GET     815.103       77.500
GET     831.487       78.750
GET     851.967       80.000
GET     872.447       81.250
GET     884.735       82.500
GET     892.927       83.750
GET     901.119       85.000
GET     905.215       86.250
GET     917.503       87.500
GET     925.695       88.125
GET     933.887       88.750
GET     942.079       89.375
GET     946.175       90.000
GET     962.559       90.625
GET     974.847       91.250
GET     983.039       91.875
GET     987.135       92.500
GET     991.231       93.125
GET     999.423       93.750
GET     999.423       94.062
GET    1003.519       94.375
GET    1003.519       94.688
GET    1007.615       95.000
GET    1007.615       95.312
GET    1007.615       95.625
GET    1011.711       95.938
GET    1011.711       96.250
GET    1011.711       96.562
GET    1011.711       96.875
GET    1015.807       97.031
GET    1015.807       97.188
GET    1015.807       97.344
GET    1019.903       97.500
GET    1023.999       97.656
GET    1023.999       97.812
GET    1028.095       97.969
GET    1028.095       98.125
GET    1032.191       98.281
GET    1032.191       98.438
GET    1032.191       98.516
GET    1036.287       98.594
GET    1036.287       98.672
GET    1036.287       98.750
GET    1036.287       98.828
GET    1036.287       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1040.383       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1048.575       99.727
GET    1048.575      100.000
---
WAIT      0.000      100.000
