20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       235420.15    235420.15         0.00       530.52205       544.76700      1040.38300      1048.57500     15526.94 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     235420.15    235420.15         0.00       530.52205       544.76700      1040.38300      1048.57500     15526.94 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      18.047        0.000
GET      58.879        5.000
GET     127.487       10.000
GET     158.719       15.000
GET     236.543       20.000
GET     284.671       25.000
GET     313.343       30.000
GET     393.215       35.000
GET     440.319       40.000
GET     468.991       45.000
GET     544.767       50.000
GET     565.247       52.500
GET     589.823       55.000
GET     614.399       57.500
GET     630.783       60.000
GET     638.975       62.500
GET     700.415       65.000
GET     720.895       67.500
GET     737.279       70.000
GET     765.951       72.500
GET     786.431       75.000
GET     790.527       76.250
GET     790.527       77.500
GET     802.815       78.750
GET     806.911       80.000
GET     864.255       81.250
GET     872.447       82.500
GET     880.639       83.750
GET     892.927       85.000
GET     905.215       86.250
GET     921.599       87.500
GET     925.695       88.125
GET     929.791       88.750
GET     933.887       89.375
GET     942.079       90.000
GET     946.175       90.625
GET     950.271       91.250
GET     950.271       91.875
GET     950.271       92.500
GET     954.367       93.125
GET     958.463       93.750
GET     958.463       94.062
GET     962.559       94.375
GET     962.559       94.688
GET     962.559       95.000
GET     966.655       95.312
GET     966.655       95.625
GET    1007.615       95.938
GET    1015.807       96.250
GET    1019.903       96.562
GET    1023.999       96.875
GET    1023.999       97.031
GET    1023.999       97.188
GET    1028.095       97.344
GET    1028.095       97.500
GET    1032.191       97.656
GET    1032.191       97.812
GET    1032.191       97.969
GET    1036.287       98.125
GET    1036.287       98.281
GET    1036.287       98.438
GET    1036.287       98.516
GET    1040.383       98.594
GET    1040.383       98.672
GET    1040.383       98.750
GET    1040.383       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1044.479       99.062
GET    1044.479       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1048.575       99.570
GET    1048.575      100.000
---
WAIT      0.000      100.000
