20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       410848.53    410848.53         0.00       535.61028       536.57500      1040.38300      1048.57500     27097.14 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     410848.53    410848.53         0.00       535.61028       536.57500      1040.38300      1048.57500     27097.14 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      15.167        0.000
GET      72.191        5.000
GET     120.831       10.000
GET     190.463       15.000
GET     227.327       20.000
GET     294.911       25.000
GET     331.775       30.000
GET     391.167       35.000
GET     434.175       40.000
GET     487.423       45.000
GET     536.575       50.000
GET     552.959       52.500
GET     589.823       55.000
GET     618.495       57.500
GET     638.975       60.000
GET     655.359       62.500
GET     684.031       65.000
GET     720.895       67.500
GET     745.471       70.000
GET     761.855       72.500
GET     786.431       75.000
GET     802.815       76.250
GET     819.199       77.500
GET     835.583       78.750
GET     847.871       80.000
GET     856.063       81.250
GET     864.255       82.500
GET     872.447       83.750
GET     880.639       85.000
GET     905.215       86.250
GET     917.503       87.500
GET     925.695       88.125
GET     933.887       88.750
GET     942.079       89.375
GET     950.271       90.000
GET     958.463       90.625
GET     962.559       91.250
GET     966.655       91.875
GET     966.655       92.500
GET     970.751       93.125
GET     978.943       93.750
GET     978.943       94.062
GET     978.943       94.375
GET     983.039       94.688
GET     983.039       95.000
GET     987.135       95.312
GET     987.135       95.625
GET     995.327       95.938
GET     999.423       96.250
GET    1007.615       96.562
GET    1011.711       96.875
GET    1015.807       97.031
GET    1015.807       97.188
GET    1015.807       97.344
GET    1019.903       97.500
GET    1019.903       97.656
GET    1023.999       97.812
GET    1023.999       97.969
GET    1028.095       98.125
GET    1028.095       98.281
GET    1028.095       98.438
GET    1028.095       98.516
GET    1032.191       98.594
GET    1032.191       98.672
GET    1036.287       98.750
GET    1036.287       98.828
GET    1036.287       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1048.575       99.609
GET    1048.575      100.000
---
WAIT      0.000      100.000
